date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,196.652,3.792,70.0,62.125,46.0,18.435,14.583,18.208,3.625,0.0,5.0,14.542,11.5,7.538,3.0,215.087
2011-01-02,193.609,3.25,73.0,58.667,50.0,16.652,6.542,8.458,1.917,0.0,4.958,11.208,9.8,7.775,6.3,210.261
2011-01-03,191.217,3.042,73.0,56.875,48.0,10.391,7.667,9.333,1.667,1.0,4.958,14.25,9.8,7.246,4.3,201.609
2011-01-04,193.333,3.478,72.0,56.625,39.0,16.0,7.348,10.174,2.826,0.0,6.87,19.435,8.1,6.271,4.0,209.333
2011-01-05,193.913,3.792,83.0,70.083,51.0,24.174,23.292,31.667,8.375,2.0,4.75,11.125,8.9,5.429,3.6,218.087
2011-01-06,189.652,2.792,75.0,58.208,42.0,18.87,23.833,35.083,11.25,0.0,5.25,11.833,10.1,7.629,5.6,208.522
2011-01-07,193.957,2.087,66.0,57.417,42.0,15.348,12.542,16.375,3.833,0.0,3.708,10.417,9.4,6.629,4.2,209.304
2011-01-08,197.217,3.792,76.0,61.042,44.0,16.957,17.792,22.333,4.542,0.0,3.792,7.542,9.8,5.312,2.0,214.174
2011-01-09,199.435,4.417,77.0,62.333,50.0,21.609,22.333,31.042,8.708,0.0,5.542,18.25,11.6,7.45,3.9,221.043
2011-01-10,198.304,5.75,84.0,66.042,47.0,23.174,29.5,47.542,18.042,0.0,6.625,29.875,11.1,7.183,2.8,221.478
2011-01-11,192.85,3.19,66.0,56.917,45.0,16.7,16.238,21.571,5.333,0.0,6.429,21.619,10.6,7.771,3.6,209.55
2011-01-12,194.522,3.167,67.0,53.292,39.0,13.826,21.625,29.75,8.125,0.0,4.125,7.125,8.0,4.854,1.8,208.348
2011-01-13,192.0,3.208,69.0,57.542,49.0,20.739,22.417,37.333,14.917,0.0,6.5,17.042,10.2,7.825,4.3,212.739
2011-01-14,194.739,4.348,64.0,56.333,50.0,24.652,18.583,27.542,8.958,0.0,9.333,36.542,9.2,7.992,6.8,219.391
2011-01-15,195.391,3.333,71.0,59.542,52.0,17.217,13.583,17.875,4.292,0.0,4.917,11.667,8.8,7.196,4.2,212.609
2011-01-16,194.087,2.625,81.0,57.292,46.0,13.304,13.458,16.667,3.208,0.0,3.833,10.917,6.6,5.812,3.3,207.391
2011-01-17,192.696,3.083,88.0,61.208,36.0,15.043,16.958,24.083,7.125,0.0,3.667,10.0,10.9,6.171,2.6,207.739
2011-01-18,202.87,6.0,80.0,61.542,38.0,43.739,40.455,80.864,40.409,0.0,6.0,23.348,10.7,5.825,0.8,246.609
2011-01-19,195.783,4.375,89.0,74.417,59.0,33.174,32.208,46.708,14.5,23.0,4.25,21.083,7.8,6.638,5.6,228.957
2011-01-20,190.739,2.875,89.0,77.667,70.0,15.304,17.583,20.667,3.083,2.0,3.542,6.958,10.4,8.35,5.8,206.043
2011-01-21,192.783,3.391,90.0,83.125,68.0,20.652,20.958,24.708,3.75,8.0,3.375,14.542,10.2,8.362,7.4,213.435
2011-01-22,195.174,4.375,93.0,79.792,63.0,21.783,21.042,26.458,5.417,0.0,4.875,13.083,10.8,8.0,4.6,216.957
2011-01-23,193.565,3.208,83.0,67.167,51.0,27.0,21.0,32.125,11.125,0.0,5.208,10.125,11.4,8.129,5.0,220.565
2011-01-24,190.565,2.208,68.0,56.375,45.0,27.609,15.333,21.125,5.792,0.0,3.875,7.125,6.2,4.654,3.7,218.174
2011-01-25,191.0,2.913,66.0,53.25,39.0,18.391,19.304,30.304,11.0,0.0,5.826,14.522,6.5,4.271,2.2,209.391
2011-01-26,192.522,2.5,69.0,53.792,42.0,18.652,19.25,27.917,8.667,0.0,4.583,9.542,6.7,4.133,1.4,211.174
2011-01-27,192.261,3.417,70.0,56.833,47.0,16.391,21.75,31.875,10.125,0.0,7.583,21.75,8.6,6.0,3.2,208.652
2011-01-28,194.174,3.913,70.0,61.833,54.0,14.87,23.375,33.417,10.042,0.0,7.792,25.5,9.0,6.262,4.0,209.043
2011-01-29,195.783,2.958,79.0,61.75,46.0,12.957,13.292,15.75,2.458,0.0,4.083,8.417,6.2,4.2,1.8,208.739
2011-01-30,195.957,3.625,74.0,62.042,44.0,17.565,20.708,31.875,11.167,0.0,4.292,7.25,8.4,4.538,1.3,213.522
2011-01-31,191.652,2.917,68.0,53.125,38.0,15.957,24.042,36.708,12.667,0.0,5.292,9.833,8.2,4.992,1.8,207.609
2011-02-01,194.0,3.913,84.0,59.417,40.0,21.391,23.13,31.435,8.304,1.0,6.087,15.435,7.7,4.95,1.1,215.391
2011-02-02,192.478,2.333,61.0,52.542,36.0,21.913,13.167,18.417,5.25,0.0,4.458,8.125,4.9,2.35,0.4,214.391
2011-02-03,192.826,2.958,72.0,55.5,42.0,12.0,21.5,31.708,10.208,0.0,4.833,10.208,5.1,2.833,-0.4,204.826
2011-02-04,192.13,2.826,70.0,53.917,40.0,11.696,16.542,24.542,8.0,0.0,7.125,17.333,8.4,5.792,3.7,203.826
2011-02-05,197.304,5.083,76.0,56.833,37.0,17.522,20.875,25.833,4.958,0.0,8.042,38.208,9.0,5.604,0.6,214.826
2011-02-06,200.348,6.5,92.0,83.25,72.0,46.217,33.125,66.458,33.333,16.0,7.25,38.917,11.0,7.8,5.1,246.565
2011-02-07,196.304,4.792,95.0,82.708,56.0,24.13,27.917,43.25,15.333,35.0,5.25,16.25,10.1,8.833,6.4,220.435
2011-02-08,191.905,2.174,65.0,52.667,42.0,16.048,14.609,21.0,6.391,0.0,4.783,10.652,6.8,4.517,1.6,207.952
2011-02-09,190.826,2.417,66.0,52.5,40.0,9.13,18.417,30.125,11.708,0.0,5.333,10.792,6.0,3.721,1.4,199.957
2011-02-10,190.739,3.333,62.0,54.208,41.0,10.87,24.333,37.708,13.375,0.0,6.333,12.25,6.7,4.842,2.2,201.609
2011-02-11,191.565,2.87,65.0,52.667,38.0,13.043,13.083,17.333,4.25,0.0,4.875,12.042,8.0,5.692,1.6,204.609
2011-02-12,192.522,3.083,68.0,52.958,39.0,11.435,14.417,20.875,6.458,0.0,5.583,13.333,9.0,5.892,3.2,203.957
2011-02-13,198.261,4.917,92.0,73.417,54.0,28.696,31.375,43.125,11.75,8.0,4.708,22.458,6.4,4.821,3.4,226.957
2011-02-14,200.522,6.833,94.0,90.875,89.0,41.739,34.792,72.792,38.0,12.0,4.208,24.792,7.0,5.858,4.4,242.261
2011-02-15,202.304,5.957,95.0,83.208,65.0,38.783,27.478,59.565,32.087,2.0,4.5,23.136,7.8,5.604,4.0,241.087
2011-02-16,193.043,3.208,74.0,59.208,47.0,15.087,22.708,34.083,11.375,0.0,5.875,15.25,7.4,5.029,2.0,208.13
