date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,,3.913,,17.417,24.083,6.667,2.708,11.25,10.6,6.721,2.5,
2011-01-02,,3.542,,9.208,13.75,4.542,3.333,10.292,8.3,5.671,3.7,
2011-01-03,,3.75,,13.75,19.292,5.542,3.875,16.25,7.3,5.317,2.8,
2011-01-04,,4.217,,12.409,18.909,6.5,6.261,25.348,7.2,3.958,1.2,
2011-01-05,194.875,4.167,24.5,16.0,28.083,12.083,3.208,3.542,6.7,3.367,0.4,219.375
2011-01-06,196.083,4.833,25.875,26.261,52.13,25.87,4.083,9.458,9.4,5.5,1.8,221.958
2011-01-07,192.792,3.875,13.542,12.375,23.292,10.917,3.25,10.625,7.5,4.983,3.7,206.333
2011-01-08,194.522,3.565,14.696,16.875,26.625,9.75,3.417,3.875,7.5,4.921,2.9,209.217
2011-01-09,196.667,4.792,21.083,21.667,36.708,15.042,4.75,16.375,9.9,5.992,3.4,217.75
2011-01-10,202.0,7.875,42.25,35.583,80.042,44.458,5.75,24.708,10.3,6.433,2.3,244.25
2011-01-11,191.75,4.292,16.125,16.667,28.792,12.125,5.5,21.417,9.3,5.812,1.9,207.875
2011-01-12,196.5,5.261,24.727,26.182,49.955,23.773,3.913,8.652,5.9,3.279,0.7,221.227
2011-01-13,197.917,5.5,30.042,24.917,57.75,32.833,3.292,13.083,9.4,5.438,2.2,227.958
2011-01-14,196.25,5.5,20.417,20.917,33.958,13.042,5.375,30.292,7.8,5.792,4.3,216.667
2011-01-15,194.652,4.304,16.696,16.75,29.333,12.583,2.833,11.208,8.1,5.7,2.7,211.348
2011-01-16,193.417,3.417,13.583,14.375,24.625,10.25,2.542,7.125,6.0,5.308,4.5,207.0
2011-01-17,196.25,4.542,23.667,24.792,43.083,18.292,2.208,12.5,9.0,5.629,2.8,219.917
2011-01-18,199.583,5.125,30.625,35.292,69.958,34.667,2.333,8.833,10.2,5.4,0.5,230.208
2011-01-19,196.042,4.13,27.625,30.87,58.609,27.739,2.652,9.261,7.5,5.825,4.9,223.667
2011-01-20,195.625,4.25,23.292,22.957,36.261,13.304,2.042,7.958,9.6,7.488,5.0,218.917
2011-01-21,194.292,3.667,18.458,23.667,34.875,11.208,2.0,11.417,8.6,7.425,6.4,212.75
2011-01-22,202.826,5.0,30.0,26.833,46.167,19.333,2.833,12.167,10.6,7.358,3.9,232.826
2011-01-23,192.75,3.458,12.917,13.792,24.75,10.958,2.333,3.333,10.6,6.167,2.9,205.667
2011-01-24,191.625,3.25,12.458,14.875,26.25,11.375,2.125,2.542,5.3,2.746,1.2,204.083
2011-01-25,194.208,4.292,14.5,16.958,29.583,12.625,3.292,15.292,5.9,2.208,0.0,208.708
2011-01-26,195.833,4.174,17.25,20.5,34.773,14.273,2.087,6.261,5.4,1.783,-1.6,213.083
2011-01-27,198.625,6.083,23.458,27.958,48.167,20.208,3.917,21.083,7.2,3.396,0.0,222.083
2011-01-28,195.458,4.583,14.292,19.625,32.25,12.625,3.333,17.833,7.8,4.125,2.3,209.75
2011-01-29,194.435,3.583,11.913,13.542,21.917,8.375,2.0,5.75,5.6,3.175,1.3,206.348
2011-01-30,197.917,5.25,23.667,26.958,46.208,19.25,2.167,7.125,5.4,2.633,0.3,221.583
2011-01-31,196.458,4.958,20.792,26.417,47.958,21.542,2.208,6.167,6.8,2.792,-0.2,217.25
2011-02-01,200.375,5.792,29.917,27.0,67.25,40.25,3.375,16.75,8.1,3.583,0.1,230.292
2011-02-02,191.708,3.609,10.875,14.0,24.5,10.5,2.318,8.636,3.1,-0.083,-2.4,202.583
2011-02-03,197.75,5.292,21.833,25.478,46.565,21.087,3.042,10.625,4.5,0.546,-3.9,219.583
2011-02-04,194.917,4.917,15.708,22.792,39.833,17.042,5.0,15.125,7.6,4.158,0.8,210.625
2011-02-05,197.043,5.125,18.13,19.333,32.292,12.958,7.125,36.167,8.4,5.592,1.8,215.174
2011-02-06,201.522,5.083,29.609,29.667,50.833,21.167,5.625,28.75,9.3,7.054,4.6,231.13
2011-02-07,197.042,5.5,28.25,26.917,49.083,22.167,3.833,12.208,10.0,8.358,5.7,225.292
2011-02-08,190.208,3.292,13.375,13.167,25.583,12.417,3.417,14.333,6.1,3.1,-0.6,203.583
2011-02-09,192.045,4.043,14.545,17.348,33.174,15.826,3.182,8.682,5.5,1.842,-2.1,206.591
2011-02-10,192.667,4.458,18.708,21.708,42.583,20.875,3.75,7.583,7.0,3.412,-0.2,211.375
2011-02-11,192.125,4.083,13.042,15.958,30.792,14.833,3.375,9.208,6.9,4.004,0.9,205.167
2011-02-12,192.957,3.542,10.478,12.75,24.292,11.542,3.167,9.125,7.5,3.825,0.8,203.435
2011-02-13,196.583,4.0,20.375,26.25,42.625,16.375,3.042,13.0,5.5,4.017,2.4,216.958
2011-02-14,204.542,5.708,37.125,35.625,73.208,37.583,3.208,19.333,6.7,5.512,4.6,241.667
2011-02-15,201.833,5.958,37.167,28.75,65.667,36.917,3.417,17.042,7.4,4.588,2.2,239.0
2011-02-16,194.167,4.565,22.75,24.696,46.652,21.957,3.739,12.609,7.6,3.829,1.1,216.917
2011-02-17,190.333,4.0,13.208,16.087,29.174,13.087,3.25,11.792,7.6,3.454,1.1,203.542
2011-02-18,192.625,3.792,10.125,12.0,22.208,10.208,2.375,9.333,4.5,1.362,-0.8,202.75
