date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2016-01-01,198.609,13.522,13.826,15.13,1.304,12.833,4.458,212.13
2016-01-02,199.083,15.625,14.417,16.25,1.833,18.5,4.625,214.708
2016-01-03,198.696,12.739,12.75,13.667,0.917,16.583,5.25,211.435
2016-01-04,202.125,17.917,14.625,16.833,2.208,19.542,5.167,220.042
2016-01-05,194.955,5.182,8.609,9.304,0.696,8.75,3.304,200.136
2016-01-06,195.417,13.708,12.833,14.208,1.375,6.0,3.0,209.125
2016-01-07,201.217,37.13,29.083,35.542,6.458,15.625,4.75,238.348
2016-01-08,195.708,18.0,16.739,17.913,1.174,9.75,3.625,213.708
2016-01-09,197.174,12.478,14.833,17.5,2.667,7.75,5.083,209.652
2016-01-10,198.0,11.083,14.708,16.167,1.458,12.583,5.667,209.083
2016-01-11,196.636,8.182,10.952,12.714,1.762,7.625,4.333,204.818
2016-01-12,195.375,8.667,10.217,11.609,1.391,10.458,4.708,204.042
2016-01-13,193.87,7.783,10.043,11.348,1.304,10.167,4.833,201.652
2016-01-14,194.625,6.667,7.043,8.13,1.087,5.5,3.833,201.292
2016-01-15,196.957,6.565,6.391,7.435,1.043,2.5,3.25,203.522
2016-01-16,196.167,7.208,10.783,12.696,1.913,2.625,3.625,203.375
2016-01-17,198.381,17.0,19.864,24.636,4.773,5.125,3.87,215.381
2016-01-18,201.625,45.708,29.0,38.917,9.917,9.5,8.125,247.333
2016-01-19,201.304,34.174,23.875,33.583,9.708,18.417,5.125,235.478
2016-01-20,199.708,28.292,20.458,27.208,6.75,19.625,5.167,228.0
2016-01-21,198.348,10.913,11.625,12.833,1.208,12.458,4.458,209.261
2016-01-22,198.5,15.292,12.87,15.522,2.652,11.917,5.208,213.792
2016-01-23,195.565,6.652,12.333,13.792,1.458,7.833,5.167,202.217
2016-01-24,196.375,7.792,13.792,15.917,2.125,6.125,3.917,204.167
2016-01-25,198.773,16.727,20.417,25.083,4.667,7.957,4.5,215.5
2016-01-26,198.417,31.958,27.083,36.25,9.167,10.5,4.833,230.375
2016-01-27,201.783,33.87,31.667,47.167,15.5,17.417,7.042,235.652
2016-01-28,199.167,25.833,24.292,29.0,4.708,16.333,5.625,225.0
2016-01-29,201.261,24.174,20.522,22.826,2.304,22.208,5.375,225.435
2016-01-30,196.417,16.958,17.667,23.792,6.125,16.542,5.25,213.375
2016-01-31,195.652,9.391,11.0,12.458,1.458,7.0,3.75,205.043
2016-02-01,199.174,27.826,25.087,37.739,12.652,12.083,4.783,227.0
2016-02-02,194.696,7.348,12.792,14.417,1.625,6.25,4.0,202.043
2016-02-03,195.708,15.458,20.167,23.792,3.625,8.0,5.583,211.167
2016-02-04,199.739,37.826,27.667,36.542,8.875,14.0,6.458,237.565
2016-02-05,200.458,25.125,20.826,23.87,3.043,14.542,4.292,225.583
2016-02-06,197.304,8.913,11.042,12.208,1.167,14.083,4.833,206.217
2016-02-07,196.333,6.417,10.708,12.167,1.458,8.125,3.625,202.75
2016-02-08,194.0,13.591,14.65,16.75,2.1,7.625,4.083,207.591
2016-02-09,193.708,23.542,19.696,23.739,4.043,10.083,3.792,217.25
2016-02-10,193.739,7.087,9.348,11.261,1.913,6.125,4.333,200.826
2016-02-11,195.292,5.792,7.348,8.391,1.043,6.042,3.833,201.083
2016-02-12,197.087,10.478,12.174,14.522,2.348,5.125,4.042,207.565
2016-02-13,197.667,12.5,17.348,21.0,3.652,6.083,3.917,210.167
2016-02-14,197.087,16.826,17.391,22.043,4.652,9.5,4.083,213.913
2016-02-15,198.208,15.958,21.304,26.522,5.217,11.375,5.708,214.167
2016-02-16,200.7,43.45,31.0,41.261,10.261,21.25,6.381,244.15
2016-02-17,208.417,71.208,39.792,72.625,32.833,27.958,7.125,279.625
2016-02-18,194.043,11.739,11.625,12.833,1.208,9.917,4.75,205.783
2016-02-19,195.0,8.75,8.652,9.826,1.174,4.625,3.583,203.75
2016-02-20,194.696,14.435,15.042,18.5,3.458,10.25,5.0,209.13
2016-02-21,195.5,6.542,8.167,9.375,1.208,10.125,3.5,202.042
2016-02-22,198.455,32.0,28.833,37.833,9.0,12.13,4.792,230.455
2016-02-23,192.75,17.125,16.25,19.458,3.208,6.75,4.125,209.875
2016-02-24,196.696,11.174,11.583,13.083,1.5,5.75,3.458,207.87
2016-02-25,197.667,17.417,17.167,19.875,2.708,11.5,4.417,215.083
2016-02-26,197.174,10.87,14.261,16.043,1.783,14.5,5.625,208.043
2016-02-27,194.792,7.542,9.958,11.458,1.5,6.833,3.708,202.333
2016-02-28,195.522,20.609,18.542,22.958,4.417,9.5,4.5,216.13
2016-03-01,195.0,25.391,19.913,23.652,3.739,11.087,4.0,220.391
2016-03-02,195.043,14.783,15.292,18.292,3.0,12.0,4.583,209.826
2016-03-03,195.167,9.25,11.917,13.292,1.375,8.417,4.375,204.417
2016-03-04,200.435,31.565,21.542,25.667,4.125,15.458,5.478,232.0
2016-03-05,197.125,20.875,16.652,18.478,1.826,19.042,7.043,218.0
2016-03-06,199.696,23.739,28.0,43.417,15.417,21.708,7.375,223.435
2016-03-07,195.652,7.087,9.95,12.9,2.95,8.583,4.417,202.739
2016-03-08,194.348,7.609,12.333,17.917,5.583,11.375,4.542,201.957
2016-03-09,193.958,7.625,10.708,13.542,2.833,14.542,5.083,201.583
2016-03-10,194.435,9.348,10.875,12.167,1.292,13.0,4.792,203.783
2016-03-11,197.417,13.25,11.708,13.083,1.375,12.375,4.208,210.667
2016-03-12,198.696,19.652,16.217,17.913,1.696,13.292,5.125,218.348
2016-03-13,196.208,19.917,23.167,27.458,4.292,16.042,5.5,216.125
2016-03-14,194.652,7.0,8.708,9.417,0.708,16.083,4.292,201.652
2016-03-15,194.591,7.591,9.739,11.043,1.304,4.083,3.522,202.182
2016-03-16,193.087,10.0,11.125,12.25,1.125,8.0,3.583,203.087
2016-03-17,195.792,19.0,17.792,22.208,4.417,10.417,4.875,214.792
2016-03-18,197.217,25.391,21.958,24.917,2.958,16.375,5.625,222.609
2016-03-19,198.833,22.333,21.652,23.957,2.304,29.0,8.375,221.167
