date,NO2_mean,NOX_mean,NO_mean
2011-01-01,24.083,35.25,11.167
2011-01-02,11.167,14.458,3.292
2011-01-03,17.667,27.042,9.375
2011-01-04,14.25,23.042,8.792
2011-01-05,31.917,61.5,29.583
2011-01-06,38.667,94.667,56.0
2011-01-07,26.167,47.25,21.083
2011-01-08,20.958,31.625,10.667
2011-01-09,28.375,46.375,18.0
2011-01-10,42.75,107.417,64.667
2011-01-11,26.348,51.609,25.261
2011-01-12,38.417,84.583,46.167
2011-01-13,33.375,79.208,45.833
2011-01-14,32.667,65.667,33.0
2011-01-15,23.333,37.125,13.792
2011-01-16,22.792,50.417,27.625
2011-01-17,30.042,62.542,32.5
2011-01-18,43.667,96.792,53.125
2011-01-19,35.5,64.958,29.458
2011-01-20,21.0,30.391,9.391
2011-01-21,25.292,38.292,13.0
2011-01-22,27.75,44.917,17.167
2011-01-23,30.625,68.583,37.958
2011-01-24,26.095,57.857,31.762
2011-01-25,25.833,60.417,34.583
2011-01-26,30.542,79.042,48.5
2011-01-27,33.375,75.667,42.292
2011-01-28,35.417,69.75,34.333
2011-01-29,17.833,26.917,9.083
2011-01-30,35.0,82.417,47.417
2011-01-31,32.917,74.125,41.208
2011-02-01,31.833,68.25,36.417
2011-02-02,22.208,45.5,23.292
2011-02-03,31.826,77.348,45.522
2011-02-04,27.0,62.208,35.208
2011-02-05,27.917,43.5,15.583
2011-02-06,34.417,58.833,24.417
2011-02-07,37.458,94.167,56.708
2011-02-08,22.348,47.87,25.522
2011-02-09,26.083,60.292,34.208
2011-02-10,36.167,86.458,50.292
2011-02-11,25.833,40.75,14.917
2011-02-12,20.333,28.542,8.208
2011-02-13,36.583,60.75,24.167
2011-02-14,40.25,92.458,52.208
2011-02-15,36.583,103.708,67.125
2011-02-16,36.565,92.696,56.13
2011-02-17,27.625,64.333,36.708
2011-02-18,24.375,44.625,20.25
2011-02-19,23.125,36.5,13.375
2011-02-20,43.875,103.458,59.583
2011-02-21,51.0,124.833,73.833
2011-02-22,34.167,49.25,15.083
2011-02-23,35.667,93.083,57.417
2011-02-24,25.875,40.833,14.958
2011-02-25,37.75,77.083,39.333
2011-02-26,14.292,17.458,3.167
2011-02-27,26.333,44.417,18.083
2011-02-28,28.583,53.792,25.208
2011-03-01,53.5,129.083,75.583
2011-03-02,39.5,88.0,48.5
2011-03-03,21.083,30.625,9.542
2011-03-04,14.083,18.5,4.417
2011-03-05,32.292,69.625,37.333
2011-03-06,42.417,138.458,96.042
2011-03-07,31.083,53.542,22.458
2011-03-08,32.667,59.5,26.833
2011-03-09,25.917,37.542,11.625
2011-03-10,24.083,33.208,9.125
2011-03-11,20.333,29.958,9.625
2011-03-12,28.818,52.773,23.955
2011-03-13,35.583,74.208,38.625
2011-03-14,42.625,84.667,42.042
2011-03-15,35.292,64.458,29.167
2011-03-16,49.333,105.5,56.167
2011-03-17,46.042,83.417,37.375
2011-03-18,33.792,59.083,25.292
2011-03-19,26.652,44.913,18.261
2011-03-20,26.542,44.375,17.833
2011-03-21,37.208,65.708,28.5
2011-03-22,48.917,96.0,47.083
2011-03-23,30.208,45.292,15.083
2011-03-24,23.0,37.792,14.792
2011-03-25,14.0,18.792,4.792
2011-03-26,36.125,66.667,30.542
2011-03-27,47.304,86.261,38.957
2011-03-28,45.0,79.333,34.333
2011-03-29,50.625,97.208,46.583
2011-03-30,42.917,85.375,42.458
2011-03-31,27.792,46.667,18.875
