date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,196.833,2.375,65.0,53.125,36.0,18.625,18.167,24.625,6.458,2.292,17.625,11.3,6.808,2.0,215.458
2011-01-02,193.348,2.5,83.0,61.375,43.0,11.696,11.125,16.25,5.125,2.913,16.417,8.9,6.167,4.2,205.043
2011-01-03,194.0,2.739,57.0,50.292,42.0,11.625,16.0,24.217,8.217,3.292,19.708,7.7,5.942,3.4,205.625
2011-01-04,193.826,4.435,68.0,48.792,21.0,10.826,13.455,20.818,7.364,5.957,26.348,8.0,4.738,2.2,204.652
2011-01-05,196.0,5.083,74.0,60.292,45.0,19.208,27.375,50.417,23.042,1.739,11.792,6.8,3.646,0.8,215.208
2011-01-06,200.478,6.75,82.0,54.125,30.0,32.478,36.542,96.625,60.083,2.917,21.167,9.8,5.45,0.7,232.957
2011-01-07,194.333,3.875,65.0,53.208,33.0,16.75,24.5,44.167,19.667,1.583,11.083,8.5,5.304,2.5,211.083
2011-01-08,198.208,4.958,67.0,56.042,41.0,22.167,20.708,31.25,10.542,1.609,12.208,7.6,4.475,2.2,220.375
2011-01-09,199.708,5.375,75.0,57.042,40.0,23.375,26.292,46.833,20.542,3.833,24.833,11.2,6.208,3.1,223.083
2011-01-10,203.136,8.409,82.0,59.167,34.0,41.409,39.316,102.053,62.737,4.409,38.625,11.3,6.675,2.0,244.545
2011-01-11,195.875,5.292,59.0,50.125,33.0,19.875,27.348,71.478,44.13,4.913,29.875,9.9,6.233,1.8,215.75
2011-01-12,198.417,5.542,69.0,50.667,34.0,24.167,29.708,64.167,34.458,2.458,13.167,6.8,3.608,0.2,222.583
2011-01-13,200.417,6.75,68.0,49.125,37.0,31.375,30.458,90.167,59.708,3.708,24.833,9.4,6.079,2.2,231.792
2011-01-14,197.652,6.5,63.0,52.917,46.0,17.957,26.5,52.042,25.542,6.043,40.667,8.2,6.129,4.9,215.609
2011-01-15,197.125,5.25,66.0,54.458,40.0,21.208,21.458,36.542,15.083,3.0,18.167,8.6,6.0,2.9,218.333
2011-01-16,194.857,4.478,66.0,49.792,38.0,19.81,19.739,29.739,10.0,1.913,15.458,6.3,5.25,4.5,214.667
2011-01-17,195.917,8.217,73.0,50.5,30.0,15.917,24.739,56.478,31.739,2.217,15.917,9.6,5.646,2.6,211.833
2011-01-18,197.609,4.833,71.0,48.25,24.0,24.565,30.391,53.261,22.87,2.25,17.667,11.0,5.812,0.3,222.174
2011-01-19,191.208,2.875,91.0,67.583,46.0,19.375,27.0,39.625,12.625,2.375,27.583,7.5,6.038,4.9,210.583
2011-01-20,190.375,4.167,90.0,82.458,73.0,18.958,22.708,31.75,9.042,1.696,13.875,9.9,7.5,5.0,209.333
2011-01-21,191.75,4.667,91.0,86.917,75.0,21.167,24.333,33.708,9.375,1.667,20.167,9.2,7.45,6.4,212.917
2011-01-22,196.043,10.417,95.0,80.042,58.0,26.522,29.125,49.5,20.375,2.25,25.625,11.4,7.525,3.7,222.565
2011-01-23,193.652,6.696,78.0,63.292,44.0,16.652,23.565,47.957,24.391,2.273,8.292,9.7,6.958,3.7,210.304
2011-01-24,192.792,3.348,57.0,44.708,33.0,12.583,20.739,45.522,24.783,1.958,9.208,6.3,3.546,2.0,205.375
2011-01-25,196.083,4.792,52.0,41.917,27.0,16.125,29.13,62.565,33.435,3.417,21.75,6.2,3.004,0.6,212.208
2011-01-26,197.739,5.542,58.0,46.833,34.0,21.217,31.5,71.542,40.042,2.174,12.875,5.2,2.233,-0.5,218.957
2011-01-27,199.125,8.125,70.0,54.792,41.0,29.875,39.875,101.0,61.125,4.292,31.625,7.6,3.608,-0.5,229.0
2011-01-28,196.0,5.583,65.0,53.5,36.0,21.417,31.125,57.417,26.292,3.625,25.667,8.4,4.646,2.6,217.417
2011-01-29,193.208,3.875,75.0,58.583,39.0,14.667,16.083,21.708,5.625,1.957,10.25,5.9,3.367,1.4,207.875
2011-01-30,196.261,5.292,73.0,60.958,41.0,21.739,32.292,66.208,33.917,2.25,11.708,6.3,3.233,0.7,218.0
2011-01-31,197.875,6.348,71.0,52.958,30.0,27.792,35.087,79.304,44.217,2.292,15.625,6.9,3.042,0.0,225.667
2011-02-01,200.174,11.273,75.0,48.333,21.0,31.304,30.913,96.435,65.522,3.304,21.955,8.0,3.671,-0.7,231.478
2011-02-02,192.458,,57.0,45.792,32.0,11.167,19.167,38.958,19.792,1.333,9.917,2.7,0.521,-1.6,203.625
2011-02-03,196.545,13.217,68.0,49.0,34.0,23.955,39.696,70.391,30.696,2.652,18.522,5.2,1.371,-3.2,220.5
2011-02-04,197.917,13.375,63.0,43.042,29.0,23.458,32.708,62.417,29.708,3.174,27.25,7.6,4.883,1.9,221.375
