date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,2.583,67.0,55.083,37.0,13.75,14.875,1.125,2.917,12.875,11.4,6.475,1.7
2011-01-02,2.958,83.0,61.25,46.0,6.833,7.167,0.333,3.292,14.542,8.9,5.896,4.1
2011-01-03,3.0,61.0,52.542,42.0,11.125,11.875,0.75,3.958,18.167,7.6,5.583,3.3
2011-01-04,3.391,78.0,52.208,22.0,9.565,10.217,0.652,5.826,24.826,8.3,4.175,1.5
2011-01-05,3.167,76.0,62.917,47.0,17.167,21.458,4.292,2.625,9.875,7.0,3.188,0.2
2011-01-06,4.25,80.0,54.833,32.0,27.565,45.348,17.783,3.458,16.625,9.6,4.933,-0.2
2011-01-07,2.458,68.0,56.792,33.0,10.167,11.542,1.375,2.208,8.75,8.9,4.992,2.2
2011-01-08,3.208,70.0,58.167,42.0,18.042,20.875,2.833,2.583,10.333,7.5,4.171,1.7
2011-01-09,4.208,75.0,61.042,44.0,20.125,26.083,5.958,3.958,17.917,10.3,5.55,2.0
2011-01-10,6.0,81.0,59.75,37.0,35.583,54.875,19.292,5.125,32.375,11.0,6.283,1.1
2011-01-11,3.708,63.0,51.875,29.0,15.875,19.75,3.875,4.25,25.25,10.2,5.925,1.2
2011-01-12,3.958,70.0,54.042,34.0,24.917,37.333,12.417,3.333,10.417,7.4,3.2,0.0
2011-01-13,4.958,72.0,52.125,29.0,24.739,52.913,28.174,3.833,16.826,10.2,5.308,1.0
2011-01-14,4.667,68.0,57.25,48.0,19.875,22.542,2.667,5.417,31.708,7.5,5.417,3.8
2011-01-15,3.667,70.0,57.583,42.0,16.958,20.208,3.25,3.667,15.042,8.1,5.4,2.6
2011-01-16,2.667,71.0,53.625,41.0,12.958,13.625,0.667,2.375,14.042,5.6,4.65,3.2
2011-01-17,2.957,78.0,55.292,31.0,16.417,21.625,5.208,2.435,14.833,10.2,4.975,1.2
2011-01-18,3.208,72.0,52.042,28.0,27.542,35.958,8.417,2.792,15.708,10.5,4.983,-0.3
2011-01-19,3.375,88.0,71.667,55.0,31.083,41.583,10.5,2.667,16.667,6.7,5.088,4.0
2011-01-20,2.667,88.0,81.583,73.0,19.609,21.522,1.913,1.625,9.333,9.1,6.854,4.6
2011-01-21,3.125,88.0,84.667,76.0,23.333,26.25,2.917,1.917,13.5,8.1,6.871,5.6
