date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,11.087,13.087,2.0,,14.833,125.0,76.375,34.0
2011-01-02,5.524,5.905,0.381,,12.583,106.0,73.125,55.0
2011-01-03,8.957,9.696,0.739,,17.667,90.0,69.333,43.0
2011-01-04,6.722,7.167,0.444,,20.542,79.0,59.792,38.0
2011-01-05,15.706,18.294,2.588,,12.13,78.0,49.167,28.0
2011-01-06,16.421,23.684,7.263,,14.625,102.0,64.458,21.0
2011-01-07,11.913,13.391,1.478,,6.792,106.0,67.417,28.0
2011-01-08,11.6,13.2,1.6,,9.542,98.0,52.625,17.0
2011-01-09,17.95,20.75,2.8,,20.542,113.0,72.0,38.0
2011-01-10,20.565,27.391,6.826,,30.25,132.0,72.375,21.0
2011-01-11,11.217,12.435,1.217,,22.375,102.0,75.125,34.0
2011-01-12,18.8,23.1,4.3,,9.125,85.0,46.167,7.0
2011-01-13,13.0,17.286,4.286,,17.5,96.0,69.75,40.0
2011-01-14,14.348,16.435,2.087,,40.083,89.0,72.708,58.0
2011-01-15,11.913,13.217,1.304,,16.667,86.0,65.5,32.0
2011-01-16,13.182,15.545,2.364,,12.667,70.0,58.083,31.0
2011-01-17,13.545,17.045,3.5,,12.091,119.0,61.5,21.0
2011-01-18,18.25,26.625,8.375,,16.917,118.0,66.417,11.0
2011-01-19,18.875,29.375,10.5,,19.25,80.0,64.917,53.0
2011-01-20,12.833,15.167,2.333,,7.417,106.0,85.042,59.0
2011-01-21,13.125,15.125,2.0,,13.792,107.0,84.917,76.0
2011-01-22,11.375,13.0,1.625,,15.958,120.0,83.042,50.0
2011-01-23,9.667,11.667,2.0,,8.167,106.0,78.5,45.0
2011-01-24,7.542,8.5,0.958,,6.792,64.0,42.25,28.0
2011-01-25,7.333,8.417,1.083,,15.208,69.0,38.167,18.0
2011-01-26,14.042,16.083,2.042,,8.958,58.0,34.542,13.0
2011-01-27,22.478,30.696,8.217,,25.75,85.0,50.0,16.0
2011-01-28,20.375,22.708,2.333,,24.917,87.0,56.583,30.0
2011-01-29,15.75,17.542,1.792,,8.5,66.0,40.458,18.0
2011-01-30,23.0,31.208,8.208,,8.625,75.0,39.875,9.0
2011-01-31,17.083,19.292,2.208,,11.292,82.0,45.667,19.0
2011-02-01,19.696,23.0,3.304,,18.75,79.0,44.333,9.0
2011-02-02,10.167,11.792,1.625,,6.458,43.0,18.0,-3.0
2011-02-03,16.652,20.913,4.261,,10.958,46.0,18.667,-24.0
2011-02-04,12.833,14.167,1.333,,18.083,81.0,52.417,24.0
2011-02-05,17.875,19.708,1.833,,36.625,93.0,58.583,10.0
2011-02-06,28.652,42.217,13.565,,29.826,123.0,82.667,49.0
2011-02-07,27.125,37.333,10.208,,15.375,102.0,90.208,67.0
2011-02-08,9.13,10.478,1.348,,10.208,64.0,40.625,10.0
2011-02-09,10.958,12.333,1.375,,9.625,57.0,32.125,6.0
2011-02-10,19.625,24.0,4.375,,12.75,69.0,41.958,6.0
2011-02-11,16.458,20.25,3.792,,14.0,87.0,54.75,19.0
2011-02-12,15.625,17.667,2.042,,13.417,91.0,51.583,17.0
2011-02-13,29.375,40.375,11.0,,17.542,70.0,51.333,29.0
2011-02-14,35.708,63.792,28.083,,17.667,79.0,62.0,46.0
2011-02-15,30.087,63.609,33.522,,21.292,88.0,57.958,40.0
2011-02-16,21.0,27.625,6.625,,15.292,84.0,49.0,16.0
2011-02-17,11.727,13.182,1.455,,10.583,73.0,48.708,26.0
2011-02-18,12.458,14.167,1.708,,6.708,61.0,26.375,0.0
2011-02-19,16.167,19.083,2.917,,10.458,80.0,31.958,-17.0
2011-02-20,25.435,34.826,9.391,,14.375,102.0,47.167,-7.0
2011-02-21,40.583,61.542,20.958,,27.958,90.0,62.417,18.0
2011-02-22,23.739,32.565,8.826,,19.375,126.0,93.125,52.0
2011-02-23,25.458,37.125,11.667,,16.417,118.0,108.917,93.0
2011-02-24,19.875,22.667,2.792,,30.583,147.0,102.833,72.0
2011-02-25,29.25,34.0,4.75,,32.667,89.0,77.583,70.0
2011-02-26,11.542,13.333,1.792,,12.292,78.0,56.917,24.0
2011-02-27,21.625,27.375,5.75,,13.333,79.0,34.708,5.0
2011-02-28,21.958,26.958,5.0,,10.667,110.0,58.208,0.0
2011-03-01,36.667,49.583,12.917,,24.208,154.0,107.542,60.0
2011-03-02,26.875,36.5,9.625,,19.5,126.0,113.375,94.0
2011-03-03,11.5,12.667,1.167,,15.333,149.0,105.292,79.0
2011-03-04,12.0,13.125,1.125,,16.5,107.0,85.75,53.0
2011-03-05,29.542,44.25,14.708,,13.208,131.0,118.792,103.0
2011-03-06,27.522,51.739,24.217,,21.565,180.0,142.875,118.0
2011-03-07,17.957,20.174,2.217,,30.583,136.0,119.792,94.0
2011-03-08,26.083,31.583,5.5,,32.458,150.0,108.5,61.0
2011-03-09,23.292,26.5,3.208,,17.958,103.0,75.667,60.0
2011-03-10,12.75,14.125,1.375,,12.625,123.0,88.458,63.0
2011-03-11,9.167,9.833,0.667,,15.25,111.0,65.167,24.0
2011-03-12,12.333,14.083,1.75,,11.917,73.0,45.833,27.0
2011-03-13,19.818,23.682,3.864,,10.625,97.0,54.417,25.0
2011-03-14,25.526,34.0,8.474,,9.917,121.0,64.917,10.0
2011-03-15,22.833,29.958,7.125,,19.458,120.0,75.667,36.0
2011-03-16,33.542,45.125,11.583,,16.292,156.0,87.875,21.0
2011-03-17,31.875,39.875,8.0,,23.083,170.0,133.75,92.0
2011-03-18,23.292,26.167,2.875,,26.042,144.0,128.083,104.0
2011-03-19,14.167,16.125,1.958,,7.5,121.0,89.5,54.0
2011-03-20,16.875,19.125,2.25,,14.167,124.0,79.917,23.0
2011-03-21,13.955,15.136,1.182,,13.458,135.0,89.0,50.0
2011-03-22,30.792,41.375,10.583,,22.208,150.0,107.875,39.0
2011-03-23,24.5,29.667,5.167,,12.083,144.0,117.333,90.0
2011-03-24,10.833,11.292,0.458,,17.417,134.0,116.125,85.0
2011-03-25,6.917,7.417,0.5,,13.583,112.0,82.542,62.0
2011-03-26,18.458,21.5,3.042,,12.917,105.0,72.75,43.0
2011-03-27,18.958,21.292,2.333,,21.208,148.0,93.5,32.0
2011-03-28,20.409,23.455,3.045,,27.583,159.0,112.208,68.0
2011-03-29,28.167,33.833,5.667,,22.25,170.0,112.375,49.0
2011-03-30,16.458,19.625,3.167,,13.25,226.0,158.708,88.0
2011-03-31,14.625,16.042,1.417,,9.167,181.0,120.625,59.0
2011-04-01,22.13,23.696,1.565,,33.875,201.0,140.792,73.0
2011-04-02,18.478,20.0,1.522,,33.125,199.0,137.417,87.0
2011-04-03,6.261,6.957,0.696,,10.375,128.0,86.583,61.0
2011-04-04,12.913,15.652,2.739,,11.417,165.0,92.25,25.0
2011-04-05,21.391,24.435,3.043,,18.583,184.0,112.958,37.0
2011-04-06,21.565,24.043,2.478,,21.0,197.0,138.958,77.0
2011-04-07,16.095,18.0,1.905,,13.75,226.0,171.708,115.0
2011-04-08,26.708,31.042,4.333,,18.375,204.0,164.25,142.0
2011-04-09,16.542,19.167,2.625,,13.958,184.0,156.042,136.0
2011-04-10,13.667,14.5,0.833,,34.542,215.0,154.667,92.0
2011-04-11,17.043,19.565,2.522,,32.542,205.0,135.583,90.0
2011-04-12,12.625,13.833,1.208,,28.792,162.0,115.5,60.0
2011-04-13,21.625,24.167,2.542,,30.292,211.0,146.917,77.0
2011-04-14,24.958,28.0,3.042,,38.5,223.0,166.542,105.0
2011-04-15,22.273,23.909,1.636,,35.696,213.0,169.833,132.0
2011-04-16,13.875,15.875,2.0,,36.917,191.0,154.542,94.0
2011-04-17,16.167,16.917,0.75,,19.708,206.0,139.708,68.0
2011-04-18,16.5,17.958,1.458,,23.583,219.0,152.083,117.0
2011-04-19,11.391,12.174,0.783,,10.75,154.0,119.083,102.0
2011-04-20,12.708,14.292,1.583,,7.667,152.0,115.917,89.0
2011-04-21,21.043,24.652,3.609,,19.917,206.0,143.292,76.0
2011-04-22,26.0,30.5,4.5,,29.542,169.0,149.125,131.0
2011-04-23,19.565,23.043,3.478,,15.083,168.0,143.25,116.0
2011-04-24,9.375,10.042,0.667,,21.25,181.0,139.333,82.0
2011-04-25,13.375,14.375,1.0,,23.208,187.0,142.583,99.0
2011-04-26,12.833,14.958,2.125,,28.667,255.0,187.375,109.0
2011-04-27,10.478,13.696,3.217,,24.792,269.0,208.458,141.0
2011-04-28,11.435,12.391,0.957,,18.565,184.0,147.458,123.0
2011-04-29,11.875,12.833,0.958,,16.875,197.0,151.625,97.0
2011-04-30,16.0,17.333,1.333,,26.708,262.0,194.625,127.0
2011-05-01,14.13,15.783,1.652,,23.292,212.0,184.167,164.0
2011-05-02,15.087,17.435,2.348,,119.833,237.0,191.667,134.0
2011-05-03,17.083,18.333,1.25,,146.208,216.0,175.125,145.0
2011-05-04,12.417,13.625,1.208,,81.583,239.0,185.542,128.0
2011-05-05,12.043,12.565,0.522,,26.625,251.0,189.417,141.0
2011-05-06,14.375,15.375,1.0,,35.042,250.0,200.292,148.0
2011-05-07,8.542,9.167,0.625,,10.542,289.0,227.75,191.0
2011-05-08,9.792,10.625,0.833,,24.875,283.0,230.375,193.0
2011-05-09,23.773,25.864,2.091,,44.522,275.0,228.5,173.0
2011-05-10,22.583,34.083,11.5,,36.333,278.0,236.458,209.0
