date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,,,,17.958,20.083,2.125,,4.917,11.292,,,
2011-01-02,,,,7.958,8.625,0.667,,5.5,10.25,,,
2011-01-03,,,,14.583,15.958,1.375,,6.042,13.833,,,
2011-01-04,,,,11.667,12.708,1.042,,7.417,20.583,,,
2011-01-05,,,,16.174,17.957,1.783,,4.208,5.042,,,
2011-01-06,,,,30.333,53.0,22.667,,5.25,9.304,,,
2011-01-07,,,,9.458,10.25,0.792,,4.0,4.208,,,
2011-01-08,,,,14.792,16.042,1.25,,4.208,4.875,,,
2011-01-09,,,,22.458,28.75,6.292,,5.833,13.292,,,
2011-01-10,,,,36.958,72.042,35.083,,6.75,27.917,,,
2011-01-11,,,,18.333,21.917,3.583,,6.042,20.0,,,
2011-01-12,,,,25.391,34.826,9.435,,4.875,6.292,,,
2011-01-13,,,,27.667,66.667,39.0,,4.783,11.417,,,
2011-01-14,,,,21.292,23.875,2.583,,5.792,25.625,,,
2011-01-15,,,,17.417,19.958,2.542,,3.542,8.917,,,
2011-01-16,,,,12.5,13.792,1.292,,3.25,8.583,,,
2011-01-17,,,,23.458,31.5,8.042,,3.667,10.125,,,
2011-01-18,,,,36.583,56.875,20.292,,3.708,9.667,,,
2011-01-19,,,,32.174,44.609,12.435,,3.625,10.0,,,
2011-01-20,,,,20.875,22.958,2.083,,2.708,6.458,,,
2011-01-21,,,,22.708,24.833,2.125,,2.667,7.625,,,
2011-01-22,,,,24.333,29.5,5.167,,3.708,10.875,,,
2011-01-23,,,,13.5,15.0,1.5,,2.833,4.958,,,
2011-01-24,,,,15.208,17.458,2.25,,2.667,5.75,,,
2011-01-25,,,,17.958,20.667,2.708,,3.792,11.917,,,
2011-01-26,,,,17.087,19.478,2.391,,3.13,4.75,,,
2011-01-27,,,,28.875,35.833,6.958,,5.25,18.708,,,
2011-01-28,,,,19.458,21.458,2.0,,4.292,15.875,,,
2011-01-29,,,,12.417,13.667,1.25,,3.292,4.958,,,
2011-01-30,,,,23.833,28.417,4.583,,3.333,5.083,,,
2011-01-31,,,,23.792,31.042,7.25,,3.417,7.375,,,
2011-02-01,,,,24.958,50.125,25.167,,4.833,12.958,,,
2011-02-02,,,,12.696,14.217,1.522,,3.0,5.542,,,
2011-02-03,,,,26.375,35.292,8.917,,3.833,9.875,,,
2011-02-04,,,,23.5,26.708,3.208,,5.458,17.042,,,
2011-02-05,,,,20.375,23.417,3.042,,7.208,32.375,,,
2011-02-06,,,,31.833,39.875,8.042,,5.417,23.375,,,
2011-02-07,,,,31.75,40.167,8.417,,3.875,13.375,,,
2011-02-08,,,,14.792,16.833,2.042,,3.583,9.167,,,
2011-02-09,,,,20.261,24.913,4.652,,3.958,7.917,,,
2011-02-10,,,,22.958,30.458,7.5,,4.292,8.542,,,
2011-02-11,,,,12.625,13.667,1.042,,3.583,7.875,,,
2011-02-12,,,,11.958,12.958,1.0,,3.625,5.0,,,
2011-02-13,,,,32.75,38.542,5.792,,3.833,,,,
2011-02-14,,,,37.875,64.875,27.0,,3.833,,,,
2011-02-15,,,,29.042,55.583,26.542,,3.708,,,,
2011-02-16,,,,26.957,31.913,4.957,,3.917,12.643,,,
2011-02-17,,,,15.875,18.333,2.458,,3.333,6.458,,,
2011-02-18,,,,9.375,9.917,0.542,,3.0,3.875,,,
2011-02-19,,,,18.083,20.375,2.292,,3.5,6.083,,,
2011-02-20,,,,38.542,61.458,22.917,,4.042,10.125,,,
2011-02-21,,,,44.917,81.583,36.667,,6.0,20.458,,,
2011-02-22,,,,25.75,28.458,2.708,,4.708,17.917,,,
2011-02-23,,,,23.739,35.304,11.565,,3.5,12.125,,,
2011-02-24,,,,11.083,11.75,0.667,,4.375,20.292,,,
2011-02-25,,,,24.042,29.417,5.375,,3.917,19.167,,,
2011-02-26,,,,6.542,6.875,0.333,,2.917,8.0,,,
2011-02-27,,,,10.833,11.458,0.625,,3.0,7.458,,,
2011-02-28,,,,21.833,25.167,3.333,,3.292,8.375,,,
2011-03-01,,,,39.217,51.739,12.522,,4.167,14.375,,,
2011-03-02,,,,31.083,49.667,18.583,,4.042,17.083,,,
2011-03-03,,,,8.542,9.042,0.5,,3.5,10.292,,,
2011-03-04,,,,13.292,14.458,1.167,,3.208,11.458,,,
2011-03-05,,,,26.25,42.667,16.417,,2.957,12.25,,,
2011-03-06,,,,34.417,59.958,25.542,,4.375,17.458,,,
2011-03-07,,,,14.792,15.75,0.958,,4.208,27.083,,,
2011-03-08,,,,17.609,19.913,2.304,,4.458,22.625,,,
2011-03-09,,,,22.292,24.083,1.792,,3.375,15.792,,,
2011-03-10,,,,12.667,13.458,0.792,,3.208,9.417,,,
2011-03-11,,,,10.542,11.458,0.917,,3.458,9.125,,,
2011-03-12,,,,11.083,12.167,1.083,,3.0,8.125,,,
2011-03-13,,,,15.083,16.375,1.292,,3.0,7.292,,,
2011-03-14,,,,34.583,43.458,8.875,,4.625,11.042,,,
2011-03-15,,,,22.348,50.652,28.304,,4.417,16.125,,,
2011-03-16,,,,32.333,37.75,5.417,,3.458,11.333,,,
2011-03-17,,,,30.833,47.625,16.792,,3.5,15.583,,,
2011-03-18,,,,32.625,63.5,30.875,,5.042,34.25,,,
2011-03-19,,,,8.458,9.667,1.208,,3.167,5.458,,,
2011-03-20,,,,20.125,22.875,2.75,,3.958,7.792,,,
2011-03-21,,,,16.708,18.458,1.75,,3.708,10.25,,,
2011-03-22,,,,39.087,50.652,11.565,,6.333,19.75,,,
2011-03-23,,,,25.333,27.292,1.958,,3.208,9.696,,,
2011-03-24,,,,20.292,22.0,1.708,,3.917,13.75,,,
2011-03-25,,,,8.833,9.542,0.708,,3.333,9.75,,,
2011-03-26,,,,14.75,16.083,1.333,,3.042,8.458,,,
2011-03-27,,,,32.708,37.792,5.083,,5.333,15.708,,,
2011-03-28,,,,32.583,64.542,31.958,,5.583,26.542,,,
2011-03-29,,,,31.5,39.625,8.125,,5.353,14.417,,,
2011-03-30,,,,15.273,16.727,1.455,,5.174,12.542,,,
2011-03-31,,,,17.292,18.708,1.417,,3.125,9.667,,,
2011-04-01,,,,32.417,34.208,1.792,,6.292,22.042,,,
2011-04-02,,,,34.708,46.625,11.917,,7.542,29.833,,,
2011-04-03,,,,4.333,4.375,0.042,,3.792,7.792,,,
2011-04-04,,,,8.833,9.333,0.5,,3.5,8.167,,,
2011-04-05,,,,27.0,30.0,3.0,,5.308,16.167,,,
2011-04-06,,,,23.4,24.5,1.1,,5.05,14.708,,,
2011-04-07,,,,32.522,38.913,6.391,,5.167,14.125,,,
2011-04-08,,,,33.708,39.458,5.75,,3.708,22.042,,,
2011-04-09,,,,15.5,16.875,1.375,,3.125,12.75,,,
2011-04-10,,,,17.042,17.75,0.708,,5.292,22.0,,,
2011-04-11,,,,26.375,29.583,3.208,,5.833,,,,
2011-04-12,,,,20.0,21.875,1.875,,4.583,,,,
2011-04-13,,,,36.708,45.583,8.875,,6.333,,,,
2011-04-14,,,,33.783,40.565,6.783,,7.875,30.125,,,
2011-04-15,,,,30.125,35.25,5.125,,7.25,32.292,,,
2011-04-16,,,,18.125,20.708,2.583,,4.583,28.167,,,
2011-04-17,,,,9.708,10.208,0.5,,4.375,8.333,,,
2011-04-18,,,,19.625,20.958,1.333,,4.542,16.708,,,
2011-04-19,,,,16.083,17.5,1.417,,3.917,8.458,,,
2011-04-20,,,,12.625,13.417,0.792,,2.917,3.542,,,
2011-04-21,,,,29.739,34.391,4.652,,4.583,15.208,,,
2011-04-22,,,,44.625,51.667,7.042,,4.125,31.708,,,
2011-04-23,,,,25.125,29.5,4.375,,2.958,17.375,,,
2011-04-24,,,,18.375,20.792,2.417,,4.25,15.917,,,
2011-04-25,,,,25.75,30.208,4.458,,4.333,15.583,,,
