date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,5.087,19.958,31.708,11.75,16.75,17.583
2011-01-02,5.125,13.292,23.958,10.667,14.333,17.0
2011-01-03,5.583,18.708,35.958,17.25,18.708,20.5
2011-01-04,6.0,17.458,34.167,16.708,23.667,23.667
2011-01-05,6.292,27.792,62.833,35.042,11.792,13.458
2011-01-06,9.583,42.625,135.625,93.0,22.458,20.167
2011-01-07,4.917,19.292,43.5,24.208,9.042,11.333
2011-01-08,5.826,23.042,45.667,22.625,11.25,11.833
2011-01-09,6.75,28.167,55.167,27.0,21.583,21.458
2011-01-10,11.583,46.333,145.583,99.25,42.125,41.083
2011-01-11,6.208,27.042,67.208,40.167,28.917,26.542
2011-01-12,7.609,35.391,98.304,62.913,12.792,14.182
2011-01-13,8.625,36.75,114.417,77.667,25.5,21.542
2011-01-14,7.875,29.75,68.833,39.083,38.625,35.667
2011-01-15,7.348,25.833,56.208,30.375,19.583,20.375
2011-01-16,3.5,18.833,29.125,10.292,13.417,13.375
2011-01-17,5.5,26.542,62.042,35.5,15.292,14.958
2011-01-18,4.864,37.409,70.318,32.909,19.435,16.864
2011-01-19,3.5,32.583,49.167,16.583,16.917,17.5
2011-01-20,2.958,22.542,33.875,11.333,7.708,11.625
2011-01-21,3.708,25.042,37.458,12.417,13.083,17.833
2011-01-22,6.696,29.167,61.875,32.708,14.167,19.5
2011-01-23,5.208,25.292,66.5,41.208,5.667,10.417
2011-01-24,4.833,26.917,69.583,42.667,7.708,12.042
2011-01-25,6.042,28.917,74.875,45.958,18.125,18.417
2011-01-26,6.25,33.292,90.583,57.292,9.542,12.083
2011-01-27,7.75,37.083,96.75,59.667,28.042,25.625
2011-01-28,6.167,31.875,68.458,36.583,22.333,24.333
2011-01-29,3.0,13.75,21.708,7.958,8.167,10.208
2011-01-30,6.5,34.125,86.292,52.167,11.292,13.292
2011-01-31,6.292,34.583,93.375,58.792,11.5,15.542
2011-02-01,7.375,33.708,97.708,64.0,22.083,22.333
2011-02-02,4.174,19.913,49.783,29.87,9.125,10.136
2011-02-03,7.292,33.25,92.458,59.208,15.458,15.542
2011-02-04,7.333,30.75,81.0,50.25,26.125,22.375
2011-02-05,7.043,27.708,51.667,23.958,39.042,35.25
2011-02-06,4.25,26.375,37.125,10.75,27.375,31.5
2011-02-07,7.75,36.208,92.917,56.708,16.13,18.292
2011-02-08,5.083,24.833,65.917,41.083,14.375,14.958
2011-02-09,5.75,26.75,67.75,41.0,14.667,14.75
2011-02-10,6.25,33.292,96.25,62.958,15.958,15.333
2011-02-11,5.208,24.417,53.583,29.167,13.833,12.083
2011-02-12,3.957,17.625,30.583,12.958,13.0,15.167
2011-02-13,4.333,32.25,48.0,15.75,17.833,19.75
2011-02-14,6.542,36.125,83.458,47.333,16.792,23.042
2011-02-15,6.696,28.522,78.696,50.174,20.0,25.739
2011-02-16,7.292,38.292,102.125,63.833,16.542,20.167
2011-02-17,5.458,27.75,71.292,43.542,13.958,15.417
2011-02-18,3.75,17.375,39.417,22.042,8.875,13.292
2011-02-19,4.652,22.708,40.583,17.875,14.792,18.087
2011-02-20,9.042,44.5,127.458,82.958,22.292,23.917
2011-02-21,10.083,51.833,142.542,90.708,37.25,37.708
2011-02-22,4.083,27.375,38.833,11.458,24.542,26.25
2011-02-23,5.833,25.917,63.917,38.0,16.375,21.583
2011-02-24,4.273,22.048,33.81,11.762,28.25,31.609
2011-02-25,6.25,31.875,70.5,38.625,27.583,32.5
2011-02-26,2.87,11.083,18.042,6.958,10.417,15.042
2011-02-27,3.292,19.375,34.875,15.5,13.208,15.583
2011-02-28,3.435,23.826,38.13,14.304,13.125,16.304
2011-03-01,5.042,37.708,68.292,30.583,19.0,22.167
2011-03-02,5.542,29.708,78.25,48.542,18.875,25.0
2011-03-03,2.958,11.375,17.417,6.042,17.208,21.25
2011-03-04,2.957,12.958,17.208,4.25,17.125,19.875
2011-03-05,5.5,25.909,63.727,37.818,11.208,21.435
2011-03-06,8.542,35.792,104.875,69.083,18.083,24.833
2011-03-07,5.458,21.667,34.583,12.917,29.75,33.833
2011-03-08,5.833,25.042,42.75,17.708,31.583,33.583
2011-03-09,5.458,27.125,46.208,19.083,21.833,23.958
2011-03-10,3.917,17.042,27.75,10.708,15.292,19.75
2011-03-11,4.652,18.708,33.25,14.542,16.125,19.417
2011-03-12,4.87,24.87,57.304,32.435,14.261,15.522
2011-03-13,4.917,29.0,68.5,39.5,12.958,13.958
2011-03-14,6.542,41.875,87.625,45.75,19.5,19.667
2011-03-15,5.208,28.958,70.375,41.417,23.417,23.708
2011-03-16,5.391,38.739,70.739,32.0,17.636,20.0
2011-03-17,6.375,30.625,61.208,30.583,18.375,24.958
2011-03-18,10.087,34.667,84.292,49.625,30.042,45.125
2011-03-19,2.958,15.042,26.25,11.208,7.917,12.125
2011-03-20,4.208,22.417,41.542,19.125,13.375,18.417
2011-03-21,4.542,29.292,63.417,34.125,13.875,17.875
2011-03-22,5.625,42.375,85.958,43.583,24.542,25.0
2011-03-23,3.083,22.417,31.917,9.5,12.417,17.833
2011-03-24,6.5,27.167,51.125,23.958,19.833,22.583
2011-03-25,3.87,14.75,25.458,10.708,15.75,17.542
2011-03-26,5.042,30.583,68.208,37.625,13.875,16.583
2011-03-27,7.583,46.542,105.958,59.417,26.667,27.042
2011-03-28,7.417,37.542,96.583,59.042,33.75,36.25
2011-03-29,6.75,42.833,89.333,46.5,24.042,25.917
2011-03-30,5.652,35.478,76.435,40.957,19.083,23.522
2011-03-31,4.542,28.083,52.25,24.167,11.375,14.458
2011-04-01,5.833,46.708,79.333,32.625,31.25,27.792
2011-04-02,6.042,33.375,68.833,35.458,37.208,41.333
2011-04-03,6.0,7.5,10.875,3.375,9.667,14.5
2011-04-04,5.2,14.708,26.667,11.958,11.333,15.0
2011-04-05,5.708,26.0,52.208,26.208,20.227,21.25
2011-04-06,6.625,33.167,58.833,25.667,22.292,25.0
2011-04-07,6.583,34.083,65.083,31.0,20.167,23.208
2011-04-08,6.583,34.542,69.083,34.542,17.25,24.333
2011-04-09,4.792,14.167,26.792,12.625,15.125,19.125
2011-04-10,7.75,25.292,41.0,15.708,33.5,40.292
2011-04-11,6.609,27.667,51.583,23.917,31.667,38.458
2011-04-12,6.636,32.318,60.409,28.091,26.826,37.591
2011-04-13,7.458,44.208,81.333,37.125,31.208,34.792
2011-04-14,8.292,50.875,93.167,42.292,38.75,41.833
2011-04-15,7.583,46.5,85.958,39.458,39.364,44.625
2011-04-16,5.5,21.375,41.292,19.917,30.542,38.75
2011-04-17,3.833,13.75,20.083,6.333,14.958,21.333
2011-04-18,5.478,28.5,52.292,23.792,23.125,28.083
2011-04-19,5.958,28.75,58.417,29.667,14.833,17.75
2011-04-20,4.958,24.0,47.292,23.292,9.0,13.167
2011-04-21,6.917,41.083,73.375,32.292,21.083,23.292
2011-04-22,6.833,42.333,65.958,23.625,27.083,34.792
2011-04-23,5.417,24.667,42.083,17.417,15.375,20.417
2011-04-24,6.174,22.25,36.083,13.833,23.792,26.667
2011-04-25,6.0,31.917,61.333,29.417,22.5,23.958
