date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2012-01-01,4.292,13.375,17.75,4.375,
2012-01-02,3.208,8.667,9.958,1.292,
2012-01-03,2.625,7.958,10.625,2.667,
2012-01-04,3.958,21.667,36.5,14.833,
2012-01-05,6.375,31.043,64.478,33.435,
2012-01-06,7.042,30.667,60.583,29.917,
2012-01-07,8.174,43.217,118.304,75.087,
2012-01-08,8.292,49.708,129.708,80.0,
2012-01-09,5.958,34.583,82.792,48.208,
2012-01-10,4.292,23.542,40.875,17.333,
2012-01-11,6.417,42.958,104.208,61.25,
2012-01-12,7.75,42.696,100.13,57.435,
2012-01-13,8.833,39.667,70.125,30.458,
2012-01-14,4.417,24.458,35.5,11.042,
2012-01-15,5.542,32.167,70.833,38.667,
2012-01-16,5.087,33.833,69.389,35.556,
2012-01-17,5.125,25.75,53.875,28.125,
2012-01-18,4.417,29.167,66.375,37.208,
2012-01-19,4.708,23.783,39.913,16.13,
2012-01-20,5.208,17.375,28.333,10.958,
2012-01-21,7.458,45.958,121.708,75.75,
2012-01-22,5.955,36.864,87.864,51.0,
2012-01-23,5.167,44.458,118.958,74.5,
2012-01-24,4.875,28.333,61.458,33.125,
2012-01-25,4.25,16.625,27.875,11.25,
2012-01-26,3.042,15.0,26.391,11.391,
2012-01-27,3.583,13.333,18.792,5.458,
2012-01-28,4.75,26.542,52.667,26.125,
2012-01-29,5.217,31.739,48.391,16.652,
2012-01-30,7.167,42.833,96.75,53.917,
2012-01-31,8.75,52.25,140.5,88.25,
2012-02-01,9.208,59.583,165.542,105.958,34.667
2012-02-02,6.0,35.696,75.565,39.87,23.292
2012-02-03,4.75,20.25,33.542,13.292,13.583
2012-02-04,6.583,40.75,102.042,61.292,24.458
2012-02-05,4.25,31.792,73.208,41.417,13.917
2012-02-06,5.087,33.0,54.043,21.043,15.381
2012-02-07,5.75,27.958,79.5,51.542,19.583
2012-02-08,4.0,26.833,66.042,39.208,9.0
2012-02-09,5.417,34.174,77.478,43.304,14.083
2012-02-10,5.292,19.417,34.417,15.0,20.417
2012-02-11,4.667,18.292,30.375,12.083,23.375
2012-02-12,6.75,48.125,133.208,85.083,25.0
2012-02-13,5.792,37.083,86.292,49.208,19.667
2012-02-14,6.667,48.458,116.917,68.458,24.75
2012-02-15,5.87,40.913,90.826,49.913,17.292
2012-02-16,4.042,22.783,50.696,27.913,10.458
2012-02-17,5.167,,,,14.167
2012-02-18,6.5,,,,14.708
2012-02-19,5.13,,,,16.739
2012-02-20,4.75,,,,14.625
2012-02-21,5.958,,,,22.875
2012-02-22,5.875,,,,29.75
2012-02-23,5.708,,,,25.75
2012-02-24,3.583,,,,12.542
2012-02-25,4.708,,,,12.208
2012-02-26,5.792,,,,29.208
2012-02-27,7.917,,,,46.458
2012-02-28,7.208,,,,31.75
2012-03-01,5.182,21.429,27.571,6.143,17.435
2012-03-02,4.75,21.826,46.043,24.217,22.917
2012-03-03,4.0,18.292,28.833,10.542,16.083
2012-03-04,5.417,37.0,85.583,48.583,20.125
2012-03-05,6.478,41.136,72.909,31.773,43.783
2012-03-06,7.0,46.348,110.348,64.0,35.174
2012-03-07,7.5,57.792,126.75,68.958,37.333
2012-03-08,5.333,41.375,78.375,37.0,43.167
2012-03-09,7.0,54.087,82.87,28.783,62.542
2012-03-10,5.708,26.542,38.25,11.708,32.958
2012-03-11,4.208,34.417,79.125,44.708,11.917
2012-03-12,6.0,47.833,105.708,57.875,22.875
2012-03-13,4.583,35.667,85.208,49.542,17.25
2012-03-14,3.348,22.0,47.304,25.304,11.958
2012-03-15,6.042,41.583,88.917,47.333,20.25
2012-03-16,6.0,35.043,80.739,45.696,25.542
2012-03-17,7.375,36.917,55.125,18.208,43.208
2012-03-18,2.625,15.583,23.208,7.625,25.125
2012-03-19,4.913,31.435,46.609,15.174,26.083
2012-03-20,6.042,38.833,69.75,30.917,33.583
2012-03-21,3.5,26.25,57.917,31.667,8.375
2012-03-22,4.667,37.417,78.917,41.5,18.0
2012-03-23,4.333,26.913,47.739,20.826,21.25
2012-03-24,4.875,24.25,35.0,10.75,22.208
2012-03-25,3.833,33.583,69.208,35.625,16.792
2012-03-26,4.583,37.667,82.75,45.083,15.792
2012-03-27,5.667,48.5,109.958,61.458,20.583
2012-03-28,7.087,51.455,137.773,86.318,23.087
2012-03-29,6.208,36.083,71.75,35.667,38.208
2012-03-30,3.833,26.739,50.609,23.87,16.542
2012-03-31,4.625,23.292,34.625,11.333,21.917
2012-10-01,3.682,28.182,52.455,24.273,
2012-10-02,4.417,37.667,75.083,37.417,
2012-10-03,4.125,30.792,58.167,27.375,
2012-10-04,4.458,35.0,68.708,33.708,
2012-10-05,4.542,37.542,78.833,41.292,
2012-10-06,4.542,32.609,67.609,35.0,
2012-10-07,3.292,14.917,21.792,6.875,
2012-10-08,3.875,20.958,33.792,12.833,
2012-10-09,4.458,38.0,75.5,37.5,
2012-10-10,4.87,34.696,63.739,29.043,
2012-10-11,4.5,39.042,73.958,34.917,
2012-10-12,4.5,33.583,79.667,46.083,
2012-10-13,4.583,30.826,61.565,30.739,
2012-10-14,6.042,24.375,36.625,12.25,
2012-10-15,5.739,35.435,81.957,46.522,
2012-10-16,5.542,40.417,75.417,35.0,
2012-10-17,4.833,38.667,85.083,46.417,
2012-10-18,5.708,43.167,106.125,62.958,
2012-10-19,3.75,29.125,59.0,29.875,
2012-10-20,4.792,28.435,56.348,27.913,
2012-10-21,5.958,25.25,35.5,10.25,
2012-10-22,6.5,47.0,89.565,42.565,
2012-10-23,3.292,25.25,43.042,17.792,
2012-10-24,4.917,35.875,75.417,39.542,
2012-10-25,5.875,41.792,91.542,49.75,
2012-10-26,6.917,49.792,108.708,58.917,
2012-10-27,5.75,35.87,65.826,29.957,
2012-10-28,5.542,23.958,43.708,19.75,
2012-10-29,4.783,35.522,82.217,46.696,
