date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.583,85.0,80.417,69.0,4.739,3.208,3.208,0.0,1.958,7.0,5.325,2.1,196.348
2011-01-02,190.696,2.833,88.0,68.667,50.0,3.478,2.583,2.583,0.0,1.208,5.7,4.417,2.5,194.174
2011-01-03,192.13,3.208,85.0,74.792,48.0,3.739,2.542,2.542,0.0,2.125,5.9,4.15,2.3,195.87
2011-01-04,187.609,2.792,85.0,63.75,48.0,3.522,2.318,2.364,0.0,4.261,5.6,3.108,0.7,191.13
2011-01-05,186.609,2.875,85.0,81.375,73.0,4.87,4.125,4.125,0.0,2.292,4.7,2.825,1.8,191.478
2011-01-06,185.609,2.25,86.0,75.042,55.0,4.217,3.5,3.667,0.167,2.333,9.9,4.162,2.4,189.826
2011-01-07,191.478,2.5,89.0,82.958,74.0,5.783,7.042,7.167,0.125,0.583,4.7,2.846,1.0,197.261
2011-01-08,189.522,2.478,85.0,70.458,42.0,5.696,4.708,4.958,0.333,0.625,9.6,4.796,0.5,195.217
2011-01-09,190.739,3.333,86.0,76.792,53.0,5.087,4.625,4.625,0.0,2.667,9.0,5.621,4.4,195.826
2011-01-10,196.0,4.261,84.0,76.333,66.0,7.0,5.348,5.826,0.478,3.652,8.3,5.438,3.6,203.0
2011-01-11,187.783,2.417,86.0,70.667,53.0,5.435,3.208,3.333,0.167,4.083,6.4,4.117,0.8,193.217
2011-01-12,190.478,2.458,89.0,79.792,69.0,6.652,4.864,5.545,0.727,0.913,5.6,3.238,0.6,197.13
2011-01-13,191.043,2.917,79.0,63.375,47.0,6.435,3.708,3.917,0.167,4.292,6.5,5.408,4.3,197.478
2011-01-14,192.304,3.0,75.0,60.792,47.0,6.217,3.708,3.708,0.083,2.375,8.0,5.725,4.5,198.522
