date,HUM_max,HUM_mean,HUM_min,PM25_mean,TEMP_max,TEMP_mean,TEMP_min
2013-01-01,98.0,72.5,49.0,22.458,10.2,6.929,3.0
2013-01-02,92.0,62.25,42.0,15.083,11.3,8.167,3.0
2013-01-03,98.0,84.25,52.0,10.792,12.6,5.217,-1.3
2013-01-04,98.0,97.5,95.0,10.542,5.0,2.838,0.8
2013-01-05,99.0,79.167,46.0,6.042,7.9,3.917,-0.1
2013-01-06,98.0,87.417,60.0,6.833,8.2,3.171,-0.8
2013-01-07,98.0,79.458,45.0,9.435,13.2,4.55,-3.4
2013-01-08,98.0,95.542,83.0,18.042,8.2,5.096,3.3
2013-01-09,98.0,97.5,91.0,5.333,5.3,2.388,-0.1
2013-01-10,98.0,96.625,90.0,4.375,2.7,0.8,-0.4
2013-01-11,98.0,94.208,82.0,15.458,4.5,2.05,0.3
2013-01-12,98.0,86.542,66.0,26.25,6.6,3.008,0.0
2013-01-13,98.0,97.583,95.0,13.435,3.3,1.971,0.5
2013-01-14,99.0,96.0,85.0,4.136,6.2,2.562,0.2
2013-01-15,98.0,96.958,77.0,2.917,6.3,3.208,1.2
2013-01-16,98.0,94.333,74.0,5.25,7.4,3.962,2.1
2013-01-17,98.0,97.5,92.0,11.0,6.5,3.321,1.2
2013-01-18,99.0,94.042,81.0,24.917,5.1,2.562,1.0
2013-01-19,98.0,88.417,74.0,13.0,3.5,1.1,-1.5
2013-01-20,98.0,97.542,93.0,13.958,4.8,1.742,-1.9
2013-01-21,99.0,97.292,86.0,22.208,4.1,1.362,0.4
2013-01-22,99.0,96.333,78.0,12.833,3.5,1.212,-0.2
2013-01-23,99.0,89.0,58.0,13.0,8.4,2.171,-2.1
2013-01-24,98.0,83.625,52.0,12.458,13.7,4.858,-2.0
2013-01-25,98.0,88.833,67.0,12.917,13.2,7.85,1.4
2013-01-26,98.0,90.125,70.0,16.083,9.0,4.475,0.1
2013-01-27,98.0,82.292,42.0,7.458,8.0,1.325,-2.8
2013-01-28,98.0,90.458,61.0,12.083,11.5,4.604,-1.8
2013-01-29,99.0,89.5,37.0,14.917,14.2,3.022,-0.7
2013-01-30,98.0,89.875,72.0,17.25,13.5,9.896,3.6
2013-01-31,98.0,77.292,38.0,17.958,11.6,6.279,0.3
2013-02-01,98.0,83.5,45.0,22.917,16.9,6.467,-1.8
2013-02-02,98.0,93.792,70.0,28.708,18.6,10.696,7.1
2013-02-03,98.0,97.625,93.0,20.792,10.5,8.033,5.4
2013-02-04,99.0,97.875,94.0,3.5,5.6,1.538,-0.5
2013-02-05,98.0,97.875,96.0,5.667,0.9,-0.467,-1.5
2013-02-06,99.0,97.833,95.0,7.542,0.9,-0.433,-1.6
2013-02-07,98.0,89.042,75.0,5.625,3.8,0.696,-2.5
2013-02-08,99.0,97.875,93.0,2.125,4.4,1.321,-0.1
2013-02-09,99.0,94.708,78.0,4.083,6.2,2.283,0.3
2013-02-10,98.0,96.583,88.0,7.273,1.2,0.312,-1.1
2013-02-11,98.0,84.167,69.0,5.167,2.9,0.742,-1.6
2013-02-12,96.0,80.125,68.0,5.583,3.6,2.179,0.6
2013-02-13,98.0,79.75,59.0,6.208,4.7,2.425,0.2
2013-02-14,98.0,77.792,68.0,8.875,4.5,3.271,1.7
2013-02-15,98.0,78.083,58.0,8.333,6.8,4.275,2.6
2013-02-16,98.0,75.167,32.0,23.917,8.9,3.538,-0.7
2013-02-17,98.0,92.042,76.0,27.0,8.1,2.033,-2.8
2013-02-18,98.0,76.625,59.0,10.542,3.2,1.829,0.5
2013-02-19,76.0,68.833,58.0,9.75,4.3,2.604,1.5
2013-02-20,98.0,82.0,59.0,11.958,6.7,2.654,-1.1
