date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,99.0,88.917,69.0,4.042,4.042,0.0,,3.5,66.0,46.875,22.0
2011-01-02,99.0,75.792,59.0,2.875,2.875,0.0,,1.167,57.0,29.458,-10.0
2011-01-03,98.0,77.333,58.0,4.958,5.083,0.083,,5.375,53.0,37.458,16.0
2011-01-04,99.0,82.917,63.0,3.238,3.476,0.286,,2.714,27.0,12.375,-9.0
2011-01-05,88.0,70.5,58.0,3.625,3.833,0.208,,1.5,46.0,23.25,3.0
2011-01-06,97.0,73.958,55.0,4.542,5.083,0.542,,1.375,65.0,33.833,9.0
2011-01-07,99.0,91.25,70.0,2.458,2.875,0.292,,0.75,50.0,25.75,8.0
2011-01-08,98.0,75.625,46.0,1.917,2.25,0.25,,1.042,93.0,46.292,3.0
2011-01-09,89.0,70.375,55.0,6.833,7.292,0.333,,7.333,76.0,54.625,24.0
2011-01-10,96.0,88.375,78.0,6.75,7.542,0.792,,3.917,56.0,34.0,15.0
2011-01-11,99.0,70.667,59.0,4.167,4.542,0.375,,2.542,59.0,33.625,-3.0
2011-01-12,99.0,83.0,55.0,3.619,4.333,0.667,,1.667,50.0,21.042,-8.0
2011-01-13,99.0,75.708,62.0,6.083,6.375,0.333,,5.25,47.0,31.917,17.0
2011-01-14,92.0,73.75,54.0,5.5,6.417,0.667,,3.167,66.0,37.75,11.0
2011-01-15,96.0,79.208,56.0,3.458,3.833,0.292,,1.708,70.0,35.5,4.0
2011-01-16,98.0,84.0,62.0,6.042,7.833,1.833,,1.292,57.0,24.75,-12.0
2011-01-17,99.0,79.125,44.0,4.708,6.167,1.583,,1.583,101.0,23.75,-33.0
2011-01-18,98.0,77.875,41.0,5.875,7.167,1.25,,2.167,104.0,42.833,-18.0
2011-01-19,99.0,98.25,95.0,6.583,7.708,1.167,,1.583,78.0,59.708,45.0
2011-01-20,99.0,80.25,59.0,4.095,4.952,0.762,,1.0,101.0,65.208,18.0
2011-01-21,99.0,84.042,56.0,3.75,4.458,0.792,,0.625,111.0,47.958,8.0
2011-01-22,99.0,95.083,77.0,2.833,3.292,0.375,,0.292,67.0,41.292,12.0
2011-01-23,95.0,68.042,56.0,3.917,4.5,0.542,,1.208,50.0,27.042,-2.0
2011-01-24,91.0,65.542,56.0,3.542,3.958,0.417,,0.792,6.0,-3.75,-18.0
2011-01-25,99.0,74.292,56.0,3.375,3.792,0.458,,0.708,11.0,-5.75,-21.0
