date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,199.583,60.0,49.917,44.0,17.417,,2.458,21.333,9.6,6.367,3.3,217.0
2011-01-02,194.5,72.0,52.458,38.0,13.75,,1.522,15.875,11.1,6.483,4.2,208.25
2011-01-03,188.75,42.0,36.792,26.0,9.292,,0.875,6.417,11.0,6.779,4.5,198.042
2011-01-04,192.917,57.0,46.542,36.0,12.708,,1.375,11.708,11.1,6.042,2.5,205.625
2011-01-05,193.217,46.0,36.667,25.0,12.391,,1.0,7.625,9.9,5.783,2.4,205.609
2011-01-06,198.35,55.0,39.478,27.0,17.5,,3.773,13.909,9.4,6.108,3.2,215.85
2011-01-07,195.833,45.0,32.458,20.0,9.917,,1.0,7.375,9.5,5.979,3.6,205.75
2011-01-08,196.833,36.0,28.958,21.0,10.042,,0.87,8.292,10.2,6.183,3.2,206.875
2011-01-09,203.0,69.0,44.208,34.0,15.167,,4.375,19.458,10.2,6.546,3.2,218.167
2011-01-10,210.833,71.0,53.875,30.0,17.792,,5.25,23.292,9.9,7.088,3.8,228.625
2011-01-11,195.8,71.0,53.583,33.0,16.95,,1.783,20.208,10.5,5.912,2.1,212.75
2011-01-12,192.0,47.0,36.333,27.0,12.261,,1.542,10.583,6.6,3.758,0.9,204.261
2011-01-13,196.455,62.0,45.292,36.0,23.409,,3.364,21.391,11.1,5.958,0.9,219.864
2011-01-14,194.833,51.0,40.417,32.0,13.167,,2.609,13.083,8.4,5.254,3.2,208.0
2011-01-15,202.458,49.0,44.583,40.0,16.375,,2.417,16.042,5.6,4.371,2.0,218.833
2011-01-16,192.667,47.0,42.375,40.0,13.375,,2.083,19.5,5.0,4.329,2.9,206.042
2011-01-17,195.542,60.0,45.792,35.0,10.542,,4.174,15.417,7.8,4.758,2.6,206.083
2011-01-18,201.87,62.0,50.958,41.0,23.174,,4.833,28.958,9.0,5.854,2.0,225.043
