date,HUM_max,HUM_mean,HUM_min,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,65.625,54.0,15.25,18.375,9.0,4.65,2.3
2011-01-02,91.0,64.667,45.0,9.25,12.292,11.2,5.254,1.1
2011-01-03,73.0,51.292,32.0,3.958,8.125,11.3,4.812,-0.9
2011-01-04,91.0,69.583,42.0,8.0,11.125,11.1,3.525,-1.6
2011-01-05,88.0,55.125,33.0,4.913,9.0,9.7,3.392,-3.2
2011-01-06,87.0,62.417,40.0,8.75,12.292,10.3,3.812,-1.3
2011-01-07,71.0,54.208,35.0,4.417,9.083,9.2,4.538,0.2
2011-01-08,68.0,50.875,35.0,3.429,8.667,10.0,4.829,0.1
2011-01-09,83.0,64.0,49.0,13.917,16.958,9.8,4.4,-0.7
2011-01-10,99.0,72.792,46.0,15.875,17.417,10.8,4.662,-1.2
2011-01-11,95.0,65.208,43.0,13.75,18.0,10.4,4.496,0.8
2011-01-12,79.0,52.792,38.0,9.042,12.125,7.6,2.462,-1.7
2011-01-13,94.0,63.391,34.0,12.913,15.273,11.6,3.854,-3.3
2011-01-14,72.0,54.083,39.0,13.417,17.542,6.9,2.962,-1.4
2011-01-15,80.0,60.375,47.0,12.333,15.75,6.3,2.667,-1.7
2011-01-16,57.0,51.875,47.0,14.5,20.083,4.6,3.642,2.3
2011-01-17,78.0,55.625,40.0,19.958,23.375,7.8,3.575,-0.3
2011-01-18,82.0,65.292,47.0,24.25,25.917,8.7,3.362,-2.0
2011-01-19,98.0,69.833,53.0,19.125,21.333,9.7,5.304,0.1
2011-01-20,100.0,96.167,81.0,12.042,13.043,2.8,1.904,1.1
2011-01-21,99.0,94.083,81.0,5.375,8.5,3.5,2.854,2.1
2011-01-22,99.0,90.125,71.0,6.833,9.542,8.6,5.021,2.1
2011-01-23,100.0,95.625,78.0,8.417,12.083,6.9,3.708,0.6
2011-01-24,98.0,76.875,47.0,8.833,11.458,4.0,1.121,-1.3
2011-01-25,100.0,70.667,33.0,10.625,13.292,9.5,2.508,-2.9
2011-01-26,91.0,61.625,38.0,9.696,13.0,6.1,1.454,-1.9
2011-01-27,94.0,63.208,40.0,10.125,12.917,7.2,1.496,-4.1
2011-01-28,92.0,60.583,41.0,10.917,14.625,5.6,1.196,-2.4
2011-01-29,58.0,41.958,29.0,6.333,9.167,6.7,2.396,-0.9
2011-01-30,73.0,50.958,36.0,8.292,11.542,6.4,1.746,-2.6
2011-01-31,91.0,61.708,42.0,10.25,12.958,9.2,2.292,-4.1
2011-02-01,92.0,58.958,35.0,11.333,15.833,12.5,4.15,-3.3
2011-02-02,85.0,44.348,23.0,6.333,9.9,4.5,0.971,-3.7
2011-02-03,85.0,51.167,31.0,9.458,14.125,6.8,0.975,-4.8
2011-02-04,90.0,55.792,29.0,11.167,14.542,11.4,3.392,-4.5
2011-02-05,77.0,60.333,41.0,15.625,18.875,9.0,3.825,-0.8
2011-02-06,100.0,90.875,74.0,32.958,33.917,4.6,3.575,1.4
2011-02-07,99.0,96.583,90.0,25.333,24.833,9.5,6.946,4.4
2011-02-08,94.0,58.792,42.0,5.875,9.292,8.3,5.346,0.8
2011-02-09,91.0,48.083,27.0,5.75,10.125,8.1,3.142,-1.8
2011-02-10,89.0,63.0,42.0,13.261,17.0,9.4,3.883,-1.5
2011-02-11,97.0,59.542,39.0,12.542,14.333,8.8,4.075,-1.8
2011-02-12,86.0,52.25,35.0,7.917,13.0,9.6,3.538,-2.0
2011-02-13,77.0,55.875,43.0,14.292,20.125,9.5,4.375,-0.5
2011-02-14,99.0,81.833,55.0,27.375,26.792,6.2,4.858,4.1
2011-02-15,99.0,70.625,44.0,19.167,22.083,11.9,6.738,3.9
2011-02-16,99.0,61.083,46.0,11.958,13.667,3.6,2.788,1.3
2011-02-17,100.0,73.958,37.0,18.125,18.826,8.0,3.467,1.0
2011-02-18,100.0,51.042,23.0,6.375,10.792,6.0,1.912,-1.5
2011-02-19,88.0,54.542,33.0,9.875,14.5,8.0,2.3,-1.9
2011-02-20,85.0,57.958,30.0,10.583,16.25,10.8,4.288,-2.8
2011-02-21,97.0,56.208,28.0,12.125,19.0,13.1,6.179,-1.9
2011-02-22,96.0,67.292,55.0,18.625,25.917,9.9,7.433,5.0
2011-02-23,99.0,88.167,52.0,22.348,23.478,11.0,7.375,4.2
2011-02-24,76.0,48.25,33.0,18.167,27.25,15.8,11.079,7.2
2011-02-25,100.0,91.167,79.0,12.917,15.75,9.5,5.692,3.4
2011-02-26,78.0,58.917,43.0,6.5,11.542,6.8,5.154,3.0
2011-02-27,45.0,36.875,30.0,6.1,11.542,8.7,4.229,0.8
2011-02-28,61.0,46.958,37.0,,12.375,6.9,3.492,0.2
2011-03-01,99.0,80.958,58.0,11.083,15.208,10.8,6.262,1.5
2011-03-02,99.0,96.708,90.0,17.739,17.609,7.4,5.796,4.4
2011-03-03,99.0,69.167,45.0,9.75,12.875,11.6,7.183,3.5
2011-03-04,100.0,71.417,58.0,15.875,17.875,6.2,5.012,2.1
2011-03-05,100.0,97.583,91.0,6.708,8.5,8.9,5.342,1.9
2011-03-06,99.0,89.0,63.0,17.75,21.625,17.7,11.379,7.7
2011-03-07,99.0,67.0,40.0,19.708,24.958,15.0,12.379,10.7
2011-03-08,87.0,67.864,57.0,17.333,21.391,10.2,9.183,7.8
2011-03-09,97.0,92.333,64.0,14.042,16.625,9.0,6.762,4.5
2011-03-10,98.0,87.542,73.0,3.125,7.5,7.1,4.983,2.5
2011-03-11,94.0,74.875,50.0,10.417,12.5,11.4,6.546,2.8
2011-03-12,83.0,47.583,27.0,4.304,9.292,11.6,5.971,0.0
2011-03-13,68.0,47.5,29.0,4.542,9.375,10.4,5.929,1.1
2011-03-14,83.0,58.5,43.0,10.25,12.667,11.8,6.462,2.4
2011-03-15,97.0,57.208,32.0,13.522,19.043,13.1,6.288,0.5
2011-03-16,80.0,54.708,36.0,13.875,17.917,11.5,6.417,1.1
2011-03-17,100.0,89.0,69.0,38.167,38.75,8.1,6.25,4.2
2011-03-18,99.0,95.625,85.0,31.083,30.75,11.5,8.625,4.8
2011-03-19,99.0,48.625,31.0,6.381,9.833,11.3,8.067,5.2
2011-03-20,63.0,42.417,31.0,9.125,15.292,13.1,7.829,2.7
2011-03-21,59.0,39.125,21.0,6.375,12.875,13.4,7.467,3.0
2011-03-22,85.0,54.417,39.0,18.667,26.87,15.2,8.517,0.1
2011-03-23,99.0,80.542,53.0,23.292,25.708,11.7,8.921,7.4
2011-03-24,99.0,92.083,72.0,12.375,13.25,12.5,7.679,4.1
2011-03-25,99.0,56.542,20.0,5.75,9.542,14.3,7.817,1.3
2011-03-26,85.0,54.125,33.0,8.667,13.542,11.0,5.975,0.3
