date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,203.167,,,,20.333,24.792,29.5,4.708,,19.333,,,,223.5
2011-01-02,197.292,,,,15.833,17.458,19.792,2.333,,14.708,,,,213.125
2011-01-03,191.625,,,,11.083,9.609,10.435,0.826,,6.125,,,,202.708
2011-01-04,194.208,,,,14.292,17.375,20.583,3.208,,10.208,,,,208.5
2011-01-05,195.238,,,,13.143,17.174,20.87,3.696,,7.739,,,,208.381
2011-01-06,200.522,,,,18.913,33.083,46.417,13.333,,13.0,,,,219.435
2011-01-07,196.542,,,,13.125,16.75,19.417,2.667,,6.833,,,,209.667
2011-01-08,197.042,,,,11.708,12.542,13.917,1.375,,7.333,,,,208.75
2011-01-09,201.917,,,,18.708,28.522,36.957,8.435,,17.25,,,,220.625
2011-01-10,208.042,,,,21.042,38.292,56.375,18.083,,20.875,,,,229.083
2011-01-11,197.292,,,,20.417,27.5,41.583,14.083,,18.042,,,,217.708
2011-01-12,197.727,,,,15.0,24.174,32.087,7.913,,10.087,,,,212.727
2011-01-13,202.208,,,,28.042,42.708,78.75,36.042,,19.417,,,,230.25
2011-01-14,198.5,,,,16.583,22.75,29.333,6.583,,11.208,,,,215.083
2011-01-15,203.708,,,,19.083,24.739,30.522,5.783,,15.75,,,,222.792
2011-01-16,195.917,,,,16.5,25.875,31.25,5.375,,18.375,,,,212.417
2011-01-17,193.958,,,,14.083,24.5,29.458,4.958,,14.583,,,,208.042
2011-01-18,203.652,,,,27.13,44.958,74.25,29.292,,25.958,,,,230.783
2011-01-19,198.435,,,,20.696,30.227,44.591,14.364,,27.304,,,,219.13
2011-01-20,194.458,,,,13.875,21.583,26.167,4.583,,16.125,,,,208.333
2011-01-21,193.958,,,,14.292,21.304,25.174,3.87,,10.042,,,,208.25
2011-01-22,199.042,,,,17.792,21.0,33.333,12.333,,7.208,,,,216.833
2011-01-23,226.417,,,,36.458,35.083,107.542,72.458,,15.417,,,,262.875
2011-01-24,199.0,,,,15.739,26.375,34.583,8.208,,10.5,,,,214.739
2011-01-25,205.667,,,,26.417,36.25,64.667,28.417,,18.917,,,,232.083
2011-01-26,200.696,,,,20.13,25.87,34.0,8.13,,13.739,,,,220.826
2011-01-27,207.083,,,,26.75,33.348,58.391,25.043,,17.042,,,,233.833
2011-01-28,202.458,,,,20.667,24.75,34.833,10.083,,17.667,,,,223.125
2011-01-29,197.625,,,,11.458,10.833,12.208,1.375,,9.208,,,,209.083
2011-01-30,197.826,,,,12.391,19.708,24.5,4.792,,9.167,,,,210.217
2011-01-31,201.208,,,,17.833,33.125,46.542,13.417,,14.0,,,,219.042
2011-02-01,198.083,,,,16.0,24.5,35.708,11.208,,16.167,,,,214.083
2011-02-02,193.667,,,,10.19,13.864,16.591,2.727,,10.13,,,,203.857
2011-02-03,202.542,,,,16.542,32.625,46.208,13.583,,12.5,,,,219.083
2011-02-04,203.792,,,,22.792,36.292,55.542,19.25,,16.458,,,,226.583
2011-02-05,203.696,,,,12.87,20.875,23.292,2.417,,17.0,,,,216.565
2011-02-06,202.0,,,,21.25,36.792,49.583,12.792,,33.583,,,,223.25
2011-02-07,202.833,,,,27.958,39.792,72.125,32.333,,28.417,,,,230.792
2011-02-08,192.375,,,,12.5,20.0,22.957,2.957,,9.167,,,,204.875
2011-02-09,195.25,,,,11.042,22.75,27.875,5.125,,8.375,,,,206.292
2011-02-10,201.87,,,,17.174,34.0,44.375,10.375,,17.091,,,,219.043
2011-02-11,195.957,,,,14.435,19.208,20.917,1.708,,12.917,,,,210.391
2011-02-12,196.208,,,,12.083,13.0,13.875,0.875,,11.083,,,,208.292
2011-02-13,198.5,,,,17.542,32.5,42.0,9.5,,20.542,,,,216.042
2011-02-14,199.833,,,,23.5,34.565,46.0,11.435,,30.708,,,,223.333
2011-02-15,198.875,,,,21.833,29.833,43.125,13.292,,24.542,,,,220.708
2011-02-16,193.739,,,,12.957,21.909,24.636,2.727,,14.174,,,,206.696
2011-02-17,196.478,,,,20.739,28.583,36.0,7.417,,21.0,,,,217.217
2011-02-18,195.708,,,,11.875,14.083,16.0,1.917,,10.25,,,,207.583
2011-02-19,200.917,,,,13.292,17.792,19.708,1.917,,13.417,,,,214.208
2011-02-20,206.333,,,,21.25,36.0,46.87,10.87,,17.375,,,,227.583
2011-02-21,203.625,,,,23.667,44.625,59.125,14.5,,22.167,,,,227.292
2011-02-22,197.417,,,,14.833,23.667,26.0,2.333,,25.5,,,,212.25
2011-02-23,197.087,,,,22.0,33.833,45.5,11.667,,25.333,,,,219.087
2011-02-24,196.174,,,,14.913,23.435,25.043,1.609,,29.609,,,,211.087
2011-02-25,194.875,,,,15.125,24.292,26.833,2.542,,15.833,,,,210.0
2011-02-26,193.5,,,,10.667,12.087,13.0,0.913,,9.458,,,,204.167
2011-02-27,194.125,,,,9.458,11.25,12.708,1.458,,11.417,,,,203.583
2011-02-28,196.75,,,,10.833,19.0,21.792,2.792,,12.25,,,,207.583
2011-03-01,199.905,,,,17.238,33.957,48.435,14.478,,18.348,,,,217.143
2011-03-02,193.292,,,,18.583,29.375,39.333,9.958,,14.667,,,,211.875
2011-03-03,191.792,,,,11.667,16.826,18.696,1.87,,14.625,,,,203.458
