date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,183.958,2.0,5.375,5.25,6.333,1.083,4.417,189.333
2011-01-02,184.042,2.583,7.417,3.833,6.083,2.25,6.458,191.458
2011-01-03,183.458,2.542,8.042,4.792,6.833,2.042,6.75,191.5
2011-01-04,185.083,2.917,5.375,3.542,6.167,2.625,13.125,190.458
2011-01-05,186.087,3.25,10.522,15.917,30.833,14.917,10.042,196.609
2011-01-06,185.167,4.0,11.333,23.174,43.522,20.348,8.208,196.5
2011-01-07,185.667,2.75,6.458,6.167,13.958,7.792,6.375,192.125
2011-01-08,185.583,2.833,7.125,8.167,13.792,5.625,5.583,192.708
2011-01-09,185.833,3.417,9.083,14.542,24.167,9.625,11.042,194.917
2011-01-10,185.542,4.292,11.083,17.875,38.333,20.458,9.0,196.625
2011-01-11,185.545,3.208,8.227,9.667,22.75,13.083,13.958,193.773
2011-01-12,184.833,2.583,6.125,10.083,21.625,11.542,5.667,190.958
2011-01-13,185.458,3.417,9.0,8.0,11.0,3.0,9.583,194.458
2011-01-14,187.25,3.875,10.792,,,,12.083,198.042
2011-01-15,186.375,3.208,9.875,,,,7.333,196.25
2011-01-16,186.5,3.875,13.958,,,,13.792,200.458
2011-01-17,185.583,3.375,11.125,,,,12.042,196.708
2011-01-18,184.087,2.917,11.043,,,,7.792,195.13
2011-01-19,183.25,4.125,14.417,,,,8.75,197.667
2011-01-20,184.125,4.174,13.792,,,,9.5,197.917
2011-01-21,184.292,3.792,12.25,,,,10.25,196.542
2011-01-22,184.333,3.25,14.167,,,,6.25,198.5
2011-01-23,186.708,3.75,9.458,,,,4.917,196.167
2011-01-24,186.5,2.75,8.042,,,,3.833,194.542
2011-01-25,185.478,2.75,4.957,,,,8.708,190.435
2011-01-26,185.708,3.125,7.542,,,,8.087,193.25
2011-01-27,186.292,4.792,13.167,,,,15.458,199.458
2011-01-28,185.833,3.875,10.167,,,,14.292,196.0
2011-01-29,185.667,2.667,6.167,,,,8.458,191.833
2011-01-30,185.333,3.083,8.875,,,,8.708,194.208
2011-01-31,184.375,3.083,8.583,,,,8.375,192.958
2011-02-01,185.435,3.333,7.739,,,,12.5,193.174
2011-02-02,186.292,2.958,9.5,,,,8.667,195.792
2011-02-03,185.417,3.0,8.958,,,,3.455,194.375
2011-02-04,185.333,3.25,7.875,,,,17.458,193.208
2011-02-05,185.833,3.458,8.375,,,,17.0,194.208
2011-02-06,186.125,3.917,8.333,19.5,33.875,14.375,22.045,194.458
