date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,4.292,65.0,51.125,34.0,13.5,16.667,3.167,,0.958,14.25,78.0,24.417,-13.0
2011-01-02,2.833,74.0,53.417,35.0,8.792,10.417,1.625,,0.375,13.458,105.0,33.25,-19.0
2011-01-03,2.333,49.0,37.292,24.0,4.5,5.25,0.75,,0.083,2.542,92.0,48.833,24.0
2011-01-04,3.25,67.0,49.333,31.0,9.25,10.708,1.458,,0.875,9.333,90.0,29.542,-18.0
2011-01-05,2.9,53.0,41.542,22.0,11.045,12.818,1.773,,0.609,4.87,74.0,28.542,-7.0
2011-01-06,3.273,53.0,38.333,19.0,19.292,26.833,7.542,,1.0,11.167,98.0,45.417,-5.0
2011-01-07,2.083,54.0,40.333,25.0,6.833,8.292,1.458,,0.167,4.625,81.0,39.958,9.0
2011-01-08,2.5,55.0,40.75,26.0,8.458,10.167,1.708,,0.542,4.542,81.0,34.0,-15.0
2011-01-09,4.708,65.0,49.75,30.0,20.0,34.125,14.125,,0.958,24.125,81.0,26.917,-21.0
2011-01-10,4.625,73.0,49.833,29.0,26.375,43.917,17.542,,1.542,22.125,96.0,42.458,-17.0
2011-01-11,3.125,67.0,46.833,26.0,15.042,24.833,9.792,,0.958,16.75,96.0,32.208,-5.0
2011-01-12,2.708,50.0,35.25,24.0,14.696,20.0,5.304,,0.583,3.833,62.0,16.583,-19.0
2011-01-13,3.364,56.0,38.958,24.0,18.182,24.818,6.636,,1.143,9.913,109.0,38.25,-36.0
2011-01-14,3.13,51.0,38.292,24.0,9.292,11.792,2.5,,1.125,9.542,70.0,32.625,3.0
2011-01-15,3.417,58.0,43.917,32.0,10.25,13.667,3.417,,1.0,13.708,70.0,35.417,-6.0
2011-01-16,3.875,51.0,41.458,35.0,17.25,26.0,8.75,,1.0,19.292,49.0,32.583,21.0
2011-01-17,4.083,57.0,43.792,30.0,24.083,34.792,10.708,,1.458,19.583,75.0,33.958,2.0
2011-01-18,5.083,62.0,49.417,32.0,27.625,45.042,17.417,,1.625,26.208,75.0,22.292,-31.0
2011-01-19,3.375,80.0,54.208,35.0,18.565,27.696,9.13,,1.333,21.167,96.0,44.667,-14.0
2011-01-20,4.217,90.0,87.667,84.0,22.667,30.625,7.958,,0.261,21.708,24.0,15.417,4.0
2011-01-21,3.125,91.0,86.833,83.0,15.458,18.792,3.333,,0.0,13.25,39.0,28.5,18.0
2011-01-22,4.5,91.0,83.875,72.0,14.208,25.333,11.125,,0.333,16.083,79.0,47.667,21.0
2011-01-23,4.522,90.0,77.375,53.0,15.87,34.435,18.565,,0.696,11.826,87.0,40.542,9.0
2011-01-24,3.208,76.0,51.583,30.0,12.792,16.875,4.083,,0.583,6.75,54.0,20.5,-11.0
2011-01-25,3.958,77.0,52.458,23.0,18.417,27.0,8.583,,1.0,14.5,78.0,25.083,-23.0
