date,CO_mean
2011-10-18,5.333
2011-10-19,4.917
2011-10-20,5.625
2011-10-21,6.583
2011-10-22,3.958
2011-10-23,4.833
2011-10-24,4.174
2011-10-25,4.542
2011-10-26,4.75
2011-10-27,6.333
2011-10-28,6.75
2011-10-29,5.667
2011-10-30,5.25
2011-10-31,6.348
2011-11-01,6.25
2011-11-02,7.417
2011-11-03,6.333
2011-11-04,7.091
2011-11-05,6.875
2011-11-06,5.333
2011-11-07,7.208
2011-11-08,6.875
2011-11-09,5.417
2011-11-10,5.0
2011-11-11,6.957
2011-11-12,6.458
2011-11-13,5.292
2011-11-14,6.542
2011-11-15,5.333
2011-11-16,6.708
2011-11-17,7.583
2011-11-18,8.05
2011-11-19,7.333
2011-11-20,3.833
2011-11-21,5.417
2011-11-22,5.583
2011-11-23,4.458
2011-11-24,4.0
2011-11-25,6.435
2011-11-26,6.542
2011-11-27,7.375
2011-11-28,12.0
2011-11-29,10.958
2011-11-30,8.958
2011-12-01,4.273
2011-12-02,5.208
2011-12-03,5.042
2011-12-04,4.458
2011-12-05,6.25
2011-12-06,6.958
2011-12-07,7.25
2011-12-08,9.087
2011-12-09,6.042
2011-12-10,3.708
2011-12-11,6.125
2011-12-12,6.667
2011-12-13,8.095
2011-12-14,7.25
2011-12-15,6.75
2011-12-16,3.292
2011-12-17,4.542
2011-12-18,4.167
2011-12-19,5.0
2011-12-20,6.727
2011-12-21,6.833
2011-12-22,6.042
2011-12-23,4.167
2011-12-24,3.958
2011-12-25,2.917
2011-12-26,3.875
2011-12-27,6.348
2011-12-28,7.318
2011-12-29,6.375
2011-12-30,6.0
2011-12-31,4.417
2012-01-01,3.542
2012-01-02,3.391
2012-01-03,2.792
2012-01-04,5.167
2012-01-05,5.333
2012-01-06,5.292
2012-01-07,6.208
2012-01-08,7.542
2012-01-09,5.095
2012-01-10,5.167
2012-01-11,5.542
2012-01-12,7.125
2012-01-13,7.333
2012-01-14,4.917
2012-01-15,6.25
2012-01-16,6.304
2012-01-17,6.5
2012-01-18,5.25
2012-01-19,5.292
2012-01-20,6.083
2012-01-21,7.875
2012-01-22,8.083
2012-01-23,6.0
2012-01-24,5.333
2012-01-25,4.833
2012-01-26,4.542
2012-01-27,4.0
2012-01-28,6.792
2012-01-29,6.292
2012-01-30,7.913
2012-01-31,10.208
2012-02-01,11.208
2012-02-02,6.792
2012-02-03,6.0
2012-02-04,8.292
2012-02-05,7.318
2012-02-06,6.542
2012-02-07,3.958
2012-02-08,4.917
2012-02-09,6.25
