Station ID,Prefecture Code,Prefecture Name,City Code,City Name,Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Altitude (m),Year Start,Month Start,Day Start,Year End,Month End,Day End
1204150,1,Hokkai-do,1204,Asahikawa-shi,43,44,50,142,23,46,130,1987,4,,,,
1204160,1,Hokkai-do,1204,Asahikawa-shi,43,48,37,142,26,12,132,1997,4,,,,
1205020,1,Hokkai-do,1205,Muroran-shi,42,19,21,140,59,52,32,1966,12,,,,
1205060,1,Hokkai-do,1205,Muroran-shi,42,22,27,140,56,31,106,1980,8,,,,
1205310,1,Hokkai-do,1205,Muroran-shi,42,20,12,141,0,58,3,1983,11,,,,
1205320,1,Hokkai-do,1205,Muroran-shi,42,20,51,141,1,52,4,1992,3,,,,
1205540,1,Hokkai-do,1205,Muroran-shi,42,20,31,141,1,38,4,1992,3,,,,
1205550,1,Hokkai-do,1205,Muroran-shi,42,21,59,140,57,1,4,1995,8,,,,
1206280,1,Hokkai-do,1206,Kushiro-shi,43,1,1,144,15,46,8,1979,12,,,,
1206290,1,Hokkai-do,1206,Kushiro-shi,43,1,16,144,21,50,5,1979,12,,,,
1207090,1,Hokkai-do,1207,Obihiro-shi,42,55,26,143,11,45,42,2016,11,1,,,
1208010,1,Hokkai-do,1208,Kitami-shi,43,48,39,143,53,20,93,1977,6,,,,
1208510,1,Hokkai-do,1208,Kitami-shi,43,48,0,143,53,29,74,1983,10,,,,
1213020,1,Hokkai-do,1213,Tomakomai-shi,42,39,2,141,36,28,7,1973,6,,,,
1213050,1,Hokkai-do,1213,Tomakomai-shi,42,39,26,141,37,53,7,2003,6,,,,
1213070,1,Hokkai-do,1213,Tomakomai-shi,42,37,44,141,43,27,3,1975,4,,,,
1213220,1,Hokkai-do,1213,Tomakomai-shi,42,40,13,141,41,18,6,1987,12,,,,
1213510,1,Hokkai-do,1213,Tomakomai-shi,42,37,38,141,32,27,6.9,2001,8,1,,,
1213610,1,Hokkai-do,1213,Tomakomai-shi,42,38,4,141,36,16,6,2014,2,1,,,
1217160,1,Hokkai-do,1217,Ebetsu-shi,43,7,49,141,32,41,8,1981,10,,,,
1217510,1,Hokkai-do,1217,Ebetsu-shi,43,5,40,141,31,29,27,1995,9,,,,
1224010,1,Hokkai-do,1224,Chitose-shi,42,49,48,141,40,21,10,1975,12,,,,
1224020,1,Hokkai-do,1224,Chitose-shi,42,50,22,141,38,37,18,1975,12,,,,
1224050,1,Hokkai-do,1224,Chitose-shi,42,47,50,141,44,4,20,1976,11,,,,
1224060,1,Hokkai-do,1224,Chitose-shi,42,47,23,141,36,3,68.9,1980,12,,,,
1224510,1,Hokkai-do,1224,Chitose-shi,42,49,29,141,39,16,13.2,1987,4,,,,
1226010,1,Hokkai-do,1226,Sunagawa-shi,43,30,35,141,55,7,38,1974,10,,,,
1233020,1,Hokkai-do,1233,Date-shi,42,25,57,140,54,5,20,1973,2,,,,
1233030,1,Hokkai-do,1233,Date-shi,42,30,32,140,47,32,5,1973,6,,,,
1233080,1,Hokkai-do,1233,Date-shi,42,28,46,140,51,22,40,1974,6,,,,
1302010,1,Hokkai-do,1235,Ishikari-shi,43,9,28,141,17,1,5,1977,10,,,,
1332010,1,Hokkai-do,1332,Fukushima-cho,41,29,18,140,15,17,6,1983,12,,,,
