date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,5.417,71.0,53.375,42.0,30.792,37.542,6.75,24.75,9.0,6.883,4.2
2011-01-02,3.875,61.0,45.792,29.0,18.792,22.958,4.167,14.042,11.0,7.625,4.7
2011-01-03,2.5,35.0,29.667,20.0,14.25,14.708,0.458,2.708,9.9,7.154,4.6
2011-01-04,3.833,53.0,39.125,29.0,20.083,23.125,3.042,10.708,11.6,6.883,3.1
2011-01-05,2.522,38.0,25.458,14.0,18.864,20.636,1.773,5.0,9.8,6.546,3.9
2011-01-06,4.792,58.0,40.083,29.0,31.75,41.542,9.792,11.458,9.2,6.021,3.7
2011-01-07,2.25,43.0,31.5,20.0,12.5,13.333,0.833,4.5,8.5,6.533,5.1
2011-01-08,2.375,36.0,29.167,22.0,12.0,12.625,0.625,3.792,8.6,6.479,3.9
2011-01-09,4.958,58.0,48.75,38.0,34.75,48.167,13.417,19.208,8.3,6.204,3.5
2011-01-10,5.542,68.0,53.625,42.0,33.708,42.375,8.667,22.292,10.0,7.379,5.1
2011-01-11,3.958,72.0,52.042,30.0,30.917,48.167,17.25,22.083,9.8,5.971,3.2
2011-01-12,4.708,55.0,33.917,25.0,23.375,33.583,10.208,8.458,5.9,4.075,1.8
2011-01-13,5.435,55.0,44.125,33.0,40.864,75.409,34.545,17.292,11.1,6.346,2.3
2011-01-14,4.292,47.0,39.708,30.0,23.083,31.708,8.625,11.208,6.8,5.65,3.9
2011-01-15,4.292,50.0,41.417,34.0,24.583,31.5,6.917,12.333,6.3,5.129,4.1
2011-01-16,2.875,48.0,42.125,35.0,19.375,22.75,3.375,13.0,5.8,5.096,4.2
2011-01-17,1.958,52.0,45.042,34.0,15.25,16.833,1.583,9.583,6.6,5.121,4.2
2011-01-18,6.042,59.0,52.042,45.0,50.042,88.833,38.792,29.417,7.5,5.138,1.7
2011-01-19,3.708,66.0,55.542,47.0,30.917,42.25,11.333,29.417,9.4,6.904,4.3
2011-01-20,2.565,87.0,79.458,70.0,18.045,19.364,1.318,17.583,5.6,3.546,2.3
2011-01-21,2.625,86.0,78.875,70.0,16.0,16.958,0.958,10.167,4.5,3.85,3.3
2011-01-22,3.542,87.0,78.333,66.0,19.083,23.417,4.333,9.875,8.2,6.025,4.4
2011-01-23,5.625,86.0,73.875,54.0,30.917,57.875,26.958,17.25,8.9,6.604,1.7
2011-01-24,3.125,82.0,54.667,35.0,22.167,28.958,6.792,8.083,4.6,3.383,1.7
2011-01-25,3.875,74.0,54.958,28.0,28.583,41.833,13.25,15.167,8.9,4.833,1.2
2011-01-26,3.792,63.0,39.625,27.0,23.375,26.792,3.417,10.083,5.4,3.812,2.0
