date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,93.0,78.292,61.0,10.583,12.875,2.292,0.0,2.708,17.0,88.0,50.75,18.0
2011-01-02,100.0,71.042,43.0,5.792,7.125,1.333,0.0,2.417,15.917,103.0,55.0,19.0
2011-01-03,78.0,54.208,39.0,4.917,6.167,1.25,0.0,2.542,1.167,93.0,40.25,-7.0
2011-01-04,76.0,58.667,38.0,5.25,6.958,1.708,0.0,3.0,4.583,94.0,48.208,13.0
2011-01-05,70.0,52.25,33.0,5.583,7.042,1.458,0.0,2.292,1.167,79.0,32.542,-3.0
2011-01-06,78.0,59.625,42.0,17.875,22.917,5.042,0.0,2.625,11.417,84.0,37.875,3.0
2011-01-07,77.0,55.167,32.0,5.083,6.708,1.625,0.0,2.542,2.792,78.0,36.167,7.0
2011-01-08,80.0,57.292,39.0,10.5,13.417,2.917,0.0,3.083,5.583,71.0,31.458,-22.0
2011-01-09,85.0,72.25,59.0,9.125,12.042,2.917,0.0,3.958,5.458,91.0,58.083,10.0
2011-01-10,100.0,70.458,41.0,8.5,10.625,2.125,0.0,3.667,5.583,89.0,60.958,21.0
2011-01-11,95.0,73.25,46.0,4.125,5.958,1.833,0.0,2.375,7.042,94.0,53.125,-4.0
2011-01-12,62.0,50.0,36.0,19.087,23.348,4.261,0.0,6.565,5.522,45.0,15.25,-31.0
2011-01-13,93.0,58.917,37.0,25.333,34.583,9.25,0.0,4.375,15.667,103.0,40.792,-29.0
2011-01-14,75.0,49.75,33.0,10.958,13.667,2.708,0.0,3.375,7.625,67.0,31.125,-2.0
2011-01-15,73.0,57.125,40.0,6.333,7.542,1.208,0.0,3.167,6.958,61.0,31.792,3.0
2011-01-16,68.0,61.5,56.0,5.0,6.25,1.25,0.0,2.875,7.792,55.0,42.375,14.0
2011-01-17,69.0,61.375,51.0,3.875,4.625,0.75,0.0,2.833,3.625,67.0,44.167,12.0
2011-01-18,80.0,64.625,48.0,11.458,13.875,2.417,0.0,3.375,9.417,82.0,46.208,-4.0
2011-01-19,86.0,71.875,66.0,6.0,7.042,1.042,0.0,3.25,16.75,93.0,65.667,17.0
2011-01-20,97.0,86.0,72.0,0.792,0.792,0.0,3.0,1.833,14.083,72.0,59.542,50.0
2011-01-21,99.0,93.375,82.0,1.583,1.75,0.167,25.0,1.042,18.167,92.0,65.125,41.0
2011-01-22,99.0,95.083,82.0,3.958,4.417,0.458,23.0,1.208,15.333,85.0,69.75,33.0
2011-01-23,98.0,85.625,61.0,8.625,14.167,5.542,20.0,1.75,7.208,93.0,43.792,5.0
2011-01-24,96.0,59.958,37.0,13.0,15.667,2.667,1.0,3.042,3.875,48.0,21.167,-6.0
2011-01-25,93.0,69.167,34.0,14.083,20.708,6.625,0.0,2.583,12.292,82.0,31.458,-16.0
2011-01-26,94.0,54.333,28.0,7.174,8.478,1.304,0.0,2.957,5.826,53.0,17.667,-8.0
2011-01-27,85.0,59.25,40.0,10.125,14.333,4.208,0.0,3.208,6.792,65.0,13.5,-36.0
2011-01-28,65.0,47.292,30.0,3.292,4.375,1.083,0.0,3.833,8.042,52.0,15.125,-13.0
2011-01-29,61.0,46.625,33.0,2.917,4.083,1.167,0.0,2.375,3.292,55.0,11.125,-16.0
2011-01-30,72.0,50.917,31.0,11.625,14.417,2.792,0.0,2.667,4.375,54.0,13.0,-23.0
2011-01-31,65.0,51.208,32.0,12.417,16.042,3.625,0.0,3.458,9.833,80.0,25.5,-27.0
2011-02-01,84.0,58.583,43.0,9.208,11.75,2.542,0.0,3.708,9.917,118.0,47.375,-20.0
2011-02-02,58.0,40.292,27.0,3.333,4.583,1.25,0.0,2.625,1.667,50.0,15.958,-18.0
2011-02-03,81.0,51.083,25.0,16.875,21.542,4.667,0.0,3.0,5.583,60.0,12.333,-46.0
2011-02-04,96.0,53.167,26.0,22.417,33.208,10.792,0.0,3.667,12.958,99.0,37.75,-33.0
2011-02-05,96.0,70.875,50.0,2.5,3.625,1.125,0.0,3.208,6.25,76.0,53.208,10.0
2011-02-06,99.0,93.625,76.0,10.042,14.542,4.5,8.0,1.583,18.292,92.0,66.0,44.0
2011-02-07,99.0,91.542,63.0,15.083,20.042,4.958,22.0,1.5,40.958,127.0,86.917,41.0
2011-02-08,90.0,64.083,39.0,7.583,9.542,1.958,2.0,3.208,2.792,84.0,55.917,23.0
2011-02-09,69.0,43.667,24.0,6.208,8.25,2.042,0.0,3.25,0.792,72.0,32.167,-6.0
2011-02-10,83.0,61.292,36.0,14.917,20.625,5.708,0.0,3.083,6.875,82.0,37.875,-14.0
2011-02-11,92.0,59.5,40.0,10.125,12.792,2.667,0.0,4.458,6.625,65.0,44.375,8.0
2011-02-12,73.0,45.708,23.0,3.917,5.458,1.542,0.0,3.333,5.0,88.0,39.75,-1.0
2011-02-13,95.0,68.042,48.0,16.826,43.261,26.435,0.0,3.217,10.696,86.0,51.0,0.0
2011-02-14,99.0,94.0,87.0,3.042,3.417,0.375,10.0,1.208,10.0,80.0,68.208,50.0
2011-02-15,98.0,77.875,51.0,15.333,27.167,11.833,0.0,2.5,31.792,89.0,57.125,36.0
2011-02-16,99.0,68.25,45.0,4.333,5.208,0.875,5.0,2.458,5.25,44.0,26.875,3.0
2011-02-17,99.0,81.583,52.0,6.083,7.75,1.667,6.0,2.167,6.083,71.0,24.75,-1.0
2011-02-18,99.0,58.208,32.0,3.75,5.083,1.333,6.0,2.417,4.583,45.0,5.625,-29.0
2011-02-19,63.0,43.167,24.0,6.417,7.625,1.208,0.0,3.458,3.375,60.0,16.583,-38.0
2011-02-20,86.0,49.167,28.0,18.042,22.458,4.417,0.0,7.125,8.75,87.0,46.25,-21.0
2011-02-21,90.0,59.125,29.0,17.208,21.958,4.75,0.0,5.0,15.125,122.0,67.708,-9.0
2011-02-22,77.0,64.375,56.0,7.375,14.833,7.458,0.0,5.208,20.5,94.0,74.917,60.0
2011-02-23,99.0,95.708,72.0,14.958,18.167,3.208,21.0,2.083,27.458,84.0,64.542,45.0
2011-02-24,96.0,56.833,34.0,9.542,14.5,4.958,0.0,6.833,28.75,115.0,87.958,40.0
2011-02-25,99.0,92.125,73.0,2.875,3.25,0.375,8.0,2.5,31.625,87.0,81.375,76.0
2011-02-26,60.0,50.4,42.0,2.889,3.222,0.333,0.0,3.222,5.667,78.0,54.9,30.0
2011-02-27,58.0,43.375,32.0,3.565,4.391,0.826,0.0,3.261,5.304,70.0,38.917,13.0
2011-02-28,63.0,50.583,43.0,1.875,2.167,0.292,0.0,2.792,4.958,53.0,35.125,12.0
2011-03-01,99.0,90.0,66.0,6.333,10.292,3.958,1.0,1.458,14.792,103.0,79.792,38.0
2011-03-02,99.0,85.958,63.0,2.917,3.292,0.375,10.0,1.542,13.917,94.0,78.375,53.0
2011-03-03,94.0,69.917,54.0,1.917,2.25,0.333,0.0,2.458,13.0,82.0,62.0,49.0
2011-03-04,91.0,64.667,58.0,1.25,1.292,0.042,2.0,2.417,10.667,65.0,51.5,44.0
2011-03-05,99.0,97.917,91.0,13.458,16.208,2.75,20.0,1.292,33.542,149.0,93.208,47.0
2011-03-06,99.0,92.75,77.0,9.312,10.625,1.312,0.0,3.727,29.0,122.0,105.0,73.0
2011-03-07,99.0,67.5,50.0,7.542,15.875,8.333,0.0,5.875,18.833,128.0,112.333,96.0
2011-03-08,93.0,78.75,65.0,2.13,2.957,0.826,0.0,4.043,14.957,94.0,84.917,74.0
2011-03-09,99.0,96.333,90.0,2.217,3.087,0.87,18.0,3.0,15.261,87.0,77.25,68.0
2011-03-10,99.0,91.75,80.0,1.5,2.5,1.0,25.0,2.75,6.917,65.0,51.667,43.0
2011-03-11,85.0,71.333,57.0,3.042,4.292,1.25,0.0,3.625,8.083,88.0,66.458,45.0
2011-03-12,79.0,49.333,24.0,3.75,5.375,1.625,0.0,4.0,3.958,110.0,58.625,15.0
2011-03-13,77.0,52.333,32.0,4.458,6.25,1.792,0.0,5.167,4.333,90.0,54.333,9.0
2011-03-14,69.0,57.208,46.0,6.833,8.667,1.833,0.0,5.167,6.792,78.0,61.917,45.0
2011-03-15,96.0,55.833,30.0,8.609,11.435,2.826,0.0,5.13,17.0,129.0,65.25,7.0
2011-03-16,74.0,54.708,44.0,6.667,7.792,1.125,0.0,5.583,14.958,87.0,59.417,13.0
