date,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,95.0,82.41666666666667,71.0,0.5,91.0,49.291666666666664,7.0
2011-01-02,99.0,68.75,41.0,1.2916666666666667,101.0,53.708333333333336,4.0
2011-01-03,81.0,48.666666666666664,30.0,0.0,91.0,45.291666666666664,-6.0
2011-01-04,79.0,58.125,39.0,1.0833333333333333,101.0,48.041666666666664,17.0
2011-01-05,77.0,54.625,37.0,0.0,64.0,20.916666666666668,-23.0
2011-01-06,74.0,61.791666666666664,45.0,0.125,74.0,35.0,-15.0
2011-01-07,63.0,49.833333333333336,36.0,0.25,72.0,38.25,7.0
2011-01-08,71.0,61.583333333333336,49.0,0.08333333333333333,60.0,20.833333333333332,-18.0
2011-01-09,99.0,76.25,62.0,0.2916666666666667,77.0,38.5,5.0
2011-01-10,99.0,65.29166666666667,37.0,0.6521739130434783,93.0,49.875,-2.0
2011-01-11,99.0,67.58333333333333,37.0,1.7083333333333333,53.0,35.041666666666664,1.0
2011-01-12,82.0,50.25,28.0,0.391304347826087,60.0,8.541666666666666,-30.0
2011-01-13,74.0,47.916666666666664,29.0,0.5833333333333334,110.0,50.833333333333336,-6.0
2011-01-14,58.0,46.25,33.0,0.5416666666666666,59.0,26.75,-4.0
2011-01-15,69.0,54.083333333333336,40.0,1.0833333333333333,65.0,28.25,-17.0
2011-01-16,66.0,55.291666666666664,46.0,0.625,52.0,26.625,0.0
2011-01-17,71.0,59.5,52.0,1.0434782608695652,66.0,30.875,7.0
2011-01-18,74.0,56.791666666666664,45.0,1.1666666666666667,80.0,41.875,-6.0
2011-01-19,75.0,71.83333333333333,68.0,3.25,74.0,52.875,23.0
2011-01-20,99.0,91.33333333333333,75.0,1.2083333333333333,49.0,33.666666666666664,22.0
2011-01-21,99.0,91.75,79.0,0.875,62.0,37.791666666666664,26.0
2011-01-22,99.0,95.75,84.0,0.3333333333333333,74.0,57.458333333333336,27.0
2011-01-23,90.0,80.25,69.0,0.4583333333333333,69.0,39.875,11.0
2011-01-24,74.0,54.875,33.0,0.8636363636363636,47.0,20.875,-19.0
2011-01-25,99.0,67.33333333333333,36.0,2.125,67.0,25.375,0.0
2011-01-26,67.0,48.0,27.0,1.375,46.0,7.958333333333333,-24.0
2011-01-27,59.0,45.208333333333336,39.0,2.25,51.0,19.208333333333332,-31.0
2011-01-28,64.0,43.666666666666664,29.0,1.5,43.0,12.416666666666666,-21.0
2011-01-29,62.0,46.708333333333336,29.0,0.375,47.0,3.7083333333333335,-27.0
2011-01-30,78.0,50.5,29.0,0.3333333333333333,49.0,4.416666666666667,-41.0
