date,PM25_mean
2014-01-01,5.708
2014-01-02,4.667
2014-01-03,2.958
2014-01-04,12.708
2014-01-05,21.333
2014-01-06,15.261
2014-01-07,3.042
2014-01-08,5.542
2014-01-09,4.75
2014-01-10,3.958
2014-01-11,9.125
2014-01-12,4.458
2014-01-13,8.125
2014-01-14,22.792
2014-01-15,20.292
2014-01-16,10.708
2014-01-17,8.417
2014-01-18,5.875
2014-01-19,11.042
2014-01-20,13.25
2014-01-21,22.087
2014-01-22,16.25
2014-01-23,6.375
2014-01-24,10.25
2014-01-25,14.167
2014-01-26,20.25
2014-01-27,13.708
2014-01-28,4.833
2014-01-29,7.917
2014-01-30,7.0
2014-01-31,3.417
2014-02-01,3.833
2014-02-02,5.125
2014-02-03,10.913
2014-02-04,11.167
2014-02-05,10.583
2014-02-06,15.875
2014-02-07,8.458
2014-02-08,15.75
2014-02-09,14.458
2014-02-10,12.625
2014-02-11,19.708
2014-02-12,28.083
2014-02-13,14.0
2014-02-14,5.583
2014-02-15,9.5
2014-02-16,9.167
2014-02-17,9.375
2014-02-18,3.583
2014-02-19,5.696
2014-02-20,9.375
2014-02-21,12.125
2014-02-22,25.375
2014-02-23,26.708
2014-02-24,25.333
2014-02-25,25.708
2014-02-26,14.458
2014-02-27,13.417
2014-02-28,9.417
2014-03-01,11.792
2014-03-02,8.167
2014-03-03,10.833
2014-03-04,11.583
2014-03-05,8.217
2014-03-06,6.333
2014-03-07,10.208
2014-03-08,6.5
2014-03-09,5.708
2014-03-10,2.458
2014-03-11,6.667
2014-03-12,10.167
2014-03-13,12.167
2014-03-14,19.792
2014-03-15,18.417
2014-03-16,32.25
2014-03-17,20.917
2014-03-18,22.542
2014-03-19,24.458
2014-03-20,12.542
2014-03-21,15.292
2014-03-22,20.292
2014-03-23,16.5
2014-03-24,4.5
2014-03-25,7.571
2014-03-26,13.208
2014-03-27,17.5
2014-03-28,22.917
2014-03-29,19.833
2014-03-30,24.958
2014-03-31,28.25
2014-04-01,13.417
2014-04-02,10.083
2014-04-03,7.958
2014-04-04,3.958
2014-04-05,4.875
2014-04-06,6.708
2014-04-07,9.391
2014-04-08,20.917
2014-04-09,17.792
2014-04-10,22.125
2014-04-11,15.292
2014-04-12,18.333
2014-04-13,16.167
2014-04-14,11.5
2014-04-15,19.333
2014-04-16,31.958
2014-04-17,20.583
2014-04-18,15.833
2014-04-19,13.417
2014-04-20,11.125
2014-04-21,13.208
2014-04-22,12.87
2014-04-23,18.042
2014-04-24,15.458
2014-04-25,20.625
2014-04-26,19.333
2014-04-27,15.042
2014-04-28,15.583
2014-04-29,17.5
2014-04-30,14.957
2014-05-01,12.708
2014-05-02,12.0
2014-05-03,21.292
2014-05-04,14.958
2014-05-05,21.042
2014-05-06,14.583
2014-05-07,15.25
2014-05-08,15.957
2014-05-09,10.792
2014-05-10,11.417
2014-05-11,15.208
2014-05-12,13.75
2014-05-13,11.917
2014-05-14,21.792
2014-05-15,18.625
2014-05-16,13.667
2014-05-17,3.5
2014-05-18,9.0
2014-05-19,11.5
2014-05-20,27.708
2014-05-21,10.583
2014-05-22,7.0
2014-05-23,9.826
2014-05-24,14.667
2014-05-25,21.292
2014-05-26,17.875
2014-05-27,7.083
2014-05-28,20.125
2014-05-29,31.625
2014-05-30,31.208
2014-05-31,43.913
2014-06-01,41.833
2014-06-02,36.583
2014-06-03,44.167
2014-06-04,33.0
2014-06-05,10.182
2014-06-06,4.75
2014-06-07,8.667
2014-06-08,11.75
2014-06-09,15.583
2014-06-10,12.292
2014-06-11,11.833
2014-06-12,5.292
2014-06-13,12.042
2014-06-14,11.125
2014-06-15,13.708
2014-06-16,27.292
2014-06-17,38.0
2014-06-18,32.667
2014-06-19,19.333
2014-06-20,13.875
2014-06-21,19.542
2014-06-22,16.583
2014-06-23,22.25
2014-06-24,13.13
2014-06-25,9.042
2014-06-26,11.708
2014-06-27,8.208
2014-06-28,5.333
2014-06-29,5.125
2014-06-30,7.667
2014-07-01,9.458
2014-07-02,12.792
2014-07-03,23.458
2014-07-04,6.125
2014-07-05,9.25
2014-07-06,12.083
2014-07-07,7.042
2014-07-08,10.348
2014-07-09,11.25
2014-07-10,10.417
2014-07-11,8.208
2014-07-12,15.167
2014-07-13,24.417
2014-07-14,23.958
2014-07-15,16.167
2014-07-16,27.292
2014-07-17,14.292
2014-07-18,9.792
2014-07-19,11.167
2014-07-20,11.958
2014-07-21,9.625
2014-07-22,23.333
2014-07-23,37.304
2014-07-24,40.292
2014-07-25,25.625
2014-07-26,31.667
2014-07-27,17.667
2014-07-28,11.875
2014-07-29,23.417
2014-07-30,24.542
2014-07-31,18.167
2014-08-01,14.333
2014-08-02,18.0
2014-08-03,17.5
2014-08-04,8.783
2014-08-05,10.5
2014-08-06,12.708
2014-08-07,12.167
2014-08-08,17.583
2014-08-09,9.417
2014-08-10,7.333
2014-08-11,12.708
2014-08-12,13.208
2014-08-13,13.417
