date,NO2_mean,NOX_mean,NO_mean
2011-04-01,4.417,5.833,1.417
2011-04-02,4.583,6.0,1.417
2011-04-03,3.333,4.333,1.0
2011-04-12,4.222,5.778,1.556
2011-04-13,3.083,4.75,1.667
2011-04-14,3.75,5.25,1.5
2011-04-15,2.75,4.5,1.75
2011-04-16,3.417,5.417,2.0
2011-04-17,2.708,4.583,1.875
2011-04-18,2.75,4.75,2.0
2011-04-19,3.333,5.333,2.0
2011-04-20,3.042,4.833,1.792
2011-04-21,3.375,5.083,1.708
2011-04-22,2.5,4.5,2.0
2011-04-23,2.417,4.417,2.0
2011-04-24,3.25,5.25,2.0
2011-04-25,3.125,5.042,1.917
2011-04-26,2.875,4.625,1.75
2011-04-27,2.208,4.208,2.0
2011-04-28,3.208,5.208,2.0
2011-04-29,3.25,5.25,2.0
2011-04-30,2.792,4.625,1.833
2011-05-01,2.375,4.375,2.0
2011-05-02,3.75,5.75,2.0
2011-05-03,3.292,5.292,2.0
2011-05-04,3.917,5.917,2.0
2011-05-05,3.542,5.542,2.0
2011-05-06,2.875,4.875,2.0
2011-05-07,2.292,4.292,2.0
2011-05-08,2.625,4.792,2.167
2011-05-09,3.167,5.375,2.208
2011-05-10,2.478,4.826,2.348
2011-05-11,2.042,4.833,2.792
2011-05-12,2.0,5.0,3.0
2011-05-13,3.042,5.417,2.375
2011-05-14,3.292,5.292,2.0
2011-05-15,2.917,4.75,1.833
2011-05-16,2.833,4.625,1.792
2011-05-17,2.958,4.958,2.0
2011-05-18,3.167,5.167,2.0
2011-05-19,2.958,4.958,2.0
2011-05-20,2.833,4.917,2.083
2011-05-21,2.833,5.083,2.25
2011-05-22,2.167,4.208,2.042
2011-05-23,2.833,4.833,2.0
2011-05-24,2.333,4.333,2.0
2011-05-25,2.652,4.652,2.0
2011-05-26,2.167,4.167,2.0
2011-05-27,2.0,4.0,2.0
2011-05-28,2.0,4.417,2.417
2011-05-29,2.375,5.292,2.917
2011-05-30,2.375,4.417,2.042
2011-05-31,2.083,4.292,2.208
2011-06-01,2.0,4.0,2.0
2011-06-02,2.0,4.13,2.13
2011-06-03,2.458,4.875,2.417
2011-06-04,2.792,5.208,2.417
2011-06-05,3.042,5.167,2.125
2011-06-06,3.625,5.792,2.167
2011-06-07,2.833,4.875,2.042
2011-06-08,2.5,4.792,2.292
2011-06-09,2.667,5.333,2.667
2011-06-10,2.792,5.375,2.583
2011-06-11,3.042,5.875,2.833
2011-06-12,2.708,5.292,2.583
2011-06-13,3.083,5.833,2.75
2011-06-14,3.667,5.667,2.0
2011-06-15,3.208,5.333,2.125
2011-06-16,3.042,5.042,2.0
2011-06-17,2.958,5.5,2.542
2011-06-18,3.0,5.917,2.917
2011-06-19,3.0,5.708,2.708
2011-06-20,3.0,5.792,2.792
2011-06-21,3.0,5.958,2.958
2011-06-22,3.0,5.917,2.917
2011-06-23,3.0,6.0,3.0
2011-06-24,3.0,6.0,3.0
2011-06-25,3.0,6.0,3.0
2011-06-26,3.0,6.0,3.0
2011-06-27,3.0,6.0,3.0
2011-06-28,3.167,6.25,3.083
2011-06-29,3.708,6.708,3.0
2011-06-30,4.083,7.083,3.0
2011-07-01,3.708,6.75,3.042
2011-07-02,3.917,6.917,3.0
2011-07-03,3.583,6.583,3.0
2011-07-04,3.652,6.652,3.0
2011-07-05,3.542,6.583,3.042
2011-07-06,3.625,6.625,3.0
2011-07-07,3.167,6.167,3.0
2011-07-08,3.333,6.333,3.0
2011-07-09,3.375,6.375,3.0
2011-07-10,3.583,6.583,3.0
2011-07-11,3.458,6.458,3.0
2011-07-12,3.458,6.458,3.0
2011-07-13,3.667,6.708,3.042
2011-07-14,4.0,7.0,3.0
2011-07-15,5.875,8.875,3.0
2011-07-16,5.125,8.125,3.0
2011-07-17,3.958,6.958,3.0
2011-07-18,4.0,7.0,3.0
2011-07-19,4.0,7.0,3.0
2011-07-20,4.462,7.462,3.0
2011-07-21,6.25,9.25,3.0
2011-07-22,5.375,8.375,3.0
2011-07-23,5.375,8.375,3.0
2011-07-24,5.083,8.042,2.958
2011-07-25,4.458,7.458,3.0
2011-07-26,4.542,7.542,3.0
2011-07-27,4.208,7.333,3.125
2011-07-28,4.542,7.542,3.0
2011-07-29,5.833,8.833,3.0
2011-07-30,5.625,8.625,3.0
2011-07-31,5.167,8.167,3.0
2011-08-01,5.0,7.958,2.958
2011-08-02,4.826,7.826,3.0
2011-08-03,3.958,6.958,3.0
2011-08-04,3.917,6.917,3.0
2011-08-05,4.625,7.625,3.0
2011-08-06,4.583,7.583,3.0
2011-08-07,5.458,8.458,3.0
2011-08-08,5.5,8.5,3.0
2011-08-09,6.542,9.542,3.0
2011-08-10,6.125,9.125,3.0
2011-08-11,5.833,8.833,3.0
2011-08-12,6.083,9.083,3.0
2011-08-13,6.042,9.042,3.0
2011-08-14,5.583,8.583,3.0
2011-08-15,5.583,8.625,3.042
2011-08-16,5.458,8.458,3.0
2011-08-17,5.458,8.458,3.0
2011-08-18,5.583,8.583,3.0
2011-08-19,6.167,9.167,3.0
2011-08-20,5.25,8.292,3.042
2011-08-21,5.083,8.083,3.0
2011-08-22,5.333,8.333,3.0
2011-08-23,5.208,8.208,3.0
2011-08-24,5.208,8.25,3.042
2011-08-25,5.0,8.0,3.0
2011-08-26,5.75,8.75,3.0
2011-08-27,5.792,8.792,3.0
2011-08-28,5.25,8.25,3.0
2011-08-29,4.708,7.583,2.875
2011-08-30,5.083,8.083,3.0
2011-08-31,6.0,9.0,3.0
2011-09-01,5.708,8.708,3.0
2011-09-02,5.083,7.667,2.583
2011-09-03,5.167,7.875,2.708
2011-09-04,5.708,8.708,3.0
2011-09-05,5.875,8.792,2.917
2011-09-06,4.625,6.75,2.125
2011-09-07,3.875,6.083,2.208
2011-09-08,4.417,6.917,2.5
2011-09-09,5.792,8.792,3.0
2011-09-10,5.75,8.667,2.917
2011-09-11,5.208,8.208,3.0
2011-09-12,5.125,8.0,2.875
2011-09-13,5.375,8.375,3.0
2011-09-14,5.125,7.958,2.833
2011-09-15,5.042,7.792,2.75
2011-09-16,5.458,8.458,3.0
2011-09-17,5.875,8.875,3.0
2011-09-18,5.667,8.667,3.0
2011-09-19,5.042,7.875,2.833
2011-09-20,5.667,8.667,3.0
2011-09-21,5.792,8.708,2.917
2011-09-22,4.375,6.375,2.0
2011-09-23,3.0,5.0,2.0
2011-09-24,3.0,4.958,1.958
2011-09-25,3.833,5.833,2.0
2011-09-26,3.375,5.375,2.0
2011-09-27,3.875,6.083,2.208
2011-09-28,5.125,7.125,2.0
2011-09-29,5.667,7.833,2.167
2011-09-30,5.208,7.667,2.458
2011-10-01,3.625,5.542,1.917
2011-10-02,2.958,4.75,1.792
2011-10-03,3.292,5.25,1.958
2011-10-04,2.875,4.5,1.625
2011-10-05,4.375,6.375,2.0
2011-10-06,4.708,6.75,2.042
2011-10-07,4.75,6.75,2.0
2011-10-08,3.542,5.333,1.792
2011-10-09,3.875,5.583,1.708
2011-10-10,3.667,5.667,2.0
2011-10-11,4.0,6.0,2.0
2011-10-12,4.522,6.522,2.0
2011-10-13,3.5,5.5,2.0
2011-10-14,4.208,6.25,2.042
2011-10-15,5.083,7.458,2.375
2011-10-16,4.083,6.125,2.042
2011-10-17,4.083,6.083,2.0
2011-10-18,3.75,5.75,2.0
2011-10-19,4.417,6.458,2.042
2011-10-20,4.0,6.0,2.0
2011-10-21,4.542,6.583,2.042
2011-10-22,4.917,7.0,2.083
2011-10-23,4.458,6.583,2.125
2011-10-24,4.292,6.375,2.083
2011-10-25,4.583,6.583,2.0
2011-10-26,3.208,4.917,1.708
2011-10-27,3.583,5.333,1.75
2011-10-28,4.0,6.0,2.0
2011-10-29,3.5,5.458,1.958
2011-10-30,4.292,6.292,2.0
2011-10-31,3.958,5.958,2.0
2011-11-01,4.542,6.5,1.958
2011-11-02,3.375,5.375,2.0
2011-11-03,3.609,5.609,2.0
2011-11-04,3.708,5.708,2.0
2011-11-05,3.917,5.917,2.0
2011-11-06,4.833,7.042,2.208
2011-11-07,3.917,5.917,2.0
2011-11-08,3.5,5.167,1.667
2011-11-09,3.292,4.917,1.625
2011-11-10,4.083,5.833,1.75
2011-11-11,5.25,7.333,2.083
2011-11-12,3.333,5.375,2.042
2011-11-13,3.833,5.792,1.958
2011-11-14,3.455,5.182,1.727
2011-11-15,3.167,4.417,1.25
2011-11-16,1.25,2.25,1.0
2011-11-17,2.25,3.75,1.5
2011-11-18,1.542,4.208,2.667
2011-11-19,1.167,5.625,4.458
2011-11-20,2.0,6.667,4.667
2011-11-21,1.958,4.625,2.667
2011-11-22,1.0,3.0,2.0
2011-11-23,1.208,3.583,2.375
2011-11-24,1.958,4.708,2.75
2011-11-25,2.5,4.5,2.0
2011-11-26,1.0,3.0,2.0
2011-11-27,1.0,2.667,1.667
2011-11-28,1.0,2.75,1.75
2011-11-29,1.042,4.5,3.458
2011-11-30,1.042,5.208,4.167
2011-12-01,2.542,6.25,3.708
2011-12-02,2.833,6.167,3.333
2011-12-03,1.792,5.583,3.792
2011-12-04,1.583,4.75,3.167
2011-12-05,2.167,4.417,2.25
2011-12-06,1.0,3.0,2.0
2011-12-07,1.708,3.917,2.208
2011-12-08,2.304,4.435,2.13
2011-12-09,1.75,3.75,2.0
2011-12-10,1.917,3.75,1.833
2011-12-11,1.917,3.417,1.5
2011-12-12,2.368,3.737,1.368
2011-12-13,2.0,3.0,1.0
