date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,81.0,67.25,49.0,14.434782608695652,15.91304347826087,1.4782608695652173,0,1.173913043478261,100.0,62.25,17.0
2011-01-02,91.0,68.08333333333333,50.0,4.958333333333333,5.958333333333333,1.0,6,1.4583333333333333,81.0,56.375,41.0
2011-01-03,75.0,62.458333333333336,48.0,8.875,9.916666666666666,1.0416666666666667,0,2.125,71.0,53.208333333333336,25.0
2011-01-04,78.0,58.0,29.0,5.25,6.25,1.0,0,3.25,69.0,42.375,19.0
2011-01-05,89.0,75.04166666666667,54.0,12.958333333333334,14.416666666666666,1.4583333333333333,0,1.0,60.0,30.375,-5.0
2011-01-06,93.0,64.75,38.0,21.416666666666668,26.5,5.083333333333333,0,1.125,93.0,50.958333333333336,8.0
2011-01-07,78.0,65.66666666666667,52.0,4.875,5.875,1.0,0,1.0,66.0,46.625,33.0
2011-01-08,80.0,66.58333333333333,47.0,10.08695652173913,11.26086956521739,1.173913043478261,0,1.0,75.0,43.625,18.0
2011-01-09,88.0,70.04166666666667,51.0,16.083333333333332,19.333333333333332,3.25,0,1.3333333333333333,98.0,56.791666666666664,26.0
2011-01-10,90.0,72.125,52.0,26.208333333333332,35.791666666666664,9.583333333333334,0,2.0833333333333335,99.0,55.5,12.0
2011-01-11,77.0,60.416666666666664,42.0,10.5,12.541666666666666,2.0416666666666665,0,1.9583333333333333,90.0,55.041666666666664,10.0
2011-01-12,78.0,65.0,56.0,13.833333333333334,16.166666666666668,2.3333333333333335,0,1.0416666666666667,52.0,30.958333333333332,7.0
2011-01-13,85.0,60.416666666666664,36.0,18.625,27.208333333333332,8.583333333333334,0,1.4166666666666667,94.0,56.083333333333336,18.0
2011-01-14,72.0,64.16666666666667,58.0,13.458333333333334,14.958333333333334,1.5,0,2.5416666666666665,77.0,55.666666666666664,42.0
2011-01-15,83.0,65.58333333333333,53.0,12.26086956521739,15.217391304347826,2.9565217391304346,0,1.0869565217391304,78.0,55.291666666666664,25.0
2011-01-16,85.0,65.70833333333333,56.0,7.291666666666667,8.291666666666666,1.0,0,1.0,57.0,50.291666666666664,42.0
2011-01-17,90.0,65.0,40.0,20.083333333333332,26.958333333333332,6.875,0,1.0,90.0,51.666666666666664,15.0
2011-01-18,87.0,62.583333333333336,43.0,31.458333333333332,41.125,9.666666666666666,0,1.0,98.0,47.666666666666664,-6.0
2011-01-19,100.0,80.25,61.0,26.125,50.208333333333336,24.083333333333332,13,1.0833333333333333,82.0,56.958333333333336,38.0
