date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2011-01-01,191.783,4.917,16.261,23.0,32.435,9.435,208.043
2011-01-02,188.292,3.417,7.5,8.375,10.625,2.25,195.792
2011-01-03,188.958,4.167,8.917,15.833,20.0,4.167,197.875
2011-01-04,189.417,3.833,6.875,10.125,12.542,2.417,196.292
2011-01-05,190.591,4.864,14.091,22.417,35.667,13.25,204.682
2011-01-06,193.792,5.542,21.833,32.875,58.625,25.75,215.625
2011-01-07,190.0,2.417,8.25,8.0,10.875,2.875,198.25
2011-01-08,191.957,4.0,14.783,20.174,30.478,10.304,206.739
2011-01-09,193.125,5.083,17.708,24.542,38.0,13.458,210.833
2011-01-10,194.5,7.042,23.125,37.833,70.0,32.167,217.625
2011-01-11,189.083,3.75,9.708,14.708,21.083,6.375,198.792
2011-01-12,191.042,4.391,14.292,25.125,44.125,19.0,205.333
2011-01-13,191.625,4.708,16.125,26.083,48.458,22.375,207.75
2011-01-14,192.75,5.917,14.292,24.708,39.542,14.833,207.042
2011-01-15,193.043,4.708,15.783,19.696,31.957,12.261,208.826
2011-01-16,189.667,2.875,10.125,13.042,17.125,4.083,199.792
2011-01-17,194.125,4.583,17.458,26.625,50.292,23.667,211.583
2011-01-18,194.875,5.542,26.333,42.125,74.917,32.792,221.208
2011-01-19,190.292,4.13,19.583,29.583,48.208,18.625,209.875
2011-01-20,187.125,2.875,10.458,14.25,18.292,4.042,197.583
2011-01-21,188.958,3.792,14.542,23.208,32.542,9.333,203.5
2011-01-22,191.739,4.833,17.739,28.696,46.957,18.261,209.478
2011-01-23,189.417,3.25,9.792,14.25,21.833,7.583,199.208
2011-01-24,188.458,3.167,9.417,17.708,28.458,10.75,197.875
2011-01-25,190.917,4.583,10.917,23.0,38.125,15.125,201.833
2011-01-26,192.292,4.261,13.667,26.125,47.042,20.917,205.958
2011-01-27,193.5,5.792,15.625,30.667,49.625,18.958,209.125
2011-01-28,192.542,4.25,12.833,22.375,30.917,8.542,205.375
2011-01-29,189.913,2.625,8.565,9.304,12.043,2.739,198.478
2011-01-30,194.042,5.083,17.625,29.292,51.167,21.875,211.667
2011-01-31,191.625,3.917,14.917,24.167,36.083,11.917,206.542
2011-02-01,192.458,4.667,16.417,23.792,44.292,20.5,208.875
2011-02-02,188.125,2.783,8.875,10.238,14.571,4.333,197.0
2011-02-03,192.708,5.25,16.375,26.696,43.478,16.783,209.083
2011-02-04,189.792,7.292,15.417,19.167,26.708,7.542,205.208
2011-02-05,193.043,5.875,19.783,24.0,32.75,8.75,212.826
2011-02-06,192.913,5.917,21.391,31.762,46.619,14.857,214.304
2011-02-07,192.833,6.25,19.458,31.958,60.625,28.667,212.292
2011-02-08,186.542,3.208,9.542,14.042,20.958,6.917,196.083
2011-02-09,187.5,3.739,9.625,19.208,27.292,8.083,197.125
2011-02-10,189.667,4.583,14.042,26.375,44.792,18.417,203.708
2011-02-11,187.917,3.958,11.0,18.667,26.917,8.25,198.917
2011-02-12,188.043,3.292,9.217,12.391,16.0,3.609,197.261
2011-02-13,189.25,4.583,15.542,28.667,37.167,8.5,204.792
2011-02-14,195.792,7.25,28.875,40.0,90.792,50.792,224.667
2011-02-15,193.375,6.125,20.958,26.542,60.458,33.917,214.333
2011-02-16,187.042,4.348,12.917,24.667,43.458,18.792,199.958
2011-02-17,186.042,3.333,9.0,16.292,23.667,7.375,195.042
2011-02-18,187.75,3.042,8.458,10.458,15.875,5.417,196.208
2011-02-19,191.217,4.25,13.261,20.652,30.13,9.478,204.478
2011-02-20,192.583,5.708,19.5,35.792,62.792,27.0,212.083
2011-02-21,198.667,8.458,32.0,49.333,112.375,63.042,230.667
2011-02-22,188.833,4.333,14.958,25.875,31.583,5.708,203.792
2011-02-23,188.696,5.304,15.087,24.875,46.542,21.667,203.783
2011-02-24,188.083,3.708,7.5,10.333,12.792,2.458,195.583
2011-02-25,190.583,5.542,13.208,26.208,40.667,14.458,203.792
2011-02-26,188.565,2.708,6.13,7.13,9.13,2.0,194.696
2011-02-27,189.75,3.417,7.5,13.0,19.0,6.0,197.25
2011-02-28,190.917,3.875,11.583,22.25,30.375,8.125,202.5
2011-03-01,194.417,6.348,25.458,48.542,84.0,35.458,219.875
2011-03-02,192.458,5.542,20.333,33.667,69.958,36.292,212.792
2011-03-03,189.167,3.042,7.167,8.792,10.792,2.0,196.333
2011-03-04,189.217,3.292,9.0,10.739,12.435,1.696,198.217
2011-03-05,190.833,5.292,17.625,27.667,52.417,24.75,208.458
2011-03-06,195.875,8.5,28.25,40.0,97.833,57.833,224.125
2011-03-07,191.333,5.625,11.333,18.792,24.25,5.458,202.667
2011-03-08,190.417,5.391,10.958,17.875,25.167,7.292,201.375
2011-03-09,189.542,4.792,11.083,20.333,25.583,5.25,200.625
2011-03-10,188.042,3.208,7.125,8.458,10.583,2.125,195.167
2011-03-11,188.652,3.417,7.87,12.261,16.696,4.435,196.522
2011-03-12,189.458,2.917,6.708,10.833,14.083,3.25,196.167
2011-03-13,189.25,3.542,8.708,16.875,25.625,8.75,197.958
2011-03-14,192.292,5.458,16.917,37.333,60.375,23.042,209.208
2011-03-15,191.417,4.435,13.25,26.792,43.208,16.417,204.667
2011-03-16,192.0,4.625,16.583,38.167,49.5,11.333,208.583
2011-03-17,195.625,6.5,28.125,39.625,63.083,23.458,223.75
2011-03-18,203.87,9.625,34.522,35.217,80.348,45.13,238.391
2011-03-19,189.208,2.875,8.583,10.583,13.708,3.125,197.792
2011-03-20,191.208,4.458,12.25,24.0,33.542,9.542,203.458
2011-03-21,190.208,4.25,10.375,19.583,24.583,5.0,200.583
2011-03-22,192.609,5.87,19.087,46.292,78.208,31.917,211.696
2011-03-23,188.167,4.042,14.208,28.667,36.125,7.458,202.375
2011-03-24,189.208,5.167,10.5,21.208,25.417,4.208,199.708
2011-03-25,190.391,3.208,6.957,9.391,11.609,2.217,197.348
2011-03-26,193.042,4.583,12.667,25.417,37.125,11.708,205.708
2011-03-27,193.792,5.375,15.792,40.167,59.333,19.167,209.583
2011-03-28,192.958,5.125,16.042,31.625,49.542,17.917,209.0
2011-03-29,190.957,4.565,12.696,30.708,41.0,10.292,203.652
2011-03-30,189.5,4.583,15.167,34.167,51.792,17.625,204.667
2011-03-31,185.25,3.25,8.125,19.083,23.167,4.083,193.375
2011-04-01,188.292,4.833,13.542,35.958,43.833,7.875,201.833
2011-04-02,188.542,4.75,15.333,33.167,43.542,10.375,203.875
2011-04-03,186.043,2.042,4.565,5.826,7.522,1.696,190.609
2011-04-04,186.208,2.667,7.792,11.333,14.708,3.375,194.0
2011-04-05,187.542,3.542,10.333,23.0,30.75,7.75,197.875
2011-04-06,187.75,4.208,13.333,35.375,45.917,10.542,201.083
2011-04-07,187.625,4.13,18.708,35.75,47.75,12.0,206.333
2011-04-08,185.042,4.167,14.792,36.167,47.292,11.125,199.833
2011-04-09,184.917,3.833,14.083,18.917,25.625,6.708,199.0
2011-04-10,189.304,5.375,16.696,29.217,34.565,5.348,206.0
2011-04-11,189.048,4.619,14.905,28.0,37.857,9.857,203.952
2011-04-12,188.458,3.958,12.875,27.083,36.958,9.875,201.333
2011-04-13,189.958,5.208,19.542,43.208,61.5,18.292,209.5
2011-04-14,187.417,4.652,17.75,41.125,55.208,14.083,205.167
2011-04-15,185.833,5.417,18.333,39.042,51.542,12.5,204.167
2011-04-16,186.542,4.208,15.75,21.375,32.333,10.958,202.292
2011-04-17,186.478,3.292,10.913,17.217,22.391,5.174,197.391
2011-04-18,184.667,4.0,13.583,25.5,35.333,9.833,198.25
2011-04-19,185.75,3.458,10.5,20.208,26.292,6.083,196.25
2011-04-20,185.375,2.667,8.125,14.625,18.0,3.375,193.5
2011-04-21,187.167,4.348,15.792,36.208,51.0,14.792,202.958
2011-04-22,191.625,6.458,31.542,51.708,75.458,23.75,223.167
2011-04-23,187.292,4.708,19.708,29.375,41.375,12.0,207.0
2011-04-24,188.957,4.667,15.087,22.957,29.13,6.174,204.043
2011-04-25,188.958,5.125,17.417,33.958,46.458,12.5,206.375
2011-04-26,186.917,4.458,15.125,28.417,36.875,8.458,202.042
2011-04-27,182.542,4.333,10.917,26.958,36.792,9.833,193.458
2011-04-28,184.458,3.826,10.25,21.333,26.042,4.708,194.708
2011-04-29,186.875,4.5,11.917,25.792,32.625,6.833,198.792
2011-04-30,187.125,4.792,15.375,25.958,32.167,6.208,202.5
2011-05-01,186.957,4.708,18.043,25.217,31.696,6.478,205.0
2011-05-02,187.583,4.826,14.542,24.833,33.167,8.333,202.125
2011-05-03,189.833,5.167,16.792,32.875,41.0,8.125,206.625
2011-05-04,189.75,5.333,15.708,24.208,31.875,7.667,205.458
2011-05-05,186.417,3.375,10.667,16.0,19.167,3.167,197.083
2011-05-06,186.542,3.875,14.292,23.208,26.833,3.625,200.833
2011-05-07,182.167,2.958,10.542,14.583,17.833,3.25,192.708
2011-05-08,184.522,3.417,10.609,15.435,19.348,3.913,195.13
2011-05-09,185.958,4.0,13.083,22.667,27.792,5.125,199.042
2011-05-10,179.0,3.0,13.5,21.667,36.25,14.583,192.5
2011-05-11,180.542,4.083,19.417,24.875,51.25,26.375,199.958
2011-05-12,182.955,3.435,17.955,24.714,31.81,7.095,200.909
2011-05-13,183.75,3.958,9.958,21.542,27.375,5.833,193.708
2011-05-14,186.917,3.958,7.833,19.083,22.167,3.083,194.75
2011-05-15,186.435,3.667,9.087,19.696,23.174,3.478,195.522
2011-05-16,185.667,4.583,11.458,30.167,37.333,7.167,197.125
2011-05-17,185.167,4.75,12.25,31.792,41.708,9.917,197.417
2011-05-18,187.958,5.304,16.208,44.542,57.167,12.625,204.167
2011-05-19,185.917,4.292,11.542,30.542,36.5,5.958,197.458
2011-05-20,181.875,3.542,7.833,24.417,32.625,8.208,189.708
2011-05-21,178.708,3.583,8.042,18.917,26.875,7.958,186.75
2011-05-22,181.13,2.458,5.913,9.826,12.174,2.348,187.043
2011-05-23,183.625,2.375,5.5,9.5,11.958,2.458,189.125
2011-05-24,184.875,3.542,9.875,21.708,27.292,5.583,194.75
2011-05-25,186.0,4.292,15.125,35.583,45.625,10.042,201.125
2011-05-26,186.778,3.13,13.667,20.958,23.917,2.958,200.444
2011-05-27,183.5,2.667,13.333,15.208,17.667,2.458,196.833
2011-05-28,187.125,3.792,17.208,20.917,25.667,4.75,204.333
2011-05-29,181.913,2.167,8.391,6.0,7.348,1.348,190.304
2011-05-30,183.0,1.708,5.958,5.625,7.5,1.875,188.958
2011-05-31,185.667,3.292,11.667,17.708,23.125,5.417,197.333
2011-06-01,187.583,3.375,18.333,23.333,30.083,6.75,205.917
2011-06-02,186.125,4.217,16.625,24.625,34.417,9.792,202.75
2011-06-03,187.292,4.708,17.667,31.208,42.667,11.458,204.958
2011-06-04,185.042,4.125,13.042,21.667,31.083,9.417,198.083
2011-06-05,182.522,3.833,12.87,23.913,30.174,6.261,195.391
2011-06-06,187.333,5.625,19.875,38.125,50.792,12.667,207.208
2011-06-07,188.375,5.917,23.167,36.833,49.083,12.25,211.542
2011-06-08,182.833,3.458,12.792,24.917,30.625,5.708,195.625
2011-06-09,182.227,3.435,12.045,23.0,30.0,7.0,194.273
2011-06-10,184.625,4.917,15.875,32.208,47.625,15.417,200.5
2011-06-11,183.833,4.25,14.042,21.833,29.458,7.625,197.875
2011-06-12,189.435,5.417,19.652,25.478,30.696,5.217,209.087
2011-06-13,185.375,5.5,17.25,31.875,48.958,17.083,202.625
2011-06-14,184.833,3.417,12.375,16.333,20.083,3.75,197.208
2011-06-15,185.833,3.292,13.208,22.0,27.167,5.167,199.042
2011-06-16,186.625,3.522,15.375,21.583,27.042,5.458,202.0
2011-06-17,185.917,4.958,18.542,32.75,43.292,10.542,204.458
2011-06-18,188.208,5.75,22.0,33.583,44.583,11.0,210.208
2011-06-19,189.783,5.833,21.217,24.217,33.87,9.652,211.0
2011-06-20,185.917,5.333,23.667,27.958,45.917,17.958,209.583
2011-06-21,178.083,3.458,13.417,24.0,40.5,16.5,191.5
2011-06-22,178.5,3.625,17.292,22.375,41.375,19.0,195.792
2011-06-23,174.625,2.217,9.625,11.75,22.208,10.458,184.25
2011-06-24,174.417,2.292,9.5,11.458,22.0,10.542,183.917
2011-06-25,174.833,2.125,9.625,9.708,17.667,7.958,184.458
2011-06-26,176.087,2.667,10.435,9.522,17.0,7.478,186.522
2011-06-27,175.0,2.875,10.333,12.375,27.958,15.583,185.333
2011-06-28,174.5,1.958,10.333,11.75,21.583,9.833,184.833
2011-06-29,176.458,3.958,13.458,25.417,45.667,20.25,189.917
2011-06-30,180.542,5.0,20.208,35.708,65.375,29.667,200.75
2011-07-01,178.208,4.458,17.75,30.625,68.333,37.708,195.958
2011-07-02,180.625,4.958,16.458,27.25,44.417,17.167,197.083
2011-07-03,180.957,3.958,12.304,19.826,25.522,5.696,193.261
