date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,190.043,17.391,11.913,13.826,1.913,,2.304,207.435
2011-01-02,190.083,11.833,3.87,3.87,0.0,,1.625,201.917
2011-01-03,189.708,12.833,6.0,6.208,0.208,,2.125,202.542
2011-01-04,192.167,13.583,5.5,5.667,0.167,,2.917,205.75
2011-01-05,188.333,12.417,8.417,10.083,1.667,,0.417,200.75
2011-01-06,189.208,16.625,16.042,26.125,10.083,,1.0,205.833
2011-01-07,188.208,14.375,10.167,12.625,2.458,,0.75,202.583
2011-01-08,189.391,15.783,12.435,14.13,1.696,,0.565,205.174
2011-01-09,191.708,18.042,14.043,19.696,5.652,,1.5,209.75
2011-01-10,192.455,25.773,22.75,44.208,21.458,,3.458,218.227
2011-01-11,190.417,16.5,11.75,15.833,4.083,,2.208,206.917
2011-01-12,189.333,14.917,20.292,30.25,9.958,,1.083,204.25
2011-01-13,190.833,18.583,16.375,30.917,14.542,,2.208,209.417
2011-01-14,192.708,16.667,9.042,10.292,1.25,,3.083,209.375
2011-01-15,189.348,13.609,6.0,6.478,0.478,,1.043,202.957
2011-01-16,189.333,13.0,8.478,9.13,0.652,,0.25,202.333
2011-01-17,187.167,13.75,13.583,21.375,7.792,,0.208,200.917
2011-01-18,189.75,21.792,23.0,35.5,12.5,,1.208,211.542
2011-01-19,185.625,15.167,12.333,14.042,1.708,,0.625,200.792
2011-01-20,186.591,15.5,8.417,10.292,1.875,,0.042,202.091
2011-01-21,189.75,21.5,15.417,21.125,5.708,,0.667,211.25
2011-01-22,191.609,19.348,13.304,17.609,4.304,,1.217,210.957
2011-01-23,190.542,14.25,7.391,8.043,0.652,,0.625,204.792
2011-01-24,190.792,13.583,10.292,11.292,1.0,,0.917,204.375
2011-01-25,195.167,17.25,9.792,10.667,0.875,,1.208,212.417
2011-01-26,191.667,14.333,9.708,10.625,0.917,,0.417,206.0
2011-01-27,193.458,19.958,17.25,31.167,13.917,,1.917,213.417
2011-01-28,191.958,17.042,10.792,12.667,1.875,,1.167,209.0
2011-01-29,190.696,13.391,7.696,8.304,0.609,,0.0,204.087
2011-01-30,191.458,16.667,15.304,28.087,12.783,,1.083,208.125
2011-01-31,189.042,18.125,14.917,22.042,7.125,,1.125,207.167
2011-02-01,190.792,16.708,14.5,23.625,9.125,,1.583,207.5
2011-02-02,190.25,11.792,7.417,8.0,0.583,,0.958,202.042
2011-02-03,191.042,13.833,11.167,12.333,1.167,,1.333,204.875
2011-02-04,190.958,14.5,11.417,12.542,1.125,,2.625,205.458
2011-02-05,193.348,18.609,13.522,16.565,3.043,,3.087,211.957
