date,CH4_mean,CO_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,196.792,6.125,13.208,,210.0
2011-01-02,190.875,6.391,6.25,,197.125
2011-01-03,190.375,6.625,6.417,,196.792
2011-01-04,191.042,6.458,7.208,,198.25
2011-01-05,192.727,8.455,16.5,,209.227
2011-01-06,195.217,8.333,24.217,,219.435
2011-01-07,191.833,6.792,10.875,,202.708
2011-01-08,194.792,6.087,12.0,,206.792
2011-01-09,197.417,7.333,18.417,,215.833
2011-01-10,200.125,10.292,27.042,,227.167
2011-01-11,192.208,7.261,10.333,,202.542
2011-01-12,193.917,7.292,18.667,,212.583
2011-01-13,195.591,9.522,21.818,,217.409
2011-01-14,194.875,9.652,16.417,,211.292
2011-01-15,194.0,7.417,14.958,,208.958
2011-01-16,190.375,6.542,11.792,,202.167
2011-01-17,194.625,7.87,21.167,,215.792
2011-01-18,197.13,9.913,35.261,,232.391
2011-01-19,193.958,7.583,26.167,,220.125
2011-01-20,190.0,7.478,19.826,,209.826
2011-01-21,191.833,7.875,19.917,,211.75
2011-01-22,194.292,6.25,17.167,,211.458
2011-01-23,190.958,7.174,11.875,,202.833
2011-01-24,190.875,6.333,10.333,,201.208
2011-01-25,192.917,7.125,9.708,,202.625
2011-01-26,193.455,8.136,13.045,,206.5
2011-01-27,195.913,7.875,13.391,,209.304
2011-01-28,192.917,7.958,13.125,,206.042
2011-01-29,192.458,6.13,10.25,,202.708
2011-01-30,195.917,9.042,20.875,,216.792
2011-01-31,196.227,9.174,23.773,,220.0
2011-02-01,196.375,8.13,20.458,,216.833
2011-02-02,190.875,6.125,8.75,,199.625
2011-02-03,195.043,7.958,14.739,,209.783
2011-02-04,192.542,7.0,9.208,,201.75
2011-02-05,197.75,7.208,13.792,,211.542
2011-02-06,196.25,10.0,27.583,,223.833
2011-02-07,193.25,9.739,21.167,,214.417
2011-02-08,189.875,5.5,9.083,,198.958
2011-02-09,193.375,7.042,9.5,,202.875
2011-02-10,192.455,7.318,17.182,,209.636
2011-02-11,191.25,5.875,11.042,,202.292
2011-02-12,193.583,6.792,10.542,,204.125
2011-02-13,194.958,8.565,20.75,,215.708
2011-02-14,196.625,10.958,35.667,,232.292
2011-02-15,196.542,9.958,33.167,,229.708
2011-02-16,191.696,7.227,17.522,,209.217
2011-02-17,190.609,7.042,10.609,,201.217
2011-02-18,192.375,7.0,10.625,,203.0
2011-02-19,196.958,6.217,14.125,,211.083
2011-02-20,200.417,8.208,27.375,,227.792
2011-02-21,207.458,12.792,50.5,,257.958
2011-02-22,194.0,9.391,23.25,,217.25
2011-02-23,193.125,9.333,26.208,,219.333
2011-02-24,200.048,7.652,17.333,,217.381
2011-02-25,195.708,9.217,19.75,,215.458
2011-02-26,191.708,5.292,7.875,,199.583
2011-02-27,193.542,6.417,13.083,,206.625
2011-02-28,195.792,7.609,17.417,,213.208
2011-03-01,200.417,9.583,40.458,,240.875
2011-03-02,195.913,8.75,29.348,,225.261
2011-03-03,191.917,7.391,11.458,,203.375
2011-03-04,194.25,7.042,10.625,,204.875
2011-03-05,196.125,9.375,29.208,,225.333
2011-03-06,199.125,10.0,33.625,,232.75
2011-03-07,195.833,12.042,17.708,,213.542
2011-03-08,195.87,11.435,21.609,,217.478
2011-03-09,193.783,11.125,21.391,,215.174
2011-03-10,190.917,8.391,12.708,,203.625
2011-03-11,190.833,6.792,8.792,,199.625
2011-03-12,191.667,7.792,9.833,,201.5
2011-03-13,192.417,7.708,12.375,,204.792
2011-03-14,197.417,6.958,25.708,,223.125
2011-03-15,196.174,9.261,23.826,,220.0
2011-03-16,196.0,10.167,27.174,,223.174
2011-03-17,196.75,10.478,31.417,,228.167
2011-03-18,199.625,9.833,21.792,,221.417
2011-03-19,188.708,7.208,10.083,,198.792
2011-03-20,191.227,7.909,15.727,,206.955
2011-03-21,190.227,7.318,14.136,,204.364
2011-03-22,196.391,9.304,28.478,,224.87
2011-03-23,190.043,8.083,19.696,,209.739
2011-03-24,192.375,9.348,10.167,,202.542
2011-03-25,191.875,7.208,6.417,,198.292
2011-03-26,194.762,9.417,24.19,,218.952
2011-03-27,198.083,7.875,26.0,,224.083
2011-03-28,199.083,9.208,27.333,,226.417
2011-03-29,196.75,8.5,20.125,,216.875
2011-03-30,195.864,7.217,27.727,,223.591
2011-03-31,189.208,7.696,11.042,,200.25
