date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,13.5,20.375,6.875,,1.0
2011-01-02,6.608695652173913,8.043478260869565,1.434782608695652,,0.9565217391304348
2011-01-03,6.791666666666667,7.833333333333333,1.0416666666666667,,0.9166666666666666
2011-01-04,5.0,5.75,0.75,,1.8333333333333333
2011-01-05,12.5,15.125,2.625,,0.875
2011-01-06,11.208333333333334,15.041666666666666,3.8333333333333335,,0.875
2011-01-07,13.416666666666666,16.875,3.4583333333333335,,0.9166666666666666
2011-01-08,8.416666666666666,15.375,6.958333333333333,,0.875
2011-01-09,17.652173913043477,28.391304347826086,10.73913043478261,,0.9565217391304348
2011-01-10,13.458333333333334,28.166666666666668,14.708333333333334,,1.25
2011-01-11,9.5,16.875,7.375,,1.2083333333333333
2011-01-12,11.333333333333334,15.916666666666666,4.583333333333333,,1.0
2011-01-13,13.666666666666666,20.5,6.833333333333333,,1.5
2011-01-14,9.291666666666666,11.833333333333334,2.5416666666666665,,1.375
2011-01-15,8.125,9.791666666666666,1.6666666666666667,,0.875
2011-01-16,15.782608695652174,28.652173913043477,12.869565217391305,,1.0869565217391304
2011-01-17,15.916666666666666,26.541666666666668,10.625,,1.0833333333333333
2011-01-18,10.5,15.958333333333334,5.458333333333333,,1.125
2011-01-19,11.416666666666666,18.708333333333332,7.291666666666667,,1.0833333333333333
2011-01-20,16.5,28.75,12.25,,1.0416666666666667
2011-01-21,16.291666666666668,25.375,9.083333333333334,,1.0
2011-01-22,5.958333333333333,7.291666666666667,1.3333333333333333,,0.9583333333333334
2011-01-23,10.565217391304348,17.652173913043477,7.086956521739131,,1.0
2011-01-24,9.708333333333334,14.541666666666666,4.833333333333333,,0.9583333333333334
2011-01-25,7.25,9.291666666666666,2.0416666666666665,,1.5833333333333333
2011-01-26,8.666666666666666,10.541666666666666,1.875,,1.0833333333333333
2011-01-27,15.416666666666666,19.583333333333332,4.166666666666667,,1.5833333333333333
2011-01-28,11.25,13.583333333333334,2.3333333333333335,,1.125
2011-01-29,13.0,14.291666666666666,1.2916666666666667,,0.9166666666666666
2011-01-30,17.130434782608695,23.304347826086957,6.173913043478261,,1.0434782608695652
2011-01-31,13.041666666666666,17.583333333333332,4.541666666666667,,0.9166666666666666
2011-02-01,10.88888888888889,13.555555555555555,2.6666666666666665,,2.25
2011-02-02,9.5,10.4,0.9,,1.25
2011-02-03,14.625,18.291666666666668,3.6666666666666665,,1.0
2011-02-04,11.916666666666666,14.458333333333334,2.5416666666666665,,2.1666666666666665
2011-02-05,15.25,18.583333333333332,3.3333333333333335,,1.5416666666666667
2011-02-06,21.47826086956522,39.391304347826086,17.91304347826087,,1.2608695652173914
2011-02-07,17.0,40.208333333333336,23.208333333333332,,1.75
2011-02-08,8.083333333333334,15.833333333333334,7.75,,1.2083333333333333
2011-02-09,12.083333333333334,18.375,6.291666666666667,,1.0833333333333333
2011-02-10,11.25,13.791666666666666,2.5416666666666665,,1.0
2011-02-11,8.25,12.083333333333334,3.8333333333333335,,1.125
2011-02-12,5.916666666666667,6.125,0.20833333333333334,,1.125
2011-02-13,15.0,20.695652173913043,5.695652173913044,,1.0
2011-02-14,17.708333333333332,34.375,16.666666666666668,,1.1666666666666667
2011-02-15,12.875,22.166666666666668,9.291666666666666,,1.2916666666666667
2011-02-16,10.583333333333334,16.166666666666668,5.583333333333333,,1.125
2011-02-17,10.166666666666666,17.458333333333332,7.291666666666667,,1.3333333333333333
2011-02-18,10.875,19.666666666666668,8.791666666666666,,1.125
2011-02-19,8.333333333333334,9.125,0.7916666666666666,,0.9583333333333334
2011-02-20,12.826086956521738,17.217391304347824,4.391304347826087,,1.1304347826086956
2011-02-21,17.5,26.583333333333332,9.083333333333334,,1.2083333333333333
2011-02-22,15.125,19.666666666666668,4.541666666666667,,1.4166666666666667
2011-02-23,16.541666666666668,30.916666666666668,14.375,,1.6666666666666667
2011-02-24,10.875,15.958333333333334,5.083333333333333,,2.0416666666666665
2011-02-25,16.958333333333332,27.458333333333332,10.5,,1.0833333333333333
2011-02-26,4.125,4.291666666666667,0.16666666666666666,,1.0
2011-02-27,10.08695652173913,14.434782608695652,4.3478260869565215,,1.0434782608695652
2011-02-28,10.541666666666666,12.125,1.5833333333333333,,1.0
2011-03-01,10.708333333333334,12.583333333333334,1.875,,1.0
2011-03-02,17.25,32.958333333333336,15.708333333333334,,1.0
2011-03-03,11.625,12.958333333333334,1.3333333333333333,,0.5
2011-03-04,8.625,9.791666666666666,1.1666666666666667,,0.08333333333333333
2011-03-05,18.347826086956523,34.04347826086956,15.695652173913043,,0.5652173913043478
2011-03-06,11.416666666666666,16.0,4.583333333333333,,0.375
2011-03-07,10.625,13.833333333333334,3.2083333333333335,,1.0
2011-03-08,9.208333333333334,11.375,2.1666666666666665,,0.625
2011-03-09,9.958333333333334,13.208333333333334,3.25,,0.8333333333333334
2011-03-10,5.375,5.708333333333333,0.3333333333333333,,0.6666666666666666
2011-03-11,3.7083333333333335,3.8333333333333335,0.125,,1.0416666666666667
2011-03-12,6.521739130434782,10.826086956521738,4.304347826086956,,0.9130434782608695
2011-03-13,8.916666666666666,11.25,2.3333333333333335,,0.875
2011-03-14,7.833333333333333,8.916666666666666,1.0833333333333333,,1.0833333333333333
2011-03-15,10.083333333333334,11.666666666666666,1.5833333333333333,,1.25
2011-03-16,8.125,9.416666666666666,1.2916666666666667,,0.75
2011-03-17,13.958333333333334,18.791666666666668,4.833333333333333,,0.9166666666666666
