date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,66.208,44.0,17.417,20.042,2.625,,0,1.042,99.0,59.792,15.0
2011-01-02,95.0,71.208,55.0,,,,,2,1.391,76.0,50.5,34.0
2011-01-03,77.0,62.333,51.0,,,,,0,2.0,64.0,47.083,21.0
2011-01-04,83.0,62.458,33.0,,,,,0,3.375,63.0,34.542,9.0
2011-01-05,89.0,74.917,56.0,,,,,0,0.167,57.0,28.667,-3.0
2011-01-06,93.0,62.417,37.0,,,,,0,0.583,89.0,49.292,6.0
2011-01-07,82.0,68.625,53.0,,,,,0,0.0,62.0,41.458,28.0
2011-01-08,79.0,65.917,49.0,,,,,0,0.042,70.0,40.958,19.0
2011-01-09,85.0,69.25,50.0,17.217,21.435,4.217,,0,1.087,94.0,54.042,26.0
2011-01-10,92.0,70.792,50.0,31.043,54.391,23.348,,0,2.087,93.0,53.208,15.0
2011-01-11,74.0,62.833,43.0,10.417,12.042,1.625,,0,1.917,93.0,51.75,10.0
2011-01-12,77.0,65.167,50.0,18.708,26.208,7.5,,0,0.625,50.0,27.0,6.0
2011-01-13,82.0,60.292,43.0,17.625,26.958,9.333,,0,1.417,85.0,52.0,19.0
2011-01-14,77.0,65.417,56.0,16.875,20.167,3.292,,0,3.125,75.0,51.042,36.0
2011-01-15,77.0,66.958,53.0,14.458,16.792,2.333,,0,0.833,74.0,52.042,31.0
2011-01-16,84.0,67.792,60.0,8.667,8.958,0.292,,0,0.2,53.0,47.375,39.0
2011-01-17,83.0,61.375,43.0,20.375,23.708,3.333,,0,0.0,84.0,51.208,16.0
2011-01-18,90.0,62.833,39.0,35.042,65.375,30.333,,0,0.333,99.0,45.917,-6.0
2011-01-19,100.0,81.042,57.0,28.792,63.333,34.542,,22,0.292,85.0,55.542,35.0
2011-01-20,100.0,85.292,72.0,15.083,16.833,1.75,,2,0.0,90.0,72.208,51.0
2011-01-21,99.0,90.667,70.0,19.583,22.125,2.542,,8,0.0,85.0,70.333,58.0
2011-01-22,100.0,81.042,53.0,21.5,27.0,5.5,,0,1.333,110.0,70.708,31.0
2011-01-23,93.0,74.083,42.0,11.556,12.778,1.222,,2,0.174,97.0,56.958,23.0
2011-01-24,69.0,54.75,44.0,4.667,4.889,0.222,,0,0.042,48.0,23.458,6.0
2011-01-25,66.0,48.875,29.0,7.667,8.208,0.542,,0,0.75,51.0,18.333,-7.0
2011-01-26,72.0,54.667,44.0,11.417,13.0,1.583,,0,0.083,48.0,15.333,-18.0
2011-01-27,74.0,60.167,45.0,21.167,25.167,4.0,,0,1.833,67.0,28.417,1.0
2011-01-28,83.0,66.625,49.0,15.542,17.417,1.875,,0,1.125,74.0,34.0,8.0
2011-01-29,90.0,69.083,43.0,7.667,7.75,0.083,,0,0.0,56.0,24.375,6.0
2011-01-30,92.0,77.083,56.0,22.75,32.25,9.5,,0,0.261,44.0,20.125,1.0
2011-01-31,86.0,61.542,37.0,20.583,27.583,7.0,,0,0.042,62.0,21.75,-4.0
2011-02-01,88.0,58.292,33.0,15.542,29.75,14.208,,0,1.292,70.0,31.208,-10.0
2011-02-02,74.0,58.708,40.0,7.625,7.667,0.042,,0,0.0,18.0,-5.458,-26.0
2011-02-03,83.0,60.958,41.0,15.042,18.083,3.042,,0,0.167,40.0,2.083,-43.0
2011-02-04,79.0,56.958,35.0,18.542,23.833,5.292,,0,1.625,68.0,32.583,-2.0
2011-02-05,68.0,54.0,39.0,13.13,13.739,0.609,,0,3.5,75.0,48.292,11.0
2011-02-06,100.0,86.25,66.0,24.458,33.083,8.625,,9,1.652,90.0,69.375,42.0
2011-02-07,100.0,74.417,52.0,14.75,21.208,6.458,,23,0.333,100.0,81.375,51.0
2011-02-08,62.0,44.458,26.0,4.913,5.609,0.696,,0,0.087,47.0,23.833,-15.0
2011-02-09,68.0,45.917,30.0,10.25,13.333,3.083,,0,0.0,53.0,13.083,-27.0
