date,NO2_mean,NOX_mean,NO_mean
2011-01-01,17.625,27.458,9.833
2011-01-02,6.917,11.0,4.083
2011-01-03,15.25,25.208,9.958
2011-01-04,9.792,16.5,6.708
2011-01-05,18.125,27.667,9.542
2011-01-06,28.783,58.391,29.609
2011-01-07,8.792,13.333,4.542
2011-01-08,18.083,27.833,9.75
2011-01-09,19.292,29.75,10.458
2011-01-10,33.304,63.913,30.609
2011-01-11,15.708,29.125,13.417
2011-01-12,25.0,46.167,21.167
2011-01-13,23.333,52.083,28.75
2011-01-14,22.417,36.417,14.0
2011-01-15,16.875,29.083,12.208
2011-01-16,11.958,17.792,5.833
2011-01-17,24.25,49.417,25.167
2011-01-18,33.0,57.875,24.875
2011-01-19,31.958,57.0,25.042
2011-01-20,15.091,18.682,3.591
2011-01-21,21.708,30.042,8.333
2011-01-22,25.417,43.5,18.083
2011-01-23,12.0,22.417,10.417
2011-01-24,17.043,34.261,17.217
2011-01-25,19.958,36.583,16.625
2011-01-26,24.042,45.958,21.917
2011-01-27,29.333,54.25,24.917
2011-01-28,18.125,27.292,9.167
2011-01-29,10.542,14.917,4.375
2011-01-30,28.458,52.792,24.333
2011-01-31,29.957,60.739,30.783
2011-02-01,22.292,50.917,28.625
2011-02-02,9.958,18.708,8.75
2011-02-03,27.083,47.625,20.542
2011-02-04,20.458,41.0,20.542
2011-02-05,24.042,37.917,13.875
2011-02-06,31.087,47.826,16.739
2011-02-07,28.417,50.042,21.625
2011-02-08,14.208,29.125,14.917
2011-02-09,20.292,38.083,17.792
2011-02-10,24.333,42.167,17.833
2011-02-11,14.875,22.958,8.083
2011-02-12,12.708,17.875,5.167
2011-02-13,27.125,37.792,10.667
2011-02-14,35.792,71.292,35.5
2011-02-15,23.652,46.739,23.087
2011-02-16,25.292,44.833,19.542
2011-02-17,16.609,32.652,16.043
2011-02-18,8.667,14.542,5.875
2011-02-19,16.5,25.042,8.542
2011-02-20,32.417,58.167,25.75
2011-02-21,47.261,106.696,59.435
2011-02-22,25.458,34.0,8.542
2011-02-23,24.792,51.375,26.583
2011-02-24,10.208,14.792,4.583
