date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,194.208,4.208,67.0,56.958,39.0,14.75,17.25,20.833,3.583,,0,1.625,110.0,71.292,30.0,208.958
2011-01-02,189.458,4.167,72.0,57.375,42.0,8.625,7.292,8.333,1.042,,0,2.0,92.0,67.125,50.0,198.083
2011-01-03,189.333,3.826,62.0,50.542,43.0,8.5,11.708,12.917,1.208,,0,2.75,88.0,64.292,38.0,197.833
2011-01-04,189.565,4.217,65.0,48.125,22.0,7.696,8.609,9.609,1.0,,0,4.13,80.0,52.208,27.0,197.261
2011-01-05,191.083,4.125,74.0,61.458,46.0,11.792,18.375,22.625,4.25,,0,1.125,76.0,41.792,11.0,202.875
2011-01-06,194.917,5.083,79.0,54.292,34.0,18.208,28.458,45.75,17.292,,0,1.583,99.0,60.292,21.0,213.125
2011-01-07,190.667,3.25,65.0,54.792,38.0,8.708,10.5,11.792,1.292,,0,1.0,86.0,56.125,42.0,199.375
2011-01-08,193.042,3.5,65.0,53.667,38.0,11.75,13.917,16.042,2.125,,0,1.0,90.0,54.708,30.0,204.792
2011-01-09,196.542,4.917,66.0,57.5,44.0,14.75,20.583,27.417,6.833,,0,2.25,114.0,68.125,38.0,211.292
2011-01-10,198.435,6.318,79.0,59.417,42.0,19.826,32.783,48.043,15.261,,0,3.13,108.0,70.417,27.0,218.261
2011-01-11,189.458,4.208,60.0,49.5,32.0,9.125,14.75,16.792,2.042,,0,2.708,105.0,67.25,21.0,198.583
2011-01-12,193.042,4.0,64.0,54.5,42.0,12.458,20.167,27.75,7.583,,0,1.375,63.0,39.208,14.0,205.5
2011-01-13,194.583,5.333,71.0,51.458,31.0,22.458,23.25,48.042,24.792,,0,2.0,105.0,64.0,29.0,217.042
2011-01-14,192.5,5.375,61.0,52.792,46.0,11.458,18.667,21.042,2.375,,0,3.667,85.0,66.0,51.0,203.958
