date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-01-01,,,13.25,14.625,1.375,,
2011-01-02,,,6.125,6.208,0.083,,
2011-01-03,,,10.833,11.625,0.792,,
2011-01-04,,,8.542,9.417,0.875,,
2011-01-05,,,14.042,15.958,1.917,,
2011-01-06,,,18.542,23.417,4.875,,
2011-01-07,,,7.083,8.292,1.208,,
2011-01-08,,,11.25,12.958,1.708,,
2011-01-09,,,13.708,17.042,3.333,,
2011-01-10,,,25.0,38.333,13.333,,
2011-01-11,,,12.167,15.25,3.083,,
2011-01-12,,,19.792,25.583,5.792,,
2011-01-13,193.667,16.556,18.75,30.083,11.333,,210.222
2011-01-14,196.417,18.083,17.667,20.917,3.25,,214.5
2011-01-15,194.917,17.417,12.083,14.958,2.875,,212.333
2011-01-16,190.043,18.261,11.875,13.75,1.875,,208.304
2011-01-17,192.667,23.958,21.417,30.75,9.333,,216.625
2011-01-18,191.375,27.375,25.25,35.167,9.917,,218.75
2011-01-19,189.75,26.833,24.833,38.5,13.667,,216.583
2011-01-20,187.208,20.875,14.583,16.625,2.042,,208.083
2011-01-21,188.5,21.375,17.375,20.375,3.0,,209.875
2011-01-22,190.583,21.708,17.958,23.583,5.625,,212.292
2011-01-23,190.435,15.261,8.75,11.583,2.833,,205.696
2011-01-24,188.542,14.125,8.792,11.958,3.167,,202.667
2011-01-25,191.542,15.083,11.833,15.042,3.208,,206.625
2011-01-26,191.167,15.25,15.083,18.625,3.542,,206.417
2011-01-27,193.167,20.917,21.167,29.542,8.375,,214.083
2011-01-28,192.708,17.0,14.833,16.792,1.958,,209.708
2011-01-29,191.917,15.083,8.542,9.042,0.5,,207.0
2011-01-30,193.043,22.522,23.667,31.444,7.778,,215.565
2011-01-31,189.917,20.0,25.75,35.25,9.5,,209.917
2011-02-01,191.625,19.667,16.458,26.708,10.25,,211.292
2011-02-02,188.625,13.0,7.208,8.292,1.083,,201.625
2011-02-03,191.792,18.208,16.083,19.792,3.708,,210.0
2011-02-04,191.042,17.042,17.125,18.708,1.583,,208.083
2011-02-05,192.542,17.167,13.75,14.625,0.875,,209.708
2011-02-06,194.217,28.087,25.708,33.667,7.958,,222.304
2011-02-07,192.875,22.792,22.0,31.125,9.125,,215.667
2011-02-08,190.042,14.667,8.75,10.375,1.625,,204.708
2011-02-09,190.958,16.083,13.25,16.25,3.0,,207.042
2011-02-10,189.958,17.083,14.708,17.542,2.833,,207.042
2011-02-11,190.542,15.875,12.833,13.583,0.75,,206.417
2011-02-12,191.625,17.125,10.833,11.292,0.458,,208.75
2011-02-13,191.13,23.87,24.125,29.0,4.875,,215.0
2011-02-14,193.708,30.458,27.5,42.417,14.917,,224.167
2011-02-15,191.292,23.667,18.0,26.5,8.5,,214.958
2011-02-16,189.875,18.833,21.042,24.25,3.208,,208.708
2011-02-17,188.478,17.087,12.409,14.364,1.955,,205.565
2011-02-18,190.292,14.417,9.042,9.5,0.458,,204.708
2011-02-19,192.417,17.167,12.083,14.167,2.083,,209.583
2011-02-20,194.391,22.087,21.708,29.25,7.542,,216.478
2011-02-21,197.458,33.667,35.375,60.167,24.792,,231.125
2011-02-22,192.0,22.875,21.208,22.708,1.5,,214.875
2011-02-23,191.917,23.958,19.125,27.667,8.542,,215.875
2011-02-24,190.75,17.875,9.292,9.708,0.417,,208.625
2011-02-25,192.25,20.0,16.0,19.042,3.042,,212.25
2011-02-26,190.5,14.625,5.25,5.25,0.0,,205.125
2011-02-27,191.826,18.739,11.833,13.292,1.458,,210.565
2011-02-28,192.083,20.083,17.625,21.042,3.417,,212.167
2011-03-01,193.208,33.083,31.042,44.292,13.25,,226.292
2011-03-02,192.167,28.833,23.957,36.652,12.696,,221.0
2011-03-03,189.833,20.125,7.917,7.917,0.0,,209.958
2011-03-04,191.208,22.167,8.583,8.625,0.042,,213.375
2011-03-05,194.739,28.739,21.208,30.333,9.125,,223.478
2011-03-06,197.833,31.958,30.917,55.458,24.542,,229.792
2011-03-07,194.417,22.083,13.667,14.292,0.625,,216.5
2011-03-08,192.875,22.167,12.375,13.917,1.542,,215.042
2011-03-09,191.625,24.208,16.5,17.042,0.542,,215.833
2011-03-10,190.417,24.917,7.208,7.25,0.042,,215.333
2011-03-11,191.417,19.958,7.583,7.708,0.125,,211.375
2011-03-12,192.0,16.8,9.833,10.625,0.792,,208.8
2011-03-13,192.556,17.222,14.5,15.708,1.208,,209.778
2011-03-14,196.542,20.375,22.917,26.167,3.25,,216.917
2011-03-15,196.833,18.75,17.375,20.458,3.083,,215.583
2011-03-16,198.958,24.083,24.417,27.333,2.917,,223.042
2011-03-17,200.333,37.5,30.917,43.375,12.458,,237.833
2011-03-18,206.417,42.583,26.5,43.042,16.542,,249.0
2011-03-19,191.261,18.043,8.458,9.0,0.542,,209.304
2011-03-20,193.958,17.75,14.125,15.917,1.792,,211.708
2011-03-21,193.208,16.917,14.917,16.417,1.5,,210.125
2011-03-22,196.167,25.292,28.125,36.833,8.708,,221.458
2011-03-23,191.167,22.542,21.417,22.458,1.042,,213.708
2011-03-24,192.875,19.0,12.417,12.958,0.542,,211.875
2011-03-25,194.625,16.667,5.625,5.958,0.333,,211.292
2011-03-26,195.0,18.565,13.667,15.042,1.375,,213.565
2011-03-27,196.25,20.75,23.125,26.375,3.25,,217.0
