date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,3.375,11.792,13.792,2.0,,1.25,
2011-01-02,2.826,4.583,5.458,0.875,,0.958,
2011-01-03,2.333,5.792,6.625,0.833,,0.583,
2011-01-04,3.75,5.348,6.652,1.304,,4.125,
2011-01-05,2.5,7.833,11.417,3.583,,0.913,
2011-01-06,3.708,19.917,30.792,10.875,,1.292,
2011-01-07,2.25,12.583,17.75,5.167,,0.583,
2011-01-08,2.208,7.583,9.25,1.667,,0.417,
2011-01-09,2.87,15.208,20.833,5.625,,1.875,
2011-01-10,3.739,27.435,44.783,17.348,,1.522,
2011-01-11,3.5,20.13,35.435,15.304,,1.875,
2011-01-12,2.625,14.708,23.208,8.5,,0.783,
2011-01-13,3.75,23.5,51.625,28.125,,2.167,
2011-01-14,3.708,11.208,15.958,4.75,,2.833,
2011-01-15,2.458,7.458,9.75,2.292,,1.167,
2011-01-16,3.739,22.708,45.417,22.708,,1.25,
2011-01-17,3.208,21.625,32.583,10.958,,0.708,
2011-01-18,3.667,24.435,43.261,18.826,,1.375,
2011-01-19,2.792,12.042,18.75,6.708,,0.87,
2011-01-20,3.458,21.708,37.5,15.792,,0.042,
2011-01-21,2.917,15.958,25.833,9.875,,0.083,
2011-01-22,2.75,12.333,17.375,5.042,,0.458,
2011-01-23,2.706,14.208,21.125,6.917,,1.208,
2011-01-24,2.739,17.522,27.478,9.957,,1.13,
2011-01-25,3.125,18.304,27.261,8.957,,1.75,
2011-01-26,3.083,18.167,27.25,9.083,,1.348,
2011-01-27,4.75,28.25,52.542,24.292,,2.583,
2011-01-28,3.458,17.333,24.792,7.458,,2.292,
2011-01-29,2.125,3.833,5.083,1.25,,1.0,
2011-01-30,3.13,18.0,28.292,10.292,,1.292,
2011-01-31,3.167,25.125,40.375,15.25,,1.25,
2011-02-01,3.083,17.043,22.913,5.87,,2.208,
2011-02-02,2.958,12.0,18.333,6.333,,1.565,
2011-02-03,4.042,31.75,59.792,28.042,,1.667,
2011-02-04,3.458,19.917,32.333,12.417,,2.458,
2011-02-05,3.417,13.458,16.875,3.417,,1.875,
2011-02-06,6.864,32.739,76.957,44.217,,1.304,
2011-02-07,5.333,22.958,56.167,33.208,,1.059,
2011-02-08,2.217,6.182,9.091,2.909,,0.842,
2011-02-09,2.625,14.375,22.125,7.75,,1.304,
2011-02-10,2.583,15.792,23.333,7.542,,1.167,
2011-02-11,2.292,10.917,14.042,3.125,,1.0,
2011-02-12,2.167,3.833,4.125,0.292,,1.0,
2011-02-13,3.174,22.375,35.125,12.75,,1.417,
2011-02-14,5.417,35.083,80.208,45.125,,0.917,
2011-02-15,4.208,22.958,35.167,12.208,,1.333,
2011-02-16,3.417,22.958,36.833,13.875,,1.13,
2011-02-17,3.083,14.478,20.87,6.391,,1.333,
2011-02-18,2.417,7.375,10.042,2.667,,0.833,
2011-02-19,2.875,10.083,12.833,2.75,,1.083,
2011-02-20,3.136,18.739,26.304,7.565,,1.13,
2011-02-21,4.25,26.208,45.0,18.792,,2.083,
2011-02-22,3.083,18.958,25.333,6.375,,1.75,
2011-02-23,3.542,12.042,20.292,8.25,,0.435,
2011-02-24,4.333,22.478,27.913,5.435,,3.042,
2011-02-25,4.417,18.75,28.375,9.625,,1.375,
2011-02-26,2.375,4.958,6.0,1.042,,0.625,
2011-02-27,2.174,7.833,10.542,2.708,,0.792,
2011-02-28,3.167,19.333,28.375,9.042,,1.083,
2011-03-01,5.0,31.792,57.5,25.708,,2.435,
2011-03-02,3.625,18.13,28.87,10.739,,0.739,
2011-03-03,3.042,15.083,18.583,3.5,,1.083,
2011-03-04,3.333,7.792,10.333,2.542,,0.833,
2011-03-05,4.318,19.565,37.435,17.87,,0.696,
2011-03-06,6.083,32.0,62.792,30.792,,1.167,
2011-03-07,4.458,18.0,22.958,4.958,,1.625,
2011-03-08,6.542,40.625,68.792,28.167,,3.739,
2011-03-09,5.458,36.174,55.913,19.739,,1.375,
2011-03-10,2.917,11.042,13.542,2.5,,0.375,
2011-03-11,2.333,3.75,4.333,0.583,,1.0,
2011-03-12,2.957,10.833,14.167,3.333,,1.125,
2011-03-13,2.217,14.208,18.333,4.125,,1.208,
2011-03-14,2.625,22.083,30.5,8.417,,1.417,
2011-03-15,2.625,18.292,26.167,7.875,,2.13,
2011-03-16,2.333,12.174,17.522,5.348,,1.75,
2011-03-17,2.958,15.583,18.125,2.542,,0.125,
2011-03-18,4.292,16.292,19.458,3.167,,0.625,
2011-03-19,2.391,8.0,10.667,2.667,,0.792,
2011-03-20,2.0,11.375,14.75,3.375,,0.875,
2011-03-21,2.304,9.913,12.609,2.696,,0.913,
2011-03-22,2.5,20.417,28.417,8.0,,1.609,
2011-03-23,2.958,19.217,24.783,5.565,,0.542,
2011-03-24,3.583,13.917,18.208,4.292,,0.833,
2011-03-25,2.958,6.708,7.958,1.25,,0.792,
2011-03-26,2.435,12.792,16.25,3.458,,1.0,
2011-03-27,2.917,20.375,25.833,5.458,,1.417,
2011-03-28,3.542,16.792,19.833,3.042,,2.333,
2011-03-29,2.917,20.167,26.042,5.875,,1.043,
2011-03-30,3.75,25.391,33.739,8.348,,1.083,
2011-03-31,1.958,8.542,11.083,2.542,,0.375,
2011-04-01,2.833,23.208,30.875,7.667,,1.167,
2011-04-02,2.833,12.542,14.083,1.542,,1.625,
2011-04-03,2.25,8.583,10.25,1.667,,1.0,
2011-04-04,2.522,17.25,23.042,5.792,,1.292,
2011-04-05,2.875,17.958,23.042,5.083,,1.292,
2011-04-06,3.292,22.87,27.304,4.435,,1.917,
2011-04-07,2.625,22.125,26.917,4.792,,1.261,
2011-04-08,2.958,27.833,40.875,13.042,,1.083,
2011-04-09,2.667,15.333,20.5,5.167,,0.708,
2011-04-10,2.958,6.0,6.542,0.542,,1.042,
2011-04-11,3.5,15.043,17.348,2.304,,2.174,
2011-04-12,2.458,13.667,17.458,3.792,,1.042,
2011-04-13,3.625,31.783,39.348,7.565,,2.167,
2011-04-14,4.167,32.167,44.208,12.042,,2.826,
2011-04-15,2.917,21.0,25.75,4.75,,2.583,
2011-04-16,2.625,10.625,14.25,3.625,,1.25,
2011-04-17,2.25,5.208,5.75,0.542,,0.958,
2011-04-18,2.087,4.875,5.417,0.542,,0.875,
2011-04-19,3.042,16.292,19.875,3.583,,0.792,
2011-04-20,2.208,14.261,19.304,5.043,,1.0,
2011-04-21,3.333,21.292,28.708,7.417,,1.652,
2011-04-22,2.708,13.542,15.833,2.292,,1.042,
2011-04-23,2.625,13.417,17.25,3.833,,1.0,
2011-04-24,2.958,8.333,9.458,1.125,,1.083,
2011-04-25,3.182,15.087,17.609,2.522,,1.13,
2011-04-26,3.167,21.208,27.333,6.125,,1.565,
2011-04-27,3.083,21.522,28.13,6.609,,1.167,
2011-04-28,3.25,14.917,17.292,2.375,,1.348,
2011-04-29,2.417,9.542,10.5,0.958,,0.75,
2011-04-30,2.5,10.833,12.333,1.5,,1.125,
2011-05-01,2.0,6.75,7.583,0.833,,0.125,
2011-05-02,2.783,7.125,7.667,0.542,,0.542,
2011-05-03,3.792,14.542,16.792,2.25,,0.833,
2011-05-04,3.458,10.435,11.522,1.087,,1.417,
2011-05-05,2.792,9.917,10.5,0.583,,1.261,
2011-05-06,2.833,6.542,7.125,0.583,,2.25,
2011-05-07,2.083,7.583,8.167,0.583,,2.167,
2011-05-08,2.583,10.25,10.875,0.625,,2.042,
2011-05-09,3.783,21.833,26.042,4.208,,2.292,
2011-05-10,4.083,25.208,46.917,21.708,,1.833,
2011-05-11,2.478,12.045,21.273,9.227,,0.826,
2011-05-12,2.958,13.167,20.167,7.0,,0.043,
2011-05-13,2.25,11.958,16.667,4.708,,0.792,
2011-05-14,2.667,13.292,14.417,1.125,,1.458,
2011-05-15,2.667,10.458,10.875,0.417,,1.208,
2011-05-16,2.739,15.292,18.375,3.083,,1.0,
2011-05-17,3.167,21.333,24.625,3.292,,1.333,
2011-05-18,3.375,22.913,26.435,3.522,,1.792,
2011-05-19,3.375,28.542,35.125,6.583,,1.913,
2011-05-20,3.042,21.5,26.958,5.458,,1.417,
2011-05-21,2.833,15.417,18.333,2.917,,1.417,
2011-05-22,2.208,10.667,13.042,2.375,,0.75,
2011-05-23,2.591,16.783,23.043,6.261,,0.609,
2011-05-24,2.333,11.833,14.042,2.208,,0.5,
2011-05-25,2.75,19.087,22.348,3.261,,1.042,
2011-05-26,1.708,10.833,11.25,0.417,,0.783,
2011-05-27,1.458,4.125,4.667,0.542,,0.0,
2011-05-28,2.792,16.042,21.0,4.958,,0.125,
2011-05-29,1.458,4.0,4.917,0.917,,0.0,
2011-05-30,1.826,14.765,19.059,4.294,,0.167,
2011-05-31,2.333,20.368,26.474,6.105,,0.708,
2011-06-01,2.125,6.478,6.696,0.217,,0.458,
2011-06-02,1.875,11.042,16.833,5.792,,0.043,
2011-06-03,3.167,21.083,34.208,13.125,,0.478,
