date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2011-01-01,188.667,16.042,9.25,10.125,0.875,204.708
2011-01-02,189.042,13.208,6.5,6.75,0.25,202.25
2011-01-03,190.083,14.042,7.417,8.083,0.667,204.125
2011-01-04,190.042,11.583,5.958,6.375,0.417,201.625
2011-01-05,188.375,15.042,10.625,11.667,1.042,203.417
2011-01-06,187.25,16.917,15.833,18.75,2.917,204.167
2011-01-07,188.87,14.696,10.217,11.826,1.609,203.565
2011-01-08,188.167,15.333,9.625,10.792,1.167,203.5
2011-01-09,192.292,20.792,17.25,23.5,6.25,213.083
2011-01-10,189.75,18.167,16.292,19.875,3.583,207.917
2011-01-11,189.615,15.154,11.167,12.667,1.5,204.769
2011-01-12,188.091,18.182,16.043,20.391,4.348,206.273
2011-01-13,189.75,13.25,12.375,14.542,2.167,203.0
2011-01-14,192.087,19.043,19.609,28.043,8.435,211.13
2011-01-15,190.292,19.0,17.208,21.167,3.958,209.292
2011-01-16,189.75,14.208,11.958,12.875,0.917,203.958
2011-01-17,186.625,12.375,10.792,12.708,1.917,199.0
2011-01-18,187.292,18.917,18.917,32.25,13.333,206.208
2011-01-19,186.625,25.167,18.7,54.2,35.5,211.792
2011-01-20,184.125,15.917,15.545,17.636,2.091,200.042
2011-01-21,186.783,18.478,15.391,17.609,2.217,205.261
2011-01-22,185.833,12.625,10.375,12.25,1.875,198.458
2011-01-23,188.5,11.792,10.458,12.167,1.708,200.292
2011-01-24,191.375,11.125,8.667,9.708,1.042,202.5
2011-01-25,192.909,13.091,11.5,14.091,2.591,206.0
2011-01-26,192.083,11.792,10.875,12.583,1.708,203.875
2011-01-27,193.292,19.0,19.375,25.667,6.292,212.292
2011-01-28,190.739,21.609,16.043,21.478,5.435,212.348
2011-01-29,188.292,14.417,12.5,14.542,2.042,202.708
2011-01-30,189.333,15.625,16.167,24.167,8.0,204.958
2011-01-31,189.167,15.292,15.708,19.292,3.583,204.458
2011-02-01,191.167,12.167,9.583,10.625,1.042,203.333
2011-02-02,192.0,9.458,5.5,6.042,0.542,201.458
2011-02-03,191.208,12.833,11.292,13.542,2.25,204.042
2011-02-04,188.391,13.087,9.435,10.652,1.217,201.478
2011-02-05,189.708,14.125,12.833,14.083,1.25,203.833
2011-02-06,189.083,19.833,21.25,27.042,5.792,208.917
2011-02-07,187.958,19.0,19.417,29.667,10.25,206.958
2011-02-08,188.5,8.727,5.87,6.522,0.652,197.227
2011-02-09,190.417,10.167,8.875,9.958,1.083,200.583
2011-02-10,189.25,14.375,16.667,23.042,6.375,203.625
2011-02-11,187.304,12.913,11.478,13.783,2.304,200.217
2011-02-12,187.5,13.583,10.958,12.042,1.083,201.083
2011-02-13,189.0,16.875,23.542,27.333,3.792,205.875
2011-02-14,189.375,20.875,22.667,36.667,14.0,210.25
2011-02-15,188.0,18.833,20.167,29.708,9.542,206.833
2011-02-16,186.458,13.083,10.792,12.792,2.0,199.542
2011-02-17,187.375,9.708,8.542,9.5,0.958,197.083
2011-02-18,192.565,11.13,8.304,9.304,1.0,203.696
2011-02-19,191.333,11.125,8.792,9.958,1.167,202.458
2011-02-20,188.75,15.417,15.375,18.5,3.125,204.167
2011-02-21,187.458,18.583,22.542,29.625,7.083,206.042
2011-02-22,187.091,18.773,21.909,25.818,3.909,205.864
2011-02-23,188.958,20.25,21.833,31.667,9.833,209.208
2011-02-24,190.333,16.167,17.417,19.625,2.208,206.5
2011-02-25,188.652,15.391,16.913,18.565,1.652,204.043
2011-02-26,188.625,11.0,7.542,7.958,0.417,199.625
2011-02-27,190.542,12.667,13.5,16.292,2.792,203.208
2011-02-28,190.0,13.917,14.167,19.5,5.333,203.917
2011-03-01,187.5,23.208,23.375,40.25,16.875,210.708
2011-03-02,185.167,22.333,24.292,40.5,16.208,207.5
2011-03-03,188.609,12.304,10.304,11.0,0.696,200.913
2011-03-04,190.75,12.208,8.708,9.042,0.333,202.958
2011-03-05,191.75,20.958,21.125,30.375,9.25,212.708
2011-03-06,190.458,21.667,14.708,27.042,12.333,212.125
2011-03-07,193.0,17.818,16.273,19.136,2.864,210.818
2011-03-08,191.875,18.083,16.125,22.458,6.333,209.958
2011-03-09,190.458,17.542,16.5,17.625,1.125,208.0
2011-03-10,189.13,15.261,11.696,14.087,2.391,204.391
2011-03-11,189.083,12.542,8.417,9.125,0.708,201.625
2011-03-12,189.5,11.125,7.625,8.333,0.708,200.625
2011-03-13,188.542,13.0,12.5,14.208,1.708,201.542
2011-03-14,187.917,15.583,17.458,22.167,4.708,203.5
2011-03-15,188.333,13.542,11.417,11.917,0.5,201.875
2011-03-16,189.542,15.667,20.125,23.417,3.292,205.208
