date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,9.333,11.083,1.75,,1.583
2011-01-02,3.957,4.13,0.174,,1.522
2011-01-03,5.25,5.375,0.125,,1.833
2011-01-04,5.25,6.042,0.792,,4.0
2011-01-05,7.708,9.875,2.167,,1.292
2011-01-06,9.75,11.542,1.792,,2.125
2011-01-07,6.958,7.958,1.0,,0.958
2011-01-08,7.917,9.0,1.083,,0.5
2011-01-09,11.174,12.696,1.522,,2.609
2011-01-10,11.833,15.042,3.208,,2.542
2011-01-11,6.75,8.167,1.417,,2.583
2011-01-12,8.708,11.333,2.625,,0.917
2011-01-13,10.333,12.75,2.417,,3.042
2011-01-14,9.75,10.958,1.208,,5.542
2011-01-15,9.417,10.583,1.167,,1.208
2011-01-16,8.522,11.261,2.739,,1.043
2011-01-17,10.292,13.167,2.875,,1.125
2011-01-18,20.042,27.583,7.542,,1.208
2011-01-19,26.667,33.25,6.583,,1.5
2011-01-20,13.083,17.0,3.917,,1.0
2011-01-21,10.083,10.875,0.792,,0.958
2011-01-22,9.25,10.25,1.0,,1.0
2011-01-23,5.174,6.304,1.13,,1.0
2011-01-24,5.0,6.208,1.208,,1.542
2011-01-25,6.625,8.208,1.583,,2.583
2011-01-26,5.708,7.833,2.125,,1.208
2011-01-27,10.542,12.458,1.917,,4.375
2011-01-28,8.5,9.083,0.583,,2.958
2011-01-29,5.375,6.0,0.625,,0.958
2011-01-30,7.273,9.818,2.545,,0.824
2011-01-31,8.522,10.522,2.0,,0.733
2011-02-01,10.375,11.938,1.562,,1.375
2011-02-02,4.294,5.529,1.235,,0.542
2011-02-03,8.375,10.292,1.917,,0.708
2011-02-04,6.625,7.25,0.625,,2.583
2011-02-05,7.5,7.958,0.458,,2.917
2011-02-06,27.391,35.391,8.0,,2.667
2011-02-07,15.708,19.375,3.667,,1.478
2011-02-08,5.042,7.083,2.042,,0.833
2011-02-09,8.125,10.333,2.208,,1.833
2011-02-10,9.542,12.458,2.917,,1.583
2011-02-11,6.083,7.375,1.292,,1.042
2011-02-12,5.5,6.208,0.708,,0.875
2011-02-13,24.217,28.87,4.652,,1.958
2011-02-14,21.083,28.125,7.042,,0.826
2011-02-15,13.0,17.625,4.625,,0.625
2011-02-16,8.042,10.833,2.792,,1.125
2011-02-17,5.75,7.667,1.917,,1.292
2011-02-18,5.167,6.542,1.375,,0.542
2011-02-19,6.208,7.375,1.167,,0.958
2011-02-20,9.043,11.478,2.435,,0.625
2011-02-21,17.667,23.792,6.125,,2.565
2011-02-22,25.583,31.5,5.917,,3.167
2011-02-23,17.0,21.958,4.958,,1.958
2011-02-24,10.417,12.583,2.167,,2.375
2011-02-25,18.208,21.125,2.917,,2.333
2011-02-26,4.917,5.917,1.0,,0.5
2011-02-27,6.391,7.391,1.0,,0.292
2011-02-28,14.708,16.958,2.25,,1.043
2011-03-01,20.75,26.417,5.667,,0.778
2011-03-02,29.0,53.583,24.583,,2.542
2011-03-03,6.833,7.375,0.542,,0.667
2011-03-04,12.458,13.458,1.0,,1.0
2011-03-05,19.739,25.913,6.174,,0.458
2011-03-06,15.708,23.792,8.083,,2.087
2011-03-07,14.833,18.542,3.708,,2.292
2011-03-08,12.75,15.625,2.875,,1.875
2011-03-09,14.458,17.917,3.458,,1.042
2011-03-10,8.375,9.458,1.083,,0.375
2011-03-11,6.042,7.625,1.583,,1.375
2011-03-12,7.348,10.13,2.783,,0.917
2011-03-13,8.792,12.083,3.292,,0.217
2011-03-14,10.833,14.5,3.667,,1.25
2011-03-15,12.417,15.333,2.917,,2.042
2011-03-16,21.083,26.292,5.208,,3.042
2011-03-17,10.833,13.167,2.333,,1.542
2011-03-18,14.708,16.583,1.875,,3.083
2011-03-19,7.957,9.87,1.913,,0.583
2011-03-20,10.208,11.458,1.25,,1.826
2011-03-21,9.542,11.417,1.875,,0.958
2011-03-22,20.708,25.042,4.333,,4.042
2011-03-23,24.167,27.042,2.875,,1.75
2011-03-24,6.375,6.708,0.333,,1.583
2011-03-25,4.458,4.583,0.125,,1.125
2011-03-26,8.609,11.565,2.957,,0.833
2011-03-27,12.458,15.333,2.875,,2.304
2011-03-28,10.292,12.5,2.208,,2.542
2011-03-29,10.667,13.417,2.75,,1.708
2011-03-30,3.333,4.208,0.875,,0.875
2011-03-31,4.0,5.083,1.083,,0.208
2011-04-01,18.958,24.333,5.375,,1.667
2011-04-02,10.292,11.208,0.917,,1.583
2011-04-03,5.083,5.375,0.292,,0.208
2011-04-04,6.167,6.917,0.75,,0.0
2011-04-05,11.083,12.083,1.0,,0.208
2011-04-06,14.292,17.208,2.917,,0.833
2011-04-07,7.13,8.87,1.739,,0.762
2011-04-08,2.174,2.174,0.0,,0.0
2011-04-09,16.083,18.417,2.333,,2.583
2011-04-10,9.958,10.625,0.667,,2.625
2011-04-11,7.667,8.167,0.5,,2.583
2011-04-12,7.708,7.917,0.208,,0.833
2011-04-13,8.583,8.792,0.208,,1.792
2011-04-14,17.182,19.455,2.273,,5.591
2011-04-15,16.261,17.304,1.043,,2.87
2011-04-16,12.958,14.292,1.333,,2.0
2011-04-17,6.375,6.667,0.292,,0.0
2011-04-18,16.458,19.042,2.583,,1.708
2011-04-19,5.167,5.583,0.417,,0.0
