date,NO2_mean,NOX_mean,NO_mean
2018-03-19,12.875,14.208,1.333
2018-03-20,15.042,18.708,3.667
2018-03-21,15.125,16.583,1.458
2018-03-22,4.435,5.435,1.0
2018-03-23,4.958,5.0,0.042
2018-03-24,6.174,6.391,0.217
2018-03-25,12.333,14.5,2.167
2018-03-26,8.708,9.875,1.167
2018-03-27,14.333,15.667,1.333
2018-03-28,9.333,9.625,0.292
2018-03-29,9.958,10.792,0.833
2018-03-30,11.583,12.917,1.333
2018-03-31,3.87,3.87,0.0
2018-04-01,7.348,9.609,2.261
2018-04-02,13.542,16.625,3.083
2018-04-03,12.625,16.25,3.625
2018-04-04,7.125,10.667,3.542
2018-04-05,8.958,10.583,1.625
2018-04-06,10.833,13.25,2.417
2018-04-07,4.667,5.833,1.167
2018-04-08,5.478,6.391,0.913
2018-04-09,11.955,14.182,2.227
2018-04-10,12.75,15.125,2.375
2018-04-11,9.875,12.542,2.667
2018-04-12,9.75,13.375,3.625
2018-04-13,7.333,8.333,1.0
2018-04-14,7.625,9.333,1.708
2018-04-15,3.783,5.261,1.478
2018-04-16,3.75,4.833,1.083
2018-04-17,10.5,12.958,2.458
2018-04-18,7.042,9.25,2.208
2018-04-19,8.5,11.292,2.792
2018-04-20,7.167,9.708,2.542
2018-04-21,7.542,9.458,1.917
2018-04-22,6.783,9.609,2.826
2018-04-23,5.304,8.696,3.391
2018-04-24,13.333,18.542,5.208
2018-04-25,3.5,6.625,3.125
2018-04-26,3.75,6.667,2.917
2018-04-27,7.75,11.875,4.125
2018-04-28,5.875,8.833,2.958
2018-04-29,4.478,6.696,2.217
2018-04-30,5.542,7.708,2.167
2018-05-01,7.833,10.5,2.667
2018-05-02,12.583,15.708,3.125
2018-05-03,4.417,6.25,1.833
2018-05-04,2.708,4.333,1.625
2018-05-05,5.75,7.958,2.208
2018-05-06,5.043,7.261,2.217
2018-05-07,9.375,11.875,2.5
2018-05-08,3.958,5.833,1.875
2018-05-09,5.0,6.955,1.955
2018-05-10,5.5,7.667,2.167
2018-05-11,10.042,13.167,3.125
2018-05-12,7.542,10.042,2.5
2018-05-13,11.478,13.043,1.565
2018-05-14,6.042,7.5,1.458
2018-05-15,11.833,13.75,1.917
2018-05-16,8.25,9.667,1.417
2018-05-17,9.875,11.792,1.917
2018-05-18,6.625,9.167,2.542
2018-05-19,1.417,2.417,1.0
2018-05-20,2.174,2.522,0.348
2018-05-21,7.625,8.542,0.917
2018-05-22,11.333,12.875,1.542
2018-05-23,9.875,10.833,0.958
2018-05-24,9.333,10.0,0.667
2018-05-25,13.13,14.652,1.522
2018-05-26,9.042,9.667,0.625
2018-05-27,8.217,8.696,0.478
2018-05-28,8.042,8.375,0.333
2018-05-29,10.708,11.458,0.75
2018-05-30,8.792,9.542,0.75
2018-05-31,11.125,13.958,2.833
2018-06-01,4.5,4.792,0.292
2018-06-02,7.167,7.542,0.375
2018-06-03,6.652,6.652,0.0
2018-06-04,9.667,9.792,0.125
2018-06-05,8.083,8.292,0.208
2018-06-06,11.174,11.391,0.217
2018-06-07,9.458,9.667,0.208
2018-06-08,14.792,15.958,1.167
2018-06-09,3.583,3.583,0.0
2018-06-10,4.609,4.609,0.0
2018-06-11,4.0,4.0,0.0
2018-06-12,4.417,4.458,0.042
2018-06-13,3.958,3.958,0.0
2018-06-14,4.875,5.0,0.125
2018-06-15,5.583,5.667,0.083
2018-06-16,2.5,2.5,0.0
2018-06-17,3.0,3.0,0.0
2018-06-18,4.25,4.25,0.0
2018-06-19,9.375,9.917,0.542
2018-06-20,15.958,17.958,2.0
2018-06-21,10.458,10.958,0.5
2018-06-22,10.13,10.391,0.261
2018-06-23,7.333,7.375,0.042
2018-06-24,5.913,5.913,0.0
2018-06-25,10.625,10.708,0.083
