date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,3.792,15.217,18.217,3.0,,2.0
2011-01-02,3.417,5.792,6.792,1.0,,2.25
2011-01-03,3.708,10.875,12.167,1.292,,3.083
2011-01-04,4.0,8.542,9.833,1.292,,4.792
2011-01-05,3.0,14.458,17.25,2.792,,1.375
2011-01-06,3.875,26.458,38.958,12.5,,1.792
2011-01-07,2.083,7.25,8.333,1.083,,1.0
2011-01-08,2.833,14.565,16.913,2.348,,1.13
2011-01-09,3.917,19.625,24.583,4.958,,2.25
2011-01-10,4.87,32.75,47.25,14.5,,3.75
2011-01-11,3.25,13.125,15.875,2.75,,2.952
2011-01-12,2.792,17.292,21.708,4.417,,1.545
2011-01-13,3.875,24.083,36.458,12.375,,3.125
2011-01-14,4.583,18.167,20.25,2.083,,4.333
2011-01-15,3.542,16.522,20.783,4.261,,1.739
2011-01-16,2.542,11.667,12.958,1.292,,1.0
2011-01-17,3.304,20.833,29.875,9.042,,1.458
2011-01-18,4.458,37.125,57.542,20.417,,1.25
2011-01-19,3.792,30.458,40.792,10.333,,1.083
2011-01-20,2.583,15.458,17.0,1.542,,1.0
2011-01-21,3.083,21.792,24.167,2.375,,1.0
2011-01-22,3.833,24.522,31.87,7.348,,2.217
2011-01-23,2.542,11.417,14.167,2.75,,1.292
2011-01-24,2.174,12.375,15.583,3.208,,1.091
2011-01-25,3.208,15.0,18.333,3.333,,2.292
2011-01-26,2.75,17.0,21.792,4.792,,1.417
2011-01-27,3.792,20.958,24.958,4.0,,4.375
2011-01-28,3.042,14.625,16.083,1.458,,2.875
2011-01-29,2.292,8.261,9.739,1.478,,1.043
2011-01-30,3.417,23.625,30.5,6.875,,1.458
2011-01-31,2.783,21.625,27.583,5.958,,1.478
2011-02-01,3.625,21.25,36.667,15.417,,2.696
2011-02-02,2.292,8.792,10.833,2.042,,1.042
2011-02-03,3.583,20.417,27.792,7.375,,1.75
2011-02-04,3.333,14.667,17.125,2.458,,3.667
2011-02-05,4.25,20.217,23.696,3.478,,4.783
2011-02-06,5.083,32.083,41.792,9.708,,2.75
2011-02-07,4.391,27.5,37.958,10.458,,2.0
2011-02-08,2.292,12.375,15.5,3.125,,1.333
2011-02-09,3.125,16.875,20.667,3.792,,2.375
2011-02-10,3.333,23.792,30.833,7.042,,2.333
2011-02-11,2.625,11.125,12.708,1.583,,1.5
2011-02-12,2.917,10.391,11.913,1.522,,1.696
2011-02-13,3.958,28.417,33.542,5.125,,1.0
2011-02-14,5.478,38.083,66.167,28.083,,1.167
2011-02-15,4.833,26.0,45.875,19.875,,1.667
2011-02-16,2.917,17.667,21.792,4.125,,1.833
2011-02-17,2.917,14.75,18.333,3.583,,2.083
2011-02-18,2.583,7.958,9.042,1.083,,1.0
2011-02-19,3.458,17.13,21.0,3.87,,1.565
2011-02-20,4.167,28.875,41.708,12.833,,1.958
2011-02-21,7.217,48.958,94.917,45.958,,5.542
2011-02-22,3.708,22.833,25.292,2.458,,2.083
2011-02-23,4.125,23.375,36.125,12.75,,1.917
2011-02-24,3.083,10.0,11.0,1.0,,1.667
2011-02-25,3.792,21.917,25.667,3.75,,1.625
2011-02-26,2.458,7.043,8.043,1.0,,1.0
2011-02-27,2.833,11.917,13.458,1.542,,1.0
2011-02-28,2.957,20.5,23.75,3.25,,1.0
2011-03-01,4.25,38.375,61.208,22.833,,3.167
2011-03-02,4.25,32.208,55.042,22.833,,2.083
2011-03-03,2.958,9.792,10.917,1.125,,1.0
2011-03-04,3.375,11.478,12.739,1.261,,1.0
2011-03-05,3.75,25.625,37.417,11.792,,1.542
2011-03-06,5.696,33.083,67.292,34.208,,3.833
2011-03-07,4.875,16.25,17.917,1.667,,2.708
2011-03-08,5.208,18.625,21.75,3.125,,2.625
2011-03-09,4.292,18.542,19.875,1.333,,1.458
2011-03-10,3.167,9.667,10.667,1.0,,1.125
2011-03-11,2.875,9.261,10.87,1.609,,1.87
2011-03-12,2.875,10.125,11.792,1.667,,1.042
2011-03-13,2.826,11.792,13.542,1.75,,1.333
2011-03-14,3.917,34.5,48.5,14.0,,2.833
2011-03-15,3.875,24.417,34.083,9.667,,2.208
2011-03-16,3.917,38.167,45.583,7.417,,2.0
2011-03-17,4.458,39.042,53.417,14.375,,1.583
2011-03-18,6.375,30.522,60.957,30.435,,3.0
2011-03-19,2.167,10.0,11.042,1.042,,1.0
2011-03-20,2.792,17.375,20.583,3.208,,2.333
2011-03-21,2.696,15.375,16.792,1.417,,1.5
2011-03-22,4.417,40.0,52.333,12.333,,4.458
2011-03-23,3.083,25.0,27.083,2.083,,1.042
2011-03-24,4.25,16.458,18.083,1.625,,2.708
2011-03-25,3.0,8.391,9.652,1.261,,1.739
2011-03-26,3.25,19.125,21.333,2.208,,1.542
2011-03-27,3.609,32.583,38.167,5.583,,3.417
2011-03-28,3.75,27.375,34.875,7.5,,3.958
2011-03-29,3.5,26.333,31.583,5.25,,3.542
2011-03-30,3.75,28.5,41.708,13.208,,3.167
2011-03-31,2.417,12.583,13.75,1.167,,1.292
2011-04-01,3.708,36.333,41.667,5.333,,3.708
2011-04-02,3.458,26.125,31.125,5.0,,3.792
2011-04-03,2.083,5.696,6.696,1.0,,1.0
2011-04-04,2.292,9.5,10.708,1.208,,1.0
2011-04-05,2.783,21.125,25.375,4.25,,2.708
2011-04-06,3.208,29.625,35.958,6.333,,3.375
2011-04-07,3.542,29.833,37.792,7.958,,4.208
2011-04-08,2.708,27.5,30.917,3.417,,2.042
2011-04-09,3.042,15.875,18.917,3.042,,1.25
2011-04-10,3.25,20.87,22.348,1.478,,3.609
2011-04-11,4.238,25.826,32.174,6.348,,3.652
2011-04-12,2.583,17.958,20.542,2.583,,2.458
2011-04-13,4.333,36.917,48.125,11.208,,4.583
2011-04-14,3.917,36.583,44.25,7.667,,7.417
2011-04-15,3.864,29.818,33.318,3.5,,6.045
2011-04-16,3.417,17.5,21.458,3.958,,2.417
2011-04-17,2.5,14.304,16.0,1.696,,2.182
2011-04-18,2.917,21.25,25.042,3.792,,2.25
2011-04-19,2.652,13.833,15.625,1.792,,1.522
2011-04-20,2.417,11.875,13.458,1.583,,1.042
2011-04-21,2.875,29.792,35.708,5.917,,3.917
2011-04-22,5.458,47.917,62.375,14.458,,1.5
2011-04-23,3.958,26.292,33.0,6.708,,1.0
2011-04-24,3.667,17.522,19.478,1.957,,2.091
2011-04-25,3.625,26.125,31.292,5.167,,2.375
2011-04-26,3.435,23.542,27.75,4.208,,3.167
2011-04-27,2.708,18.042,20.667,2.625,,3.083
2011-04-28,3.083,14.708,16.75,2.042,,2.583
2011-04-29,3.167,17.292,19.917,2.625,,3.25
2011-04-30,3.583,22.208,25.292,3.083,,3.417
2011-05-01,3.292,20.391,21.913,1.522,,2.0
2011-05-02,3.391,19.75,23.167,3.417,,1.875
2011-05-03,4.083,25.292,27.875,2.583,,3.25
2011-05-04,5.125,20.375,24.958,4.583,,4.875
2011-05-05,2.667,12.292,13.542,1.25,,2.5
2011-05-06,3.25,22.0,24.167,2.167,,2.333
2011-05-07,2.125,11.125,12.375,1.25,,2.0
2011-05-08,2.625,12.609,15.13,2.522,,4.13
2011-05-09,3.167,16.833,19.542,2.708,,2.917
2011-05-10,1.818,19.0,31.0,12.0,,5.375
2011-05-11,2.0,20.042,34.375,14.333,,3.25
2011-05-12,3.167,21.75,25.25,3.5,,1.083
2011-05-13,3.333,17.5,20.292,2.792,,3.417
2011-05-14,3.25,15.292,17.167,1.875,,3.667
2011-05-15,3.208,14.522,17.087,2.565,,4.087
2011-05-16,3.375,19.083,22.292,3.208,,4.417
2011-05-17,3.261,21.417,24.25,2.833,,5.542
2011-05-18,3.667,31.917,35.667,3.75,,5.875
2011-05-19,3.583,23.083,26.0,2.917,,4.25
2011-05-20,2.458,14.625,17.333,2.708,,4.75
2011-05-21,2.5,13.75,16.542,2.792,,4.167
2011-05-22,2.125,7.696,9.087,1.391,,2.348
2011-05-23,2.208,10.042,11.5,1.458,,1.0
2011-05-24,2.304,16.25,17.667,1.417,,2.273
2011-05-25,2.708,25.292,29.708,4.417,,3.708
2011-05-26,2.792,17.417,18.708,1.292,,1.5
2011-05-27,2.458,12.833,14.208,1.375,,1.0
2011-05-28,3.417,19.792,22.208,2.417,,1.0
2011-05-29,2.333,6.913,7.913,1.0,,1.0
2011-05-30,1.917,4.083,5.083,1.0,,1.0
2011-05-31,2.261,13.708,15.125,1.417,,1.875
2011-06-01,2.833,20.917,23.708,2.792,,1.042
2011-06-02,2.583,17.25,20.083,2.833,,1.875
2011-06-03,3.167,25.292,31.417,6.125,,3.0
2011-06-04,2.667,16.792,20.917,4.125,,4.292
