date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-05-18,54.042,84.417,30.375,4.5
2011-05-19,54.75,94.542,39.792,4.25
2011-05-20,37.167,53.292,16.125,3.708
2011-05-21,28.0,42.478,14.478,2.917
2011-05-22,20.458,27.667,7.208,1.609
2011-05-23,44.625,86.125,41.5,0.667
2011-05-24,43.364,76.455,33.091,1.667
2011-05-25,50.417,90.792,40.375,3.87
2011-05-26,53.958,92.0,38.042,1.882
2011-05-27,49.75,80.208,30.458,0.333
2011-05-28,43.304,79.652,36.348,0.0
2011-05-29,13.958,20.708,6.75,
2011-05-30,30.208,44.875,14.667,
2011-05-31,39.292,69.083,29.792,2.571
2011-06-01,49.0,112.667,63.667,1.042
2011-06-02,43.458,94.208,50.75,1.708
2011-06-03,39.333,76.458,37.125,3.833
2011-06-04,25.13,33.087,7.957,4.5
2011-06-05,23.167,26.125,2.958,4.261
2011-06-06,45.042,72.792,27.75,3.417
2011-06-07,56.833,98.75,41.917,3.0
2011-06-08,40.875,57.708,16.833,3.375
2011-06-09,35.0,47.333,12.333,3.5
2011-06-10,45.75,71.375,25.625,4.167
2011-06-11,37.739,57.565,19.826,2.333
2011-06-12,35.833,44.083,8.25,2.174
2011-06-13,33.083,41.917,8.833,4.25
2011-06-14,49.826,86.087,36.261,2.0
2011-06-15,59.375,105.792,46.417,2.083
2011-06-16,54.042,104.167,50.125,1.833
2011-06-17,46.667,76.583,29.917,2.917
2011-06-18,47.391,72.217,24.826,2.625
2011-06-19,26.333,34.417,8.083,2.739
2011-06-20,50.125,102.75,52.625,1.625
2011-06-21,31.125,59.458,28.333,3.75
2011-06-22,27.083,59.667,32.583,5.417
2011-06-23,23.208,77.583,54.375,2.875
2011-06-24,23.125,77.708,54.583,3.167
2011-06-25,17.174,52.957,35.783,2.5
2011-06-26,12.75,25.458,12.708,2.0
2011-06-27,16.292,39.833,23.542,3.0
2011-06-28,23.958,74.167,50.208,3.0
2011-06-29,25.875,45.917,20.042,5.708
2011-06-30,40.625,72.917,32.292,8.292
2011-07-01,32.0,57.75,25.75,7.542
2011-07-02,28.913,43.696,14.783,6.167
2011-07-03,24.458,32.958,8.5,4.913
2011-07-04,35.708,79.625,43.917,3.792
2011-07-05,39.917,62.833,22.917,4.458
2011-07-06,38.833,67.542,28.708,2.958
2011-07-07,23.042,62.417,39.375,2.958
2011-07-08,24.583,82.875,58.292,2.583
2011-07-09,16.652,47.13,30.478,2.875
2011-07-10,11.958,21.417,9.458,2.652
2011-07-11,21.083,55.625,34.542,2.25
2011-07-12,22.208,73.125,50.917,3.25
2011-07-13,20.955,72.5,51.545,2.5
2011-07-14,15.583,35.75,20.167,3.417
2011-07-15,28.167,60.25,32.083,4.167
2011-07-16,26.522,46.043,19.522,4.458
2011-07-17,17.917,26.083,8.167,1.957
2011-07-18,13.125,38.292,25.167,1.0
2011-07-19,19.625,56.25,36.625,1.0
2011-07-20,22.0,49.167,27.167,0.917
2011-07-21,36.125,77.083,40.958,1.75
2011-07-22,31.292,56.0,24.708,3.833
2011-07-23,27.913,39.957,12.043,5.042
2011-07-24,20.25,28.292,8.042,2.565
2011-07-25,23.833,37.583,13.75,2.833
2011-07-26,30.167,67.75,37.583,2.667
2011-07-27,22.292,63.042,40.75,3.583
2011-07-28,22.5,44.625,22.125,3.708
2011-07-29,35.292,71.5,36.208,3.667
2011-07-30,28.304,48.13,19.826,3.625
2011-07-31,20.417,25.375,4.958,1.87
2011-08-01,36.208,66.792,30.583,1.417
2011-08-02,31.333,59.375,28.042,1.375
2011-08-03,25.125,55.375,30.25,2.458
2011-08-04,20.833,55.208,34.375,1.708
2011-08-05,26.333,72.083,45.75,1.292
2011-08-06,16.913,50.783,33.87,1.833
2011-08-07,10.75,21.083,10.333,2.348
2011-08-08,18.958,42.542,23.583,3.625
2011-08-09,33.125,60.375,27.25,5.917
2011-08-10,24.0,39.167,15.167,5.083
2011-08-11,27.917,40.625,12.708,3.917
2011-08-12,31.571,57.619,26.048,1.9
2011-08-13,19.478,32.565,13.087,2.708
2011-08-14,11.042,13.958,2.917,3.87
2011-08-15,13.625,16.542,2.917,4.083
2011-08-16,18.467,22.533,4.067,4.333
2011-08-17,21.182,37.143,15.143,4.042
2011-08-18,23.208,48.083,24.875,3.75
2011-08-19,37.286,60.333,23.048,2.083
2011-08-20,34.696,51.783,17.087,1.417
2011-08-21,28.833,41.667,12.833,1.304
2011-08-22,33.542,57.042,23.5,3.583
2011-08-23,30.727,72.591,41.864,3.167
2011-08-24,22.083,65.875,43.792,2.833
2011-08-25,22.375,78.042,55.667,2.5
2011-08-26,24.125,70.625,46.5,2.75
2011-08-27,28.565,51.739,23.174,1.167
2011-08-28,18.792,28.333,9.542,2.696
2011-08-29,35.75,67.375,31.625,2.042
2011-08-30,38.583,69.292,30.708,1.583
2011-08-31,25.182,49.773,24.591,1.0
2011-09-01,18.917,61.667,42.75,0.625
2011-09-02,16.083,41.208,25.125,0.708
2011-09-03,23.0,42.13,19.13,0.208
2011-09-04,27.5,45.708,18.208,0.783
2011-09-05,33.875,78.917,45.042,0.958
2011-09-06,49.333,83.917,34.583,0.917
2011-09-07,46.458,81.333,34.875,2.917
2011-09-08,48.292,93.042,44.75,2.625
2011-09-09,35.792,75.5,39.708,1.833
2011-09-10,20.739,54.565,33.826,1.458
2011-09-11,12.833,23.833,11.0,1.478
2011-09-12,23.667,54.208,30.542,1.875
2011-09-13,29.045,65.409,36.364,2.25
2011-09-14,29.083,52.792,23.708,3.458
2011-09-15,30.875,69.458,38.583,1.875
2011-09-16,21.25,64.458,43.208,0.875
2011-09-17,20.696,60.478,39.783,1.083
2011-09-18,12.125,25.542,13.417,1.696
2011-09-19,15.0,25.125,10.125,2.083
2011-09-20,31.0,77.208,46.208,0.792
2011-09-21,18.417,35.708,17.292,0.75
2011-09-22,36.833,72.417,35.583,1.042
2011-09-23,25.333,45.125,19.792,0.583
2011-09-24,32.522,60.391,27.87,0.833
2011-09-25,27.625,38.083,10.458,0.87
2011-09-26,48.833,100.667,51.833,1.375
2011-09-27,49.0,85.792,36.792,1.458
2011-09-28,44.958,82.583,37.625,1.708
2011-09-29,34.042,68.458,34.417,2.292
2011-09-30,23.25,34.875,11.625,2.083
2011-10-01,22.217,39.609,17.391,0.458
2011-10-02,20.792,30.792,10.0,0.957
2011-10-03,34.667,61.958,27.292,0.542
2011-10-04,47.625,95.833,48.208,0.958
2011-10-05,49.333,106.542,57.208,0.958
2011-10-06,40.625,74.167,33.542,1.25
2011-10-07,57.167,94.958,37.792,1.667
2011-10-08,37.826,56.522,18.696,1.25
2011-10-09,32.167,38.292,6.125,2.174
2011-10-10,38.167,52.083,13.917,3.5
2011-10-11,54.25,107.917,53.667,3.458
2011-10-12,45.25,90.792,45.542,2.625
2011-10-13,68.167,140.042,71.875,2.75
2011-10-14,55.708,119.625,63.917,1.708
2011-10-15,30.522,58.348,27.826,3.083
2011-10-16,31.0,40.0,9.0,3.087
2011-10-17,54.417,101.167,46.75,2.625
2011-10-18,41.875,77.417,35.542,1.083
2011-10-19,49.042,92.167,43.125,1.083
2011-10-20,50.625,96.25,45.625,1.875
2011-10-21,42.792,77.125,34.333,1.083
2011-10-22,32.261,60.522,28.261,1.333
2011-10-23,22.667,31.708,9.042,1.478
2011-10-24,41.958,89.917,47.958,2.125
2011-10-25,39.476,94.81,55.333,2.571
2011-10-26,38.476,73.762,35.286,0.81
2011-10-27,46.458,108.417,61.958,0.917
2011-10-28,56.917,102.542,45.625,1.792
2011-10-29,44.261,71.043,26.783,1.75
2011-10-30,31.667,43.625,11.958,1.174
2011-10-31,38.083,77.083,39.0,0.75
2011-11-01,49.333,98.292,48.958,1.292
2011-11-02,57.375,110.542,53.167,1.667
2011-11-03,45.542,82.375,36.833,3.708
2011-11-04,51.0,118.958,67.958,1.917
2011-11-05,49.565,98.435,48.87,1.583
2011-11-06,30.708,55.167,24.458,3.696
2011-11-07,40.917,78.708,37.792,1.042
2011-11-08,45.125,92.792,47.667,0.875
2011-11-09,36.375,63.625,27.25,0.636
2011-11-10,39.542,79.125,39.583,0.792
2011-11-11,45.958,121.75,75.792,1.125
2011-11-12,34.087,85.696,51.609,1.583
2011-11-13,29.417,50.5,21.083,2.913
2011-11-14,50.375,91.125,40.75,3.167
2011-11-15,47.833,91.0,43.167,1.292
2011-11-16,45.208,88.125,42.917,0.917
2011-11-17,56.75,127.542,70.792,2.917
2011-11-18,64.083,159.0,94.917,2.375
2011-11-19,39.913,92.043,52.13,1.75
2011-11-20,21.375,34.0,12.625,1.478
2011-11-21,40.476,89.333,48.857,0.708
2011-11-22,38.792,89.125,50.333,1.458
2011-11-23,40.792,88.958,48.167,2.208
2011-11-24,35.167,74.333,39.167,1.375
2011-11-25,40.375,86.708,46.333,0.75
2011-11-26,38.783,89.304,50.522,1.167
2011-11-27,35.583,78.875,43.292,3.0
2011-11-28,45.375,169.75,124.375,2.458
2011-11-29,50.083,157.458,107.375,4.833
2011-11-30,44.217,126.565,82.348,3.524
2011-12-01,30.792,64.833,34.042,0.208
2011-12-02,35.583,81.0,45.417,0.333
2011-12-03,23.783,47.783,24.0,0.75
2011-12-04,17.292,25.833,8.542,0.0
2011-12-05,49.25,104.292,55.042,0.417
2011-12-06,45.125,104.792,59.667,0.917
2011-12-07,49.792,151.917,102.125,1.913
2011-12-08,50.792,135.833,85.042,1.875
2011-12-09,35.0,72.375,37.375,0.792
2011-12-10,33.565,81.783,48.217,1.208
2011-12-11,27.208,52.333,25.125,0.87
2011-12-12,43.875,118.583,74.708,1.875
2011-12-13,44.917,106.667,61.75,0.958
2011-12-14,48.167,123.708,75.542,2.542
2011-12-15,51.25,147.792,96.542,3.625
2011-12-16,31.833,68.917,37.083,1.083
2011-12-17,27.87,55.565,27.696,0.75
