date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,188.435,6.667,94.0,73.292,49.0,12.565,22.217,41.783,19.565,,0,97.0,53.458,-4.0,201.0
2011-01-02,188.708,5.625,99.0,80.583,60.0,8.667,15.958,22.083,6.125,,3,70.0,42.375,24.0,197.375
2011-01-03,187.917,5.5,91.0,71.375,56.0,8.917,16.292,21.208,4.917,,0,59.0,38.667,4.0,196.833
2011-01-04,188.958,5.75,95.0,72.75,34.0,9.167,22.042,31.292,9.25,,0,64.0,25.542,-4.0,198.125
2011-01-05,186.208,4.875,93.0,80.292,62.0,9.542,30.042,64.792,34.75,,0,59.0,25.625,-6.0,195.75
2011-01-06,186.458,4.87,99.0,65.583,38.0,10.0,40.958,98.875,57.917,,0,88.0,45.125,-3.0,196.458
2011-01-07,188.167,4.208,86.0,72.083,55.0,7.542,28.25,55.042,26.792,,0,60.0,38.375,20.0,195.708
2011-01-08,187.478,5.083,91.0,71.917,43.0,8.913,25.435,54.0,28.565,,0,69.0,31.542,-5.0,196.391
2011-01-09,189.167,5.667,95.0,77.625,52.0,11.458,27.583,56.167,28.583,,0,101.0,47.333,15.0,200.625
2011-01-10,189.792,8.0,100.0,77.833,50.0,15.958,45.875,165.208,119.333,,0,94.0,42.167,-5.0,205.75
2011-01-11,187.958,5.083,83.0,67.875,44.0,8.375,34.292,68.917,34.625,,0,88.0,45.167,4.0,196.333
2011-01-12,187.261,4.522,84.0,69.167,49.0,9.348,34.208,65.958,31.75,,0,53.0,22.75,0.0,196.609
2011-01-13,187.417,5.417,96.0,69.208,43.0,10.458,39.333,107.5,68.167,,0,87.0,41.75,-1.0,197.875
2011-01-14,189.458,6.5,92.0,72.833,59.0,10.125,28.917,50.458,21.542,,0,72.0,43.583,16.0,199.583
2011-01-15,190.261,5.917,94.0,75.583,54.0,10.565,25.826,61.13,35.304,,0,72.0,41.917,9.0,200.826
2011-01-16,187.417,3.958,97.0,71.083,59.0,6.542,27.083,47.458,20.375,,0,51.0,44.083,30.0,193.958
2011-01-17,186.125,4.5,93.0,66.125,45.0,8.167,34.958,87.625,52.667,,0,83.0,42.458,-10.0,194.292
2011-01-18,189.333,6.375,97.0,71.75,42.0,17.458,45.125,142.125,97.0,,0,98.0,32.75,-22.0,206.792
2011-01-19,187.417,5.708,100.0,88.292,68.0,13.583,46.0,144.708,98.708,,25,80.0,49.042,23.0,201.0
2011-01-20,184.542,5.348,100.0,97.87,89.0,8.917,48.792,120.917,72.125,,5,86.0,66.609,47.0,193.458
2011-01-21,184.75,5.208,100.0,99.333,89.0,7.958,39.333,89.417,50.083,,9,83.0,64.375,41.0,192.708
2011-01-22,186.913,5.833,100.0,91.167,67.0,10.522,30.261,69.826,39.565,,0,112.0,65.208,22.0,197.435
2011-01-23,187.667,4.25,100.0,88.917,53.0,7.917,32.542,59.75,27.208,,3,100.0,51.708,17.0,195.583
2011-01-24,187.375,3.792,78.0,63.667,52.0,6.583,34.042,61.583,27.542,,0,49.0,19.083,1.0,193.958
2011-01-25,189.625,4.625,77.0,60.583,35.0,6.583,34.333,59.792,25.458,,0,51.0,12.083,-12.0,196.208
2011-01-26,189.208,4.391,82.0,64.792,50.0,8.708,33.368,64.579,31.211,,0,45.0,8.042,-26.0,197.917
2011-01-27,190.708,5.875,91.0,71.417,53.0,9.667,37.13,87.478,50.348,,0,61.0,19.792,-11.0,200.375
2011-01-28,189.958,5.292,95.0,75.917,54.0,8.25,33.917,68.25,34.333,,0,76.0,28.792,-3.0,198.208
2011-01-29,188.522,4.875,100.0,78.833,53.0,7.087,26.87,58.826,31.957,,0,48.0,17.083,-7.0,195.609
2011-01-30,189.375,5.542,100.0,85.25,57.0,9.417,40.542,111.0,70.458,,0,54.0,14.417,-10.0,198.792
2011-01-31,186.833,4.583,90.0,70.708,43.0,7.875,43.083,115.875,72.792,,0,63.0,13.125,-20.0,194.708
2011-02-01,188.167,5.292,95.0,65.0,38.0,9.25,54.375,156.0,101.625,,0,70.0,24.083,-26.0,197.417
2011-02-02,187.958,3.739,85.0,66.292,42.0,4.917,30.0,49.208,19.208,,0,23.0,-10.417,-36.0,192.875
2011-02-03,189.792,6.625,94.0,69.917,45.0,10.167,49.0,145.714,96.714,,0,43.0,-6.833,-59.0,199.958
2011-02-04,189.167,7.208,96.0,65.417,35.0,9.5,44.667,130.25,85.583,,0,72.0,24.5,-17.0,198.667
