date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,5.458,22.833,31.875,9.042,15.833,1.333
2011-01-02,4.083,10.167,14.792,4.625,11.583,1.435
2011-01-03,4.792,18.583,26.417,7.833,19.167,2.375
2011-01-04,4.217,14.478,24.087,9.609,24.375,3.917
2011-01-05,4.708,30.667,62.042,31.375,9.0,1.292
2011-01-06,6.391,41.042,98.5,57.458,15.375,1.333
2011-01-07,3.0,13.25,23.667,10.417,5.833,0.292
2011-01-08,4.375,20.875,32.75,11.875,6.708,0.542
2011-01-09,5.083,25.125,41.667,16.542,15.458,1.783
2011-01-10,7.542,40.25,99.375,59.125,33.417,3.125
2011-01-11,4.13,21.087,47.043,25.957,23.375,2.304
2011-01-12,4.417,29.917,70.042,40.125,8.125,1.083
2011-01-13,5.435,33.625,82.917,49.292,17.913,2.125
2011-01-14,6.417,31.417,69.625,38.208,37.0,3.917
2011-01-15,5.083,22.25,40.708,18.458,14.5,1.083
2011-01-16,2.957,14.375,26.625,12.25,10.083,0.304
2011-01-17,4.292,28.167,70.458,42.292,13.042,0.667
2011-01-18,5.625,44.826,96.609,51.783,14.042,0.833
2011-01-19,4.458,26.917,50.958,24.042,9.083,0.583
2011-01-20,2.826,14.125,22.583,8.458,5.208,0.0
2011-01-21,3.75,22.833,35.458,12.625,8.167,0.125
2011-01-22,5.75,30.958,59.875,28.917,11.0,2.542
2011-01-23,4.083,28.3,61.0,32.7,5.25,0.9
2011-01-24,3.292,21.091,41.091,20.0,7.625,0.4
2011-01-25,5.0,32.87,84.13,51.261,18.458,1.583
2011-01-26,4.85,32.0,72.5,40.5,10.667,0.708
2011-01-27,6.087,39.208,98.375,59.167,27.783,3.708
2011-01-28,4.5,23.208,42.0,18.792,21.458,1.792
2011-01-29,2.875,8.542,11.917,3.375,6.625,0.0
2011-01-30,5.087,33.625,73.625,40.0,9.958,0.609
2011-01-31,4.542,32.0,73.25,41.25,9.958,0.917
2011-02-01,5.25,26.913,58.957,32.043,19.458,2.25
2011-02-02,3.042,12.625,23.833,11.208,7.708,0.917
2011-02-03,5.261,31.292,63.083,31.792,13.583,1.083
2011-02-04,5.292,25.958,50.75,24.792,22.375,3.292
2011-02-05,6.667,29.833,47.417,17.583,38.708,4.75
2011-02-06,5.875,27.958,48.583,20.625,26.667,2.565
