date,CO_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,6.25,15.75,23.125,7.375
2011-01-02,5.625,9.792,14.0,4.208
2011-01-03,6.583,15.208,22.292,7.083
2011-01-04,6.458,14.042,20.25,6.208
2011-01-05,6.957,25.0,51.417,26.417
2011-01-06,6.125,26.042,63.25,37.208
2011-01-07,5.542,19.125,41.833,22.708
2011-01-08,6.375,18.875,34.625,15.75
2011-01-09,6.417,20.0,37.417,17.417
2011-01-10,9.0,29.875,78.792,48.917
2011-01-11,6.125,20.318,41.182,20.864
2011-01-12,6.652,26.833,65.667,38.833
2011-01-13,6.625,24.625,62.708,38.083
2011-01-14,7.542,21.583,39.833,18.25
2011-01-15,6.042,16.833,29.708,12.875
2011-01-16,5.333,21.5,47.292,25.792
2011-01-17,5.609,23.875,54.25,30.375
2011-01-18,7.25,33.917,80.208,46.292
2011-01-19,5.957,27.583,75.042,47.458
2011-01-20,5.333,20.625,41.375,20.75
2011-01-21,5.708,21.25,42.333,21.083
2011-01-22,6.0,19.542,34.583,15.042
2011-01-23,5.167,18.208,34.875,16.667
2011-01-24,4.25,14.042,24.042,10.0
2011-01-25,5.917,19.875,35.625,15.75
2011-01-26,4.783,19.0,35.25,16.25
2011-01-27,6.167,26.333,53.667,27.333
2011-01-28,6.625,22.417,38.792,16.375
2011-01-29,5.083,13.125,22.542,9.417
2011-01-30,6.25,23.333,56.444,33.111
2011-01-31,7.684,29.684,64.211,34.526
2011-02-01,6.083,18.125,27.833,9.708
2011-02-02,4.652,14.167,24.0,9.833
2011-02-03,5.417,19.75,38.625,18.875
2011-02-04,6.208,18.083,29.458,11.375
2011-02-05,6.833,19.042,29.042,10.0
2011-02-06,9.417,33.773,86.0,52.227
2011-02-07,7.167,24.417,49.917,25.5
2011-02-08,4.542,13.708,23.167,9.458
2011-02-09,4.826,19.167,38.208,19.042
2011-02-10,5.875,23.25,49.167,25.917
2011-02-11,5.292,17.375,31.333,13.958
2011-02-12,5.708,16.958,25.375,8.417
2011-02-13,7.458,29.958,73.875,43.917
2011-02-14,8.042,30.833,80.708,49.875
2011-02-15,7.25,24.917,67.75,42.833
2011-02-16,6.391,25.583,64.625,39.042
2011-02-17,5.042,18.292,36.458,18.167
2011-02-18,6.125,19.75,35.792,16.042
2011-02-19,5.5,16.333,26.417,10.083
2011-02-20,6.913,28.292,66.792,38.5
2011-02-21,9.917,39.833,107.208,67.375
2011-02-22,7.625,39.333,77.208,37.875
2011-02-23,7.652,28.75,64.5,35.75
2011-02-24,6.417,23.958,40.25,16.292
2011-02-25,7.042,24.75,44.125,19.375
2011-02-26,5.083,12.0,17.958,5.958
2011-02-27,5.542,21.083,39.333,18.25
2011-02-28,6.042,28.708,59.167,30.458
2011-03-01,7.696,37.042,86.417,49.375
2011-03-02,7.333,30.667,74.833,44.167
2011-03-03,5.417,15.958,24.083,8.125
2011-03-04,6.0,17.583,28.75,11.167
2011-03-05,7.083,32.208,71.75,39.542
2011-03-06,7.917,27.333,71.792,44.458
2011-03-07,7.958,27.542,51.625,24.083
2011-03-08,7.522,21.917,35.417,13.5
2011-03-09,7.792,28.708,52.208,23.5
2011-03-10,5.667,15.708,24.083,8.375
2011-03-11,5.042,13.333,18.708,5.375
2011-03-12,5.292,18.75,30.875,12.125
2011-03-13,6.0,26.955,56.455,29.5
2011-03-14,5.75,29.875,60.125,30.25
2011-03-15,6.435,26.833,54.542,27.708
2011-03-16,6.208,35.417,63.625,28.208
2011-03-17,6.125,33.375,45.0,11.625
2011-03-18,8.958,29.542,55.833,26.292
2011-03-19,4.917,18.333,32.958,14.625
2011-03-20,5.417,20.75,32.833,12.083
2011-03-21,5.652,27.542,46.792,19.25
2011-03-22,8.13,40.917,86.667,45.75
2011-03-23,6.833,36.083,65.958,29.875
2011-03-24,6.292,16.042,20.458,4.417
2011-03-25,4.708,10.792,13.958,3.167
2011-03-26,5.5,20.75,35.958,15.208
2011-03-27,6.333,32.708,55.792,23.083
2011-03-28,6.333,28.167,52.167,24.0
2011-03-29,5.913,30.042,52.583,22.542
2011-03-30,4.125,23.042,30.208,7.167
2011-03-31,4.583,14.0,19.292,5.292
2011-04-01,6.625,37.625,53.917,16.292
2011-04-02,6.458,27.417,45.167,17.75
2011-04-03,4.13,11.542,17.083,5.542
2011-04-04,5.125,24.542,48.583,24.042
2011-04-05,5.75,28.182,51.091,22.909
2011-04-06,5.917,35.25,56.167,20.917
2011-04-07,4.125,20.375,29.625,9.25
2011-04-08,3.792,10.708,13.708,3.0
