date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,3.958,11.625,14.375,2.75,
2011-01-02,3.917,7.0,8.667,1.667,
2011-01-03,4.417,12.208,15.625,3.417,
2011-01-04,4.273,9.833,11.292,1.458,
2011-01-05,4.792,19.875,37.417,17.542,
2011-01-06,5.708,27.75,70.458,42.708,
2011-01-07,4.917,22.792,55.583,32.792,
2011-01-08,4.417,16.5,29.375,12.875,
2011-01-09,5.0,18.292,34.208,15.917,
2011-01-10,7.875,28.792,77.958,49.167,
2011-01-11,4.609,19.0,32.0,13.0,
2011-01-12,4.375,22.75,46.083,23.333,
2011-01-13,4.667,20.208,46.625,26.417,
2011-01-14,5.542,18.875,34.833,15.958,
2011-01-15,4.542,15.542,26.708,11.167,
2011-01-16,3.708,15.292,40.042,24.75,
2011-01-17,4.792,24.833,63.792,38.958,
2011-01-18,6.087,33.958,74.708,40.75,
2011-01-19,3.958,22.458,52.125,29.667,
2011-01-20,4.208,18.5,41.625,23.125,
2011-01-21,4.292,20.042,40.917,20.875,
2011-01-22,4.542,20.833,36.25,15.417,
2011-01-23,3.333,13.042,20.0,6.958,
2011-01-24,2.583,10.333,13.667,3.333,
2011-01-25,3.783,13.958,23.083,9.125,
2011-01-26,3.25,13.208,21.75,8.542,
2011-01-27,5.667,24.5,51.708,27.208,
2011-01-28,4.917,22.083,38.417,16.333,
2011-01-29,4.167,12.042,21.917,9.875,
2011-01-30,4.792,23.25,49.833,26.583,
2011-01-31,4.417,22.75,45.125,22.375,
2011-02-01,3.957,19.208,35.292,16.083,
2011-02-02,3.042,9.917,13.708,3.792,
2011-02-03,4.042,19.375,36.375,17.0,
2011-02-04,5.333,21.667,40.042,18.375,
2011-02-05,5.125,17.583,24.542,6.958,
2011-02-06,7.0,19.778,42.333,22.556,
2011-02-07,4.917,9.1,10.3,1.2,
2011-02-08,2.696,6.25,8.0,1.75,
2011-02-09,4.042,15.667,29.125,13.458,
2011-02-10,3.958,19.875,36.708,16.833,
2011-02-11,3.958,15.917,27.167,11.25,
2011-02-12,3.708,11.542,15.083,3.542,
2011-02-13,5.5,25.542,55.917,30.375,
2011-02-14,5.417,27.458,56.083,28.625,
2011-02-15,5.318,21.833,56.708,34.875,
2011-02-16,3.875,19.625,35.833,16.208,
2011-02-17,3.417,13.5,26.958,13.458,
2011-02-18,3.917,14.667,26.125,11.458,
