date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-01-01,189.478,9.565,7.565,8.913,1.348,1.652,199.043
2011-01-02,190.522,5.913,3.208,3.417,0.208,1.292,196.435
2011-01-03,189.333,6.042,3.792,4.167,0.375,1.625,195.375
2011-01-04,193.375,7.042,4.333,5.25,0.917,2.333,200.417
2011-01-05,190.957,8.696,7.625,10.0,2.375,0.667,199.652
2011-01-06,192.458,11.458,10.25,14.25,4.0,0.708,203.917
2011-01-07,193.348,11.391,7.125,9.708,2.583,0.333,204.739
2011-01-08,193.304,9.348,5.87,6.913,1.043,0.0,202.652
2011-01-09,190.708,11.042,8.708,10.667,1.958,1.375,201.75
2011-01-10,190.696,13.652,12.208,17.208,5.0,1.875,204.348
2011-01-11,188.364,9.136,7.833,12.125,4.292,1.292,197.5
2011-01-12,189.75,11.333,12.583,15.25,2.667,1.208,201.083
2011-01-13,188.0,13.174,8.958,12.958,4.0,1.292,201.174
2011-01-14,189.583,10.25,8.667,10.292,1.625,2.083,199.833
2011-01-15,187.652,8.87,5.391,6.261,0.87,1.0,196.522
2011-01-16,187.826,5.87,4.375,5.292,0.917,1.0,193.696
2011-01-17,187.909,10.364,8.5,11.5,3.0,1.0,198.273
2011-01-18,191.667,18.792,18.833,27.542,8.708,1.375,210.458
2011-01-19,187.783,12.565,11.25,14.625,3.375,1.0,200.348
2011-01-20,183.136,7.864,5.75,6.833,1.083,1.0,191.0
2011-01-21,182.75,9.75,8.583,9.792,1.208,0.75,192.5
2011-01-22,,,10.609,13.13,2.522,0.826,
2011-01-23,,,4.792,5.792,1.0,0.917,
2011-01-24,199.167,7.667,4.208,5.042,0.833,0.792,206.833
2011-01-25,200.708,6.208,5.958,7.708,1.75,1.667,206.917
2011-01-26,202.042,5.583,5.542,6.625,1.083,1.0,207.625
2011-01-27,206.375,10.125,10.458,14.375,3.917,2.0,216.5
2011-01-28,202.917,8.167,10.208,11.583,1.375,1.542,211.083
2011-01-29,202.208,6.292,4.783,5.696,0.913,0.826,208.5
2011-01-30,202.792,7.333,6.583,9.208,2.625,0.708,210.125
2011-01-31,200.909,8.318,9.083,12.708,3.625,1.083,209.227
2011-02-01,200.542,12.292,8.042,11.667,3.625,1.583,212.833
2011-02-02,200.583,6.208,3.792,4.583,0.792,1.0,206.792
2011-02-03,202.75,9.792,10.083,12.625,2.542,0.917,212.542
2011-02-04,203.958,11.417,10.292,13.958,3.667,2.417,215.375
2011-02-05,204.042,9.417,8.783,9.957,1.174,2.913,213.458
2011-02-06,200.958,17.875,15.5,18.917,3.417,1.833,218.833
2011-02-07,199.542,12.667,8.042,9.167,1.125,1.417,212.208
2011-02-08,198.875,6.167,2.833,3.458,0.625,1.0,205.042
2011-02-09,200.333,6.333,5.958,7.0,1.042,1.0,206.667
2011-02-10,199.958,8.167,6.583,8.542,1.958,1.042,208.125
2011-02-11,200.167,6.833,6.208,7.167,0.958,0.792,207.0
2011-02-12,201.739,10.609,5.043,5.609,0.565,0.696,212.348
2011-02-13,200.083,13.833,13.0,15.417,2.417,1.083,213.917
2011-02-14,199.208,16.417,14.708,18.375,3.667,0.958,215.625
2011-02-15,198.667,11.889,10.0,11.889,1.889,0.222,210.556
2011-02-16,,,6.857,7.857,1.0,1.375,
2011-02-17,,,6.167,7.958,1.792,1.167,
2011-02-18,,,5.625,6.917,1.292,1.0,
2011-02-19,,,4.957,5.478,0.522,0.75,
2011-02-20,201.545,14.455,11.583,14.417,2.833,1.167,216.0
2011-02-21,202.625,20.208,19.25,24.25,5.0,1.833,222.833
2011-02-22,200.5,14.667,10.375,11.917,1.542,1.375,215.167
2011-02-23,199.333,17.625,12.083,16.083,4.0,1.333,216.958
2011-02-24,200.833,10.292,4.792,4.875,0.083,1.75,211.125
2011-02-25,200.208,16.458,11.333,12.958,1.625,0.958,216.667
2011-02-26,200.043,8.174,3.609,3.652,0.043,0.913,208.217
2011-02-27,174.708,14.042,5.958,6.875,0.917,0.833,188.75
2011-02-28,174.75,16.917,7.708,8.833,1.125,0.75,191.667
2011-03-01,172.5,22.333,17.625,20.375,2.75,1.333,194.833
2011-03-02,171.6,21.1,10.0,12.389,2.389,1.0,192.7
2011-03-03,175.708,12.958,6.333,6.792,0.458,1.0,188.667
2011-03-04,176.13,11.043,5.478,5.609,0.13,0.913,187.174
2011-03-05,189.913,28.913,17.75,25.792,8.042,0.542,218.826
2011-03-06,190.0,18.125,16.333,24.125,7.792,1.667,208.125
2011-03-07,191.917,12.875,9.375,10.333,0.958,1.542,204.792
2011-03-08,191.417,12.667,9.625,12.0,2.375,1.0,204.083
2011-03-09,189.917,12.667,10.125,12.208,2.083,0.792,202.583
