date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,81.0,67.25,49.0,14.435,15.913,1.478,0,1.174,10.0,6.225,1.7
2011-01-02,91.0,68.083,50.0,4.958,5.958,1.0,6,1.458,8.1,5.638,4.1
2011-01-03,75.0,62.458,48.0,8.875,9.917,1.042,0,2.125,7.1,5.321,2.5
2011-01-04,78.0,58.0,29.0,5.25,6.25,1.0,0,3.25,6.9,4.238,1.9
2011-01-05,89.0,75.042,54.0,12.958,14.417,1.458,0,1.0,6.0,3.038,-0.5
2011-01-06,93.0,64.75,38.0,21.417,26.5,5.083,0,1.125,9.3,5.096,0.8
2011-01-07,78.0,65.667,52.0,4.875,5.875,1.0,0,1.0,6.6,4.662,3.3
2011-01-08,80.0,66.583,47.0,10.087,11.261,1.174,0,1.0,7.5,4.362,1.8
2011-01-09,88.0,70.042,51.0,16.083,19.333,3.25,0,1.333,9.8,5.679,2.6
2011-01-10,90.0,72.125,52.0,26.208,35.792,9.583,0,2.083,9.9,5.55,1.2
2011-01-11,77.0,60.417,42.0,10.5,12.542,2.042,0,1.958,9.0,5.504,1.0
2011-01-12,78.0,65.0,56.0,13.833,16.167,2.333,0,1.042,5.2,3.096,0.7
2011-01-13,85.0,60.417,36.0,18.625,27.208,8.583,0,1.417,9.4,5.608,1.8
2011-01-14,72.0,64.167,58.0,13.458,14.958,1.5,0,2.542,7.7,5.567,4.2
2011-01-15,83.0,65.583,53.0,12.261,15.217,2.957,0,1.087,7.8,5.529,2.5
2011-01-16,85.0,65.708,56.0,7.292,8.292,1.0,0,1.0,5.7,5.029,4.2
2011-01-17,90.0,65.0,40.0,20.083,26.958,6.875,0,1.0,9.0,5.167,1.5
2011-01-18,87.0,62.583,43.0,31.458,41.125,9.667,0,1.0,9.8,4.767,-0.6
2011-01-19,100.0,80.25,61.0,26.125,50.208,24.083,13,1.083,8.2,5.696,3.8
2011-01-20,99.0,86.696,74.0,9.25,10.25,1.0,3,1.0,9.3,7.444,5.2
2011-01-21,98.0,89.25,75.0,15.25,16.583,1.333,7,1.0,8.7,7.288,6.0
2011-01-22,100.0,86.292,73.0,21.696,27.348,5.652,0,1.304,10.3,7.004,3.1
2011-01-23,84.0,69.375,49.0,5.708,6.875,1.167,1,1.0,10.2,6.558,3.0
2011-01-24,70.0,54.25,38.0,9.042,10.875,1.833,0,1.0,5.3,2.771,1.0
2011-01-25,72.0,51.417,38.0,11.292,12.958,1.667,0,1.375,4.9,2.154,-0.5
2011-01-26,75.0,56.583,45.0,13.417,16.667,3.25,0,1.083,5.0,1.638,-2.0
2011-01-27,75.0,61.708,46.0,18.167,21.25,3.083,0,3.292,6.7,2.892,-0.8
2011-01-28,82.0,65.292,49.0,11.708,12.833,1.125,0,2.042,7.6,3.858,1.1
2011-01-29,89.0,69.5,45.0,6.957,8.0,1.043,0,1.0,5.2,2.671,0.1
2011-01-30,90.0,75.75,60.0,16.458,20.125,3.667,0,1.292,5.1,2.275,-0.2
2011-01-31,85.0,60.833,37.0,11.417,13.208,1.792,0,1.208,6.4,2.333,-0.4
2011-02-01,81.0,56.833,32.0,13.667,16.875,3.208,1,2.375,7.5,3.638,-1.1
2011-02-02,71.0,54.667,38.0,4.9,6.1,1.2,1,1.0,2.6,0.208,-1.4
2011-02-03,85.0,58.542,39.0,13.783,17.957,4.174,0,1.333,4.5,0.742,-4.7
2011-02-04,73.0,53.708,37.0,13.125,15.125,2.0,0,3.083,6.8,4.029,0.4
2011-02-05,70.0,55.292,39.0,13.583,15.375,1.792,0,4.696,7.9,5.092,0.5
2011-02-06,100.0,88.083,66.0,23.542,28.667,5.125,9,2.833,9.2,7.079,4.5
2011-02-07,100.0,83.542,57.0,20.625,30.333,9.708,22,1.625,10.5,8.321,5.3
2011-02-08,66.0,51.667,29.0,6.208,7.833,1.625,0,1.125,5.6,2.867,-1.0
2011-02-09,70.0,53.833,38.0,9.9,12.3,2.4,0,1.375,5.7,1.771,-1.7
2011-02-10,70.0,57.542,40.0,14.083,18.583,4.5,0,1.542,6.5,2.958,-1.0
2011-02-11,79.0,61.792,48.0,8.167,9.833,1.667,0,1.375,6.3,3.671,0.6
2011-02-12,82.0,64.792,45.0,6.826,8.043,1.217,0,1.0,7.0,3.317,0.8
2011-02-13,100.0,83.708,58.0,20.708,23.583,2.875,10,1.042,5.0,3.817,1.5
2011-02-14,100.0,99.292,94.0,32.667,54.458,21.792,11,1.083,6.7,5.546,3.7
2011-02-15,100.0,85.875,68.0,18.375,28.083,9.708,1,1.125,7.2,4.388,1.9
2011-02-16,69.0,58.542,46.0,10.0,12.773,2.773,0,1.458,6.4,3.767,1.6
2011-02-17,70.0,54.625,38.0,4.875,6.458,1.583,0,1.375,6.9,3.612,1.1
2011-02-18,81.0,65.917,48.0,4.25,5.25,1.0,0,1.0,4.2,1.158,-1.6
2011-02-19,90.0,71.375,44.0,12.913,15.783,2.87,0,1.478,6.0,1.471,-3.4
2011-02-20,89.0,64.542,30.0,20.083,26.708,6.625,0,1.708,7.5,2.833,-1.7
2011-02-21,78.0,67.125,56.0,38.125,65.042,26.917,0,3.292,7.6,4.55,0.2
2011-02-22,100.0,73.958,48.0,19.5,21.958,2.458,9,1.875,11.1,7.996,4.1
2011-02-23,100.0,89.542,56.0,17.75,27.833,10.083,15,1.667,12.5,10.45,8.3
2011-02-24,71.0,57.042,41.0,5.125,6.125,1.0,0,1.792,11.9,8.338,5.9
2011-02-25,97.0,81.75,69.0,16.542,19.958,3.417,2,1.25,8.2,6.758,5.9
2011-02-26,87.0,67.042,51.0,4.261,5.261,1.0,7,1.0,6.5,4.158,0.9
2011-02-27,86.0,66.958,43.0,8.0,9.083,1.083,0,1.0,5.5,2.192,0.0
2011-02-28,84.0,60.083,39.0,10.625,12.75,2.125,0,1.0,8.0,3.754,-1.4
2011-03-01,95.0,79.875,64.0,37.917,53.542,15.625,0,2.208,13.0,8.783,3.4
2011-03-02,100.0,88.208,72.0,23.5,36.875,13.375,6,1.875,11.2,9.942,8.0
2011-03-03,79.0,60.625,44.0,4.0,5.0,1.0,0,1.125,11.7,8.525,6.2
2011-03-04,100.0,80.833,52.0,6.913,7.913,1.0,7,1.0,9.6,7.521,4.9
2011-03-05,100.0,99.083,94.0,20.458,28.458,8.0,37,1.208,12.9,10.779,9.5
2011-03-06,100.0,89.458,68.0,34.625,63.292,28.667,13,3.417,17.5,12.867,10.9
2011-03-07,90.0,67.458,49.0,10.833,11.833,1.0,0,1.958,12.2,10.367,7.7
2011-03-08,76.0,61.167,47.0,8.208,9.25,1.042,0,1.667,14.3,9.621,6.3
2011-03-09,100.0,85.875,59.0,10.417,11.625,1.208,12,1.083,8.6,6.896,5.8
2011-03-10,84.0,67.083,50.0,3.833,4.833,1.0,0,1.0,9.8,7.575,4.9
2011-03-11,85.0,63.375,43.0,6.957,8.696,1.739,1,1.87,9.4,4.821,1.6
2011-03-12,75.0,65.583,43.0,3.667,4.875,1.208,1,1.0,6.1,3.162,0.9
2011-03-13,79.0,64.5,51.0,7.542,9.0,1.458,0,1.208,5.6,3.492,0.9
2011-03-14,85.0,61.958,32.0,20.667,25.458,4.792,0,2.375,9.8,4.783,-0.4
2011-03-15,83.0,59.208,27.0,18.542,22.417,3.875,0,2.083,9.7,5.717,2.1
2011-03-16,74.0,51.625,24.0,23.542,27.25,3.708,0,1.5,12.2,7.017,0.8
2011-03-17,100.0,96.333,73.0,28.083,37.5,9.417,13,1.042,14.7,11.371,8.5
2011-03-18,100.0,97.75,83.0,27.435,39.957,12.522,2,2.174,12.6,11.15,7.7
2011-03-19,96.0,65.958,50.0,6.125,7.125,1.0,1,1.0,8.8,6.383,3.0
2011-03-20,86.0,63.333,45.0,18.292,21.333,3.042,0,1.958,10.5,5.746,0.7
2011-03-21,83.0,57.667,29.0,9.542,10.75,1.208,0,1.417,11.0,6.675,2.9
2011-03-22,87.0,64.75,46.0,31.958,42.0,10.042,0,4.458,13.4,8.738,2.1
2011-03-23,100.0,94.042,60.0,19.333,20.917,1.583,28,1.167,11.6,9.604,7.4
2011-03-24,100.0,78.0,50.0,11.333,12.792,1.458,6,1.458,12.6,9.838,6.8
2011-03-25,80.0,57.0,35.0,4.652,5.957,1.304,1,1.043,10.2,6.712,3.7
2011-03-26,88.0,73.792,48.0,9.917,11.5,1.583,0,1.0,7.5,4.846,1.9
2011-03-27,82.0,62.5,46.0,22.458,26.625,4.167,0,2.958,12.5,7.371,1.8
2011-03-28,89.0,65.167,30.0,21.792,25.375,3.583,1,2.333,15.5,9.546,4.7
2011-03-29,91.0,51.375,13.0,16.958,19.792,2.833,0,2.292,16.0,10.358,3.5
2011-03-30,82.0,62.292,50.0,22.542,27.375,4.833,6,3.417,18.1,13.896,8.1
2011-03-31,100.0,87.375,59.0,8.292,9.292,1.0,23,1.5,15.6,10.358,3.2
2011-04-01,67.0,47.792,20.0,20.174,24.043,3.87,0,2.375,17.9,12.108,4.2
2011-04-02,82.0,59.542,43.0,21.292,24.583,3.292,5,2.875,18.1,11.458,6.5
2011-04-03,57.0,45.0,35.0,3.583,4.583,1.0,0,1.0,9.9,6.912,5.2
2011-04-04,60.0,40.708,20.0,6.375,7.5,1.125,0,1.0,12.8,8.012,3.7
2011-04-05,51.0,36.792,26.0,13.5,15.792,2.292,0,1.458,16.7,10.1,4.2
2011-04-06,74.0,49.333,23.0,21.0,25.042,4.042,0,1.75,17.8,11.962,4.2
2011-04-07,71.0,59.292,44.0,19.917,23.583,3.667,0,1.917,18.9,15.142,10.5
2011-04-08,99.0,83.417,64.0,19.875,21.792,1.917,34,1.458,16.5,14.833,14.0
2011-04-09,100.0,76.25,50.0,10.458,11.708,1.25,19,1.0,17.9,14.771,12.9
2011-04-10,81.0,52.583,29.0,16.261,17.609,1.348,0,2.087,17.8,13.654,7.9
2011-04-11,68.0,56.292,30.0,19.5,24.125,4.625,10,2.833,18.6,10.933,7.1
2011-04-12,74.0,54.292,37.0,18.565,20.261,1.696,0,1.739,13.9,9.742,5.8
2011-04-13,79.0,50.5,22.0,22.909,27.182,4.273,0,2.636,18.3,12.604,5.8
2011-04-14,84.0,56.833,19.0,21.292,25.792,4.5,0,4.833,21.7,15.079,8.2
2011-04-15,81.0,70.667,61.0,19.375,20.833,1.458,0,4.167,18.5,16.475,15.2
2011-04-16,91.0,65.458,43.0,14.583,17.333,2.75,1,1.5,17.4,13.792,7.7
2011-04-17,67.0,47.042,25.0,8.652,9.696,1.043,0,1.261,17.8,12.158,5.6
2011-04-18,93.0,72.042,49.0,13.833,15.875,2.042,6,1.458,20.0,14.4,10.7
2011-04-19,94.0,72.75,44.0,8.75,10.208,1.458,5,1.125,13.5,10.367,8.4
2011-04-20,81.0,66.417,47.0,6.208,7.208,1.0,1,1.0,12.5,9.75,6.7
2011-04-21,85.0,60.5,28.0,20.917,25.583,4.667,0,2.083,18.8,12.271,5.2
2011-04-22,96.0,83.042,54.0,37.583,44.583,7.0,11,1.125,15.0,13.208,11.4
2011-04-23,99.0,90.25,72.0,21.042,24.875,3.833,31,1.0,14.7,12.621,8.5
2011-04-24,94.0,68.25,38.0,11.478,13.043,1.565,0,1.348,16.9,11.55,5.9
2011-04-25,88.0,65.5,41.0,18.958,20.958,2.0,1,1.542,17.1,12.312,7.0
2011-04-26,83.0,67.042,48.0,18.167,22.625,4.458,1,2.375,21.2,16.112,10.1
2011-04-27,96.0,81.417,67.0,16.458,18.167,1.708,8,2.583,21.2,18.121,12.6
2011-04-28,97.0,78.917,56.0,14.208,15.625,1.417,0,1.833,16.4,12.929,9.1
2011-04-29,92.0,65.083,46.0,15.917,18.25,2.333,0,2.5,17.2,13.133,6.9
2011-04-30,80.0,60.417,36.0,13.625,15.292,1.667,2,2.25,22.1,17.421,11.5
2011-05-01,97.0,84.5,71.0,14.174,15.739,1.565,10,1.174,18.5,16.733,14.4
2011-05-02,83.0,52.75,35.0,12.917,14.625,1.708,0,1.375,21.4,17.325,12.0
2011-05-03,72.0,55.333,39.0,23.167,24.792,1.625,0,1.958,20.5,16.154,12.3
2011-05-04,84.0,57.583,36.0,14.833,17.208,2.375,0,2.5,21.4,16.579,11.5
2011-05-05,69.0,49.708,29.0,8.5,9.5,1.0,0,1.5,22.4,16.788,12.2
2011-05-06,77.0,62.167,44.0,12.542,13.792,1.25,0,1.375,22.6,17.979,12.1
2011-05-07,96.0,67.083,45.0,7.417,8.417,1.0,1,1.292,24.8,20.196,17.7
2011-05-08,96.0,67.25,39.0,9.696,11.043,1.348,1,2.652,25.9,21.242,17.4
2011-05-09,81.0,59.208,32.0,12.75,14.333,1.583,0,2.125,25.2,20.962,15.1
2011-05-10,100.0,94.0,85.0,13.833,17.417,3.583,16,2.458,24.3,21.671,20.7
2011-05-11,100.0,98.208,95.0,16.636,20.227,3.591,77,1.125,21.5,20.317,19.1
2011-05-12,100.0,91.333,72.0,19.625,21.917,2.292,23,1.042,22.5,20.454,19.1
2011-05-13,93.0,57.125,33.0,11.792,13.625,1.833,1,2.0,23.0,20.192,17.7
2011-05-14,66.0,42.0,26.0,10.375,11.625,1.25,0,3.292,23.7,19.562,15.1
2011-05-15,63.0,44.167,26.0,10.348,11.826,1.478,0,2.391,23.3,19.05,11.9
2011-05-16,73.0,60.042,39.0,14.417,16.125,1.708,0,3.125,23.6,20.246,16.5
2011-05-17,83.0,65.875,40.0,15.417,17.042,1.625,1,3.292,24.0,19.071,14.3
2011-05-18,88.0,56.667,29.0,26.792,29.917,3.125,0,2.875,24.1,18.646,12.5
2011-05-19,72.0,59.333,42.0,19.833,21.708,1.875,0,2.75,25.3,20.112,14.6
2011-05-20,80.0,67.208,40.0,11.083,12.708,1.625,0,2.542,25.7,21.417,18.8
2011-05-21,86.0,77.0,65.0,9.458,11.208,1.75,0,2.083,25.9,22.846,20.0
2011-05-22,97.0,75.5,52.0,5.565,6.609,1.043,16,1.522,22.1,19.85,15.9
2011-05-23,98.0,84.167,70.0,4.542,5.542,1.0,38,1.0,16.4,14.946,13.6
2011-05-24,100.0,77.0,54.0,10.292,11.333,1.042,23,1.083,22.2,17.571,13.6
2011-05-25,95.0,67.542,47.0,22.917,25.208,2.292,0,2.5,25.3,19.725,14.0
2011-05-26,87.0,65.667,50.0,11.792,12.833,1.042,2,1.875,23.0,19.962,17.5
