date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,82.0,71.0,54.0,18.435,21.391,2.957,0,2.174,10.4,6.958,2.9
2011-01-02,96.0,71.292,59.0,5.792,6.792,1.0,0,2.25,8.4,6.279,4.9
2011-01-03,77.0,64.083,56.0,12.875,14.208,1.333,0,3.375,7.3,5.971,3.7
2011-01-04,81.0,59.208,32.0,8.292,9.5,1.208,0,4.792,7.7,4.875,2.5
2011-01-05,88.0,73.958,57.0,17.958,21.5,3.542,0,1.667,7.1,4.321,1.2
2011-01-06,95.0,67.125,39.0,28.25,39.958,11.708,0,3.214,9.4,5.925,1.8
2011-01-07,79.0,66.292,54.0,6.667,8.333,1.667,0,1.042,7.5,5.558,4.4
2011-01-08,80.0,66.583,54.0,15.348,17.348,2.0,0,1.087,7.9,5.383,2.9
2011-01-09,87.0,72.083,53.0,20.5,25.0,4.5,0,2.0,10.9,6.621,3.7
2011-01-10,92.0,73.042,52.0,32.958,48.375,15.417,0,3.292,10.3,6.875,2.8
2011-01-11,74.0,59.75,44.0,12.625,14.875,2.25,0,2.625,9.7,6.496,2.0
2011-01-12,75.0,65.625,56.0,19.917,24.167,4.25,0,1.417,5.8,3.95,1.6
2011-01-13,83.0,61.522,44.0,23.125,35.25,12.125,0,2.3,10.2,6.396,3.1
2011-01-14,75.0,66.5,59.0,19.5,21.583,2.083,0,3.833,8.6,6.396,5.0
2011-01-15,84.0,70.458,56.0,16.13,20.565,4.435,0,1.304,8.2,6.233,3.7
2011-01-16,88.0,68.667,59.0,11.083,12.542,1.458,0,1.0,6.5,5.708,4.8
2011-01-17,96.0,69.667,43.0,22.708,32.417,9.708,0,1.375,9.9,6.033,3.0
2011-01-18,87.0,65.25,47.0,38.5,60.0,21.5,0,1.167,10.0,5.796,1.0
2011-01-19,100.0,83.75,63.0,28.708,43.167,14.458,24,1.042,8.7,6.371,5.0
2011-01-20,100.0,93.667,82.0,13.583,15.0,1.417,4,1.0,10.1,8.121,5.5
