date,HUM_max,HUM_mean,HUM_min,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,99.0,96.542,91.0,0.7,-1.858,-4.6
2011-01-02,99.0,98.75,98.0,-2.1,-4.3,-6.0
2011-01-03,99.0,98.417,98.0,-4.3,-5.121,-6.0
2011-01-04,98.0,98.0,98.0,-5.7,-6.458,-7.0
2011-01-05,98.0,98.0,98.0,-5.4,-6.338,-7.2
2011-01-06,99.0,98.542,98.0,-3.7,-4.733,-5.9
2011-01-07,99.0,98.167,98.0,-4.6,-6.108,-7.2
2011-01-08,98.0,98.0,98.0,-3.5,-5.967,-7.0
2011-01-09,99.0,97.958,90.0,-2.8,-3.3,-3.9
2011-01-10,99.0,99.0,99.0,-1.2,-2.979,-3.9
2011-01-11,99.0,98.708,98.0,-3.0,-5.1,-9.8
2011-01-12,98.0,98.0,98.0,-6.0,-7.921,-10.2
2011-01-13,99.0,98.625,98.0,-3.3,-4.892,-6.2
2011-01-14,99.0,99.0,99.0,-4.3,-4.771,-5.3
2011-01-15,99.0,99.0,99.0,-3.6,-4.479,-5.9
2011-01-16,99.0,96.167,86.0,-0.6,-4.096,-7.6
2011-01-17,99.0,87.917,62.0,-3.1,-4.521,-7.0
2011-01-18,91.0,67.375,33.0,1.6,-0.688,-3.6
2011-01-19,99.0,83.333,50.0,2.1,-0.079,-2.0
2011-01-20,99.0,99.0,99.0,0.9,-0.146,-2.3
2011-01-21,99.0,99.0,99.0,1.1,0.062,-1.1
2011-01-22,99.0,94.208,69.0,2.6,0.112,-1.3
2011-01-23,99.0,98.875,98.0,-0.9,-3.071,-6.3
2011-01-24,98.0,98.0,98.0,-6.7,-7.608,-8.8
2011-01-25,98.0,98.0,98.0,-7.3,-8.95,-10.0
2011-01-26,98.0,98.0,98.0,-7.3,-8.396,-9.4
2011-01-27,98.0,98.0,98.0,-5.7,-7.104,-9.1
2011-01-28,98.0,98.0,98.0,-5.3,-6.55,-8.2
2011-01-29,98.0,98.0,98.0,-7.2,-8.296,-9.1
2011-01-30,98.0,98.0,98.0,-6.2,-7.467,-8.7
