date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-01-01,189.542,13.5,14.042,16.25,2.208,3.042,203.042
2011-01-02,187.917,8.833,5.958,6.167,0.208,2.25,196.75
2011-01-03,188.167,9.917,7.583,8.292,0.708,3.75,198.083
2011-01-04,189.208,9.958,7.792,8.417,0.625,4.583,199.167
2011-01-05,189.652,11.348,9.217,10.13,0.913,1.348,201.0
2011-01-06,190.917,15.625,16.042,21.625,5.583,2.542,206.542
2011-01-07,191.875,14.5,12.417,16.875,4.458,1.292,206.375
2011-01-08,192.292,13.917,14.792,18.708,3.917,4.625,206.208
2011-01-09,193.5,16.375,16.0,20.208,4.208,3.208,209.875
2011-01-10,193.625,19.417,17.458,27.458,10.0,4.75,213.042
2011-01-11,190.083,10.917,9.458,10.458,1.0,2.208,201.0
2011-01-12,192.583,14.375,17.875,24.208,6.333,3.917,206.958
2011-01-13,193.0,11.913,15.174,22.0,6.826,4.304,204.913
2011-01-14,193.583,10.792,13.417,15.625,2.208,4.875,204.375
2011-01-15,191.917,10.667,12.708,14.292,1.583,1.583,202.583
2011-01-16,190.625,9.25,10.958,11.708,0.75,1.875,199.875
2011-01-17,189.917,12.75,14.458,20.542,6.083,3.524,202.667
2011-01-18,191.875,21.208,25.5,37.208,11.708,7.875,213.083
2011-01-19,190.208,13.708,19.375,24.125,4.75,5.25,203.917
2011-01-20,188.5,13.167,16.083,21.208,5.125,4.833,201.667
2011-01-21,186.261,12.348,13.565,15.478,1.913,3.125,198.609
2011-01-22,187.0,11.25,15.042,19.375,4.333,6.917,198.25
2011-01-23,188.458,8.625,8.0,9.667,1.667,3.417,197.083
2011-01-24,189.042,7.25,8.75,9.875,1.125,3.917,196.292
2011-01-25,190.625,9.167,10.208,12.375,2.167,4.458,199.792
2011-01-26,191.25,8.25,8.708,10.292,1.583,3.292,199.5
2011-01-27,193.042,9.958,13.875,16.542,2.667,5.5,203.0
2011-01-28,192.333,10.042,11.667,13.125,1.458,4.917,202.375
2011-01-29,190.217,9.0,12.696,14.826,2.13,4.708,199.217
2011-01-30,189.478,9.217,12.875,15.833,2.958,3.304,198.696
2011-01-31,189.542,10.5,17.458,22.542,5.083,5.667,200.042
2011-02-01,189.542,8.542,11.25,12.5,1.25,6.375,198.083
2011-02-02,189.125,5.75,6.625,7.458,0.833,3.167,194.875
2011-02-03,190.958,8.917,11.625,14.542,2.917,4.458,199.875
2011-02-04,191.583,8.458,12.458,13.875,1.417,7.708,200.042
2011-02-05,193.125,12.083,17.417,18.75,1.333,7.833,205.208
2011-02-06,189.696,18.391,20.217,23.174,2.957,7.25,208.087
2011-02-07,186.458,16.458,12.25,14.0,1.75,4.458,202.917
2011-02-08,186.667,12.458,6.375,7.292,0.917,3.708,199.125
2011-02-09,188.125,12.417,9.125,10.667,1.542,3.833,200.542
2011-02-10,188.042,14.417,14.167,17.625,3.458,4.667,202.458
2011-02-11,188.208,13.083,9.958,12.542,2.583,4.208,201.292
2011-02-12,189.667,12.875,11.542,13.458,1.917,5.667,202.542
2011-02-13,188.773,18.773,16.542,17.917,1.375,3.667,207.545
2011-02-14,191.913,20.391,23.261,32.13,8.87,3.333,212.304
2011-02-15,191.417,12.583,14.875,21.417,6.542,3.958,204.0
2011-02-16,190.0,7.875,13.167,16.833,3.667,4.792,197.875
2011-02-17,190.875,7.958,10.542,13.375,2.833,3.5,198.833
2011-02-18,192.75,9.625,9.542,10.917,1.375,3.75,202.375
2011-02-19,193.417,8.167,10.5,12.792,2.292,5.708,201.583
