date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,5.166666666666667,5.916666666666667,0.75,
2011-01-02,3.0,3.5833333333333335,0.5833333333333334,
2011-01-03,3.0,3.652173913043478,0.6521739130434783,
2011-01-04,3.75,4.541666666666667,0.7916666666666666,
2011-01-05,4.291666666666667,5.458333333333333,1.1666666666666667,
2011-01-06,5.0,6.5,1.5,
2011-01-07,3.4166666666666665,5.125,1.7083333333333333,
2011-01-08,4.416666666666667,5.583333333333333,1.1666666666666667,
2011-01-09,6.791666666666667,8.708333333333334,1.9166666666666667,
2011-01-10,5.304347826086956,7.0,1.6956521739130435,
2011-01-11,3.8095238095238093,4.857142857142857,1.0476190476190477,
2011-01-12,6.166666666666667,7.75,1.5833333333333333,
2011-01-13,5.166666666666667,6.458333333333333,1.2916666666666667,
2011-01-14,6.583333333333333,8.166666666666666,1.5833333333333333,
2011-01-15,4.291666666666667,5.416666666666667,1.125,
2011-01-16,2.6666666666666665,3.1666666666666665,0.5,
2011-01-17,4.826086956521739,7.043478260869565,2.217391304347826,
2011-01-18,7.458333333333333,9.541666666666666,2.0833333333333335,
2011-01-19,4.375,5.041666666666667,0.6666666666666666,
2011-01-20,2.875,3.7083333333333335,0.8333333333333334,
2011-01-21,3.5,4.416666666666667,0.9166666666666666,
2011-01-22,2.2083333333333335,3.25,1.0416666666666667,
2011-01-23,2.6363636363636362,3.6363636363636362,1.0,
2011-01-24,2.2083333333333335,2.9583333333333335,0.75,
2011-01-25,3.260869565217391,4.391304347826087,1.1304347826086956,
2011-01-26,3.3333333333333335,4.416666666666667,1.0833333333333333,
2011-01-27,4.75,5.833333333333333,1.0833333333333333,
2011-01-28,4.833333333333333,5.958333333333333,1.125,
2011-01-29,3.2916666666666665,4.375,1.0833333333333333,
2011-01-30,3.625,5.166666666666667,1.5416666666666667,
2011-01-31,4.708333333333333,6.041666666666667,1.3333333333333333,
2011-02-01,4.565217391304348,5.304347826086956,0.7391304347826086,
2011-02-02,2.3333333333333335,3.0416666666666665,0.7083333333333334,
2011-02-03,3.25,3.9583333333333335,0.7083333333333334,
2011-02-04,4.625,5.333333333333333,0.7083333333333334,
2011-02-05,4.75,5.208333333333333,0.4583333333333333,
2011-02-06,6.217391304347826,7.3478260869565215,1.1304347826086956,
2011-02-07,4.333333333333333,5.125,0.7916666666666666,
2011-02-08,2.5652173913043477,3.3043478260869565,0.7391304347826086,
2011-02-09,2.7916666666666665,3.625,0.8333333333333334,
2011-02-10,4.25,5.666666666666667,1.4166666666666667,
2011-02-11,3.6666666666666665,4.708333333333333,1.0416666666666667,
2011-02-12,3.6666666666666665,4.541666666666667,0.875,
2011-02-13,4.708333333333333,5.75,1.0416666666666667,
2011-02-14,4.375,5.375,1.0,
2011-02-15,3.739130434782609,4.739130434782608,1.0,
2011-02-16,2.4166666666666665,3.1666666666666665,0.75,
2011-02-17,2.5416666666666665,3.375,0.8333333333333334,
2011-02-18,2.875,3.7916666666666665,0.9166666666666666,
2011-02-19,2.875,3.5416666666666665,0.6666666666666666,
2011-02-20,5.916666666666667,7.0,1.0833333333333333,
2011-02-21,7.7272727272727275,9.454545454545455,1.7272727272727273,
2011-02-22,6.043478260869565,6.565217391304348,0.5217391304347826,
2011-02-23,4.333333333333333,5.25,0.9166666666666666,
2011-02-24,4.0,4.5,0.5,
2011-02-25,3.625,4.333333333333333,0.7083333333333334,
2011-02-26,2.2083333333333335,2.8333333333333335,0.625,
2011-02-27,3.0833333333333335,4.0,0.9166666666666666,
2011-02-28,5.25,6.291666666666667,1.0416666666666667,
2011-03-01,6.583333333333333,7.75,1.1666666666666667,
2011-03-02,7.333333333333333,8.875,1.5416666666666667,
2011-03-03,3.0,3.2916666666666665,0.2916666666666667,
2011-03-04,2.7083333333333335,3.0416666666666665,0.3333333333333333,
2011-03-05,7.391304347826087,8.695652173913043,1.3043478260869565,
2011-03-06,7.5,10.875,3.375,
2011-03-07,5.565217391304348,7.086956521739131,1.5217391304347827,
2011-03-08,8.166666666666666,9.875,1.7083333333333333,
2011-03-09,4.333333333333333,5.5,1.1666666666666667,
2011-03-10,3.1666666666666665,3.9166666666666665,0.75,
2011-03-11,2.5833333333333335,3.1666666666666665,0.5833333333333334,
2011-03-12,3.0,4.041666666666667,1.0416666666666667,
2011-03-13,3.4166666666666665,4.416666666666667,1.0,
2011-03-14,6.913043478260869,8.130434782608695,1.2173913043478262,
2011-03-15,4.791666666666667,5.458333333333333,0.6666666666666666,
2011-03-16,6.333333333333333,7.125,0.7916666666666666,
2011-03-17,6.208333333333333,7.208333333333333,1.0,
2011-03-18,3.4583333333333335,4.083333333333333,0.625,
2011-03-19,2.75,3.2916666666666665,0.5416666666666666,
2011-03-20,3.0,3.6666666666666665,0.6666666666666666,
2011-03-21,5.2272727272727275,5.909090909090909,0.6818181818181818,
2011-03-22,4.958333333333333,5.958333333333333,1.0,
2011-03-23,4.875,5.458333333333333,0.5833333333333334,
2011-03-24,2.625,3.0,0.375,
2011-03-25,3.0416666666666665,3.4166666666666665,0.375,
2011-03-26,3.2083333333333335,3.9583333333333335,0.75,
2011-03-27,5.291666666666667,6.041666666666667,0.75,
2011-03-28,4.913043478260869,5.695652173913044,0.782608695652174,
2011-03-29,7.041666666666667,8.291666666666666,1.25,
2011-03-30,6.166666666666667,6.791666666666667,0.625,
2011-03-31,3.0,3.5416666666666665,0.5416666666666666,
2011-04-01,10.73913043478261,11.304347826086957,0.5652173913043478,
2011-04-02,5.125,5.708333333333333,0.5833333333333334,
