date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-01-01,7.417,14.792,20.583,5.792,,
2011-01-02,4.913,8.042,10.708,2.667,,
2011-01-03,5.583,10.0,12.792,2.792,,
2011-01-04,6.042,9.667,13.875,4.208,,
2011-01-05,5.958,16.043,25.435,9.391,,
2011-01-06,8.208,26.167,52.5,26.333,,
2011-01-07,6.417,15.167,31.292,16.125,,
2011-01-08,9.042,20.875,36.875,16.0,,
2011-01-09,7.958,19.667,31.583,11.917,,
2011-01-10,10.13,26.083,53.625,27.542,,
2011-01-11,5.208,11.667,16.208,4.542,,
2011-01-12,7.792,26.542,53.875,27.333,,
2011-01-13,7.556,26.5,56.0,29.5,,
2011-01-15,6.667,20.429,27.857,7.429,,
2011-01-16,3.833,11.292,13.0,1.708,,
2011-01-17,7.375,18.625,42.125,23.5,,
2011-01-18,5.304,23.125,44.542,21.417,,
2011-01-19,4.25,18.208,33.042,14.833,,
2011-01-20,4.083,17.708,27.833,10.125,,
2011-01-21,4.458,16.391,29.609,13.217,,
2011-01-22,4.708,13.375,22.083,8.708,,
2011-01-23,3.875,10.708,16.75,6.042,,
2011-01-24,3.292,11.542,16.75,5.208,,
2011-01-25,4.708,15.375,24.167,8.792,,
2011-01-26,4.0,13.792,19.917,6.125,,
2011-01-27,6.875,22.708,37.958,15.25,,
2011-01-28,5.542,15.333,21.125,5.792,,
2011-01-29,5.208,15.957,25.435,9.478,,
2011-01-30,5.375,17.542,32.708,15.167,,
2011-01-31,6.625,23.708,43.75,20.042,,
2011-02-01,4.667,14.458,25.5,11.042,,
2011-02-02,3.417,10.917,15.083,4.167,,
2011-02-03,5.652,17.708,29.083,11.375,,
2011-02-04,5.292,17.167,24.417,7.25,,
2011-02-05,6.292,15.792,21.833,6.042,,
2011-02-06,5.875,15.391,18.783,3.391,,
2011-02-07,5.5,14.625,23.667,9.042,,
2011-02-08,3.167,9.583,13.708,4.125,,
2011-02-09,4.083,12.458,17.375,4.917,,
2011-02-10,4.417,17.167,27.625,10.458,,
2011-02-11,4.565,14.75,24.25,9.5,,
2011-02-12,5.0,16.333,20.75,4.417,,
2011-02-13,4.208,11.875,13.417,1.542,,
2011-02-14,6.708,22.87,49.652,26.783,,
2011-02-15,5.167,13.083,26.625,13.542,,
2011-02-16,4.25,16.792,27.25,10.458,,
2011-02-17,4.125,15.125,22.917,7.792,,
2011-02-18,4.542,15.375,21.5,6.125,,
2011-02-19,4.696,14.917,23.042,8.125,,
2011-02-20,6.375,25.25,41.042,15.792,,
2011-02-21,8.125,27.833,57.917,30.083,,
2011-02-22,4.375,17.217,19.696,2.478,,
2011-02-23,6.083,17.292,34.167,16.875,,
2011-02-24,5.083,18.125,21.5,3.375,,
2011-02-25,6.292,20.083,29.417,9.333,,
2011-02-26,3.0,7.833,10.083,2.25,,
2011-02-27,4.13,12.833,20.125,7.292,,
2011-02-28,3.292,14.167,16.25,2.083,,
