date,PM25_mean,SPM_mean
2011-01-01,,38.333
2011-01-02,,16.375
2011-01-03,,34.542
2011-01-04,,18.25
2011-01-05,,18.542
2011-01-06,,15.375
2011-01-07,,19.625
2011-01-08,,19.333
2011-01-09,,42.708
2011-01-10,,63.875
2011-01-11,,33.5
2011-01-12,,17.708
2011-01-13,,30.167
2011-01-14,,38.083
2011-01-15,,21.375
2011-01-16,,12.25
2011-01-17,,7.542
2011-01-18,,29.875
2011-01-19,,25.304
2011-01-20,,8.833
2011-01-21,,8.5
2011-01-22,,12.625
2011-01-23,,5.708
2011-01-24,,10.375
2011-01-25,,18.083
2011-01-26,,9.167
2011-01-27,,22.458
2011-01-28,,32.083
2011-01-29,,21.167
2011-01-30,,16.917
2011-01-31,,24.0
2011-02-01,,30.125
2011-02-02,,6.375
2011-02-03,,13.333
2011-02-04,,26.333
2011-02-05,,34.375
2011-02-06,,44.125
2011-02-07,,15.5
2011-02-08,,5.833
2011-02-09,,14.458
2011-02-10,,13.333
2011-02-11,,9.167
2011-02-12,,13.75
2011-02-13,,13.652
2011-02-14,,13.75
2011-02-15,,23.75
2011-02-16,,16.458
2011-02-17,,10.75
2011-02-18,,11.042
2011-02-19,,15.917
2011-02-20,,16.167
2011-02-21,,20.708
2011-02-22,,15.708
2011-02-23,,27.875
2011-02-24,,36.5
2011-02-25,,40.083
2011-02-26,,8.875
2011-02-27,,8.583
2011-02-28,,10.208
2011-03-01,,17.583
2011-03-02,,19.792
2011-03-03,,12.667
2011-03-04,,17.0
2011-03-05,,12.583
2011-03-06,,22.292
2011-03-07,,50.292
2011-03-08,,48.25
2011-03-09,,33.833
2011-03-10,,19.833
2011-03-11,,23.292
2011-03-12,,9.792
2011-03-13,,16.917
2011-03-14,,27.167
2011-03-15,,35.957
2011-03-16,,47.375
2011-03-17,,39.5
2011-03-18,,33.042
2011-03-19,,15.625
2011-03-20,,17.583
2011-03-21,,17.458
2011-03-22,,24.875
2011-03-23,,13.667
2011-03-24,,21.208
2011-03-25,,9.167
2011-03-26,,10.5
2011-03-27,,19.333
2011-03-28,,26.875
2011-03-29,,32.917
2011-03-30,,25.375
2011-03-31,,15.083
2011-04-01,,38.292
2011-04-02,,34.958
2011-04-03,,22.542
2011-04-04,,8.75
2011-04-05,,10.875
2011-04-06,,15.083
2011-04-07,,11.375
2011-04-08,,15.125
2011-04-09,,28.5
2011-04-10,,25.667
2011-04-11,,31.667
2011-04-12,,23.208
2011-04-13,,28.917
2011-04-14,,29.458
2011-04-15,,43.708
2011-04-16,,53.792
2011-04-17,,27.292
2011-04-18,,23.042
2011-04-19,,9.708
2011-04-20,,17.875
2011-04-21,,27.125
2011-04-22,,26.25
2011-04-23,,21.042
2011-04-24,,28.375
2011-04-25,,29.75
2011-04-26,,25.5
2011-04-27,,28.25
2011-04-28,,19.167
2011-04-29,,21.583
2011-04-30,,29.125
2011-05-01,,46.667
2011-05-02,,114.167
2011-05-03,,106.292
2011-05-04,,54.333
2011-05-05,,42.792
2011-05-06,,19.375
2011-05-07,,14.625
2011-05-08,,35.542
2011-05-09,,36.391
2011-05-10,,16.583
2011-05-11,,17.125
2011-05-12,,13.333
2011-05-13,,26.083
2011-05-14,,28.167
2011-05-15,,31.292
2011-05-16,,40.167
2011-05-17,,41.708
2011-05-18,,32.583
2011-05-19,,39.75
2011-05-20,,27.5
2011-05-21,,23.75
2011-05-22,,14.333
2011-05-23,,11.417
2011-05-24,,6.417
2011-05-25,,11.5
2011-05-26,,11.087
2011-05-27,,36.833
2011-05-28,,24.917
2011-05-29,,6.667
2011-05-30,,18.167
2011-05-31,,21.5
2011-06-01,,29.542
2011-06-02,,40.125
2011-06-03,,52.75
2011-06-04,,41.0
2011-06-05,,41.667
2011-06-06,,48.435
2011-06-07,,21.625
2011-06-08,,20.25
2011-06-09,,40.5
2011-06-10,,25.25
2011-06-11,,16.875
2011-06-12,,15.696
2011-06-13,,18.917
2011-06-14,,92.333
2011-06-15,,61.667
2011-06-16,,6.292
2011-06-17,,12.458
2011-06-18,,19.958
2011-06-19,,14.5
2011-06-20,,23.542
2011-06-21,,11.208
2011-06-22,,7.478
2011-06-23,,10.917
2011-06-24,,21.0
2011-06-25,,19.958
2011-06-26,,15.708
2011-06-27,,11.958
2011-06-28,,19.958
2011-06-29,,19.25
2011-06-30,,19.458
2011-07-01,,20.167
2011-07-02,,27.958
2011-07-03,,30.75
2011-07-04,,19.75
2011-07-05,,29.333
2011-07-06,,18.708
2011-07-07,,11.478
2011-07-08,,16.708
2011-07-09,,20.042
2011-07-10,,18.875
2011-07-11,,16.333
2011-07-12,,16.542
2011-07-13,,12.708
2011-07-14,,16.458
2011-07-15,,25.667
2011-07-16,,36.083
2011-07-17,,20.458
2011-07-18,,13.417
2011-07-19,,16.913
2011-07-20,,18.542
