date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-05-18,21.458,23.25,1.792,25.333
2011-05-19,15.25,16.375,1.125,25.125
2011-05-20,20.5,22.875,2.375,19.667
2011-05-21,12.625,15.458,2.833,18.917
2011-05-22,4.333,4.708,0.375,9.5
2011-05-23,9.13,9.522,0.391,4.375
2011-05-24,4.958,5.292,0.333,3.625
2011-05-25,6.792,7.333,0.542,8.5
2011-05-26,8.25,8.542,0.292,8.727
2011-05-27,24.5,28.833,4.333,26.167
2011-05-28,21.708,27.458,5.75,30.208
2011-05-29,3.583,3.625,0.042,10.292
2011-05-30,5.652,6.13,0.478,17.458
2011-05-31,15.5,17.375,1.875,10.75
2011-06-01,19.083,21.583,2.5,21.667
2011-06-02,10.833,11.75,0.917,28.375
2011-06-03,13.25,14.542,1.292,40.75
2011-06-04,14.375,16.125,1.75,28.583
2011-06-05,13.708,14.792,1.083,37.667
2011-06-06,20.87,25.217,4.348,34.625
2011-06-07,16.458,17.042,0.583,18.0
2011-06-08,14.375,15.75,1.375,23.833
2011-06-09,15.167,16.5,1.333,38.792
2011-06-10,14.792,17.042,2.25,19.75
2011-06-11,14.375,16.417,2.042,9.583
2011-06-12,12.875,13.0,0.125,12.875
2011-06-13,17.913,20.087,2.174,28.542
2011-06-14,14.208,15.375,1.167,50.167
2011-06-15,20.0,21.75,1.75,55.292
2011-06-16,12.792,13.25,0.458,3.583
2011-06-17,20.0,22.583,2.583,13.5
2011-06-18,18.417,19.75,1.333,21.625
2011-06-19,15.667,16.542,0.875,12.292
2011-06-20,15.522,17.304,1.783,6.417
2011-06-21,14.583,18.083,3.5,11.0
2011-06-22,9.25,13.708,4.458,10.067
2011-06-23,6.087,9.87,3.783,21.111
2011-06-24,6.792,10.208,3.417,17.5
2011-06-25,8.292,10.333,2.042,18.958
2011-06-26,4.458,5.583,1.125,15.583
2011-06-27,16.391,18.174,1.783,13.0
2011-06-28,11.667,16.583,4.917,16.792
2011-06-29,8.958,13.167,4.208,19.043
2011-06-30,11.125,15.625,4.5,15.625
2011-07-01,14.5,19.875,5.375,19.792
2011-07-02,14.583,16.833,2.25,28.25
2011-07-03,4.792,5.375,0.583,29.042
2011-07-04,13.522,15.348,1.826,44.542
2011-07-05,14.833,16.042,1.208,37.0
2011-07-06,18.208,22.792,4.583,13.0
2011-07-07,9.375,15.292,5.917,10.833
2011-07-08,7.25,10.667,3.417,14.417
2011-07-09,7.208,9.542,2.333,16.208
2011-07-10,8.125,8.792,0.667,16.458
2011-07-11,14.87,17.783,2.913,17.375
2011-07-12,13.417,17.0,3.583,14.917
2011-07-13,11.292,20.5,9.208,9.542
2011-07-14,10.875,15.917,5.042,16.583
2011-07-15,14.917,19.083,4.167,20.167
2011-07-16,14.042,18.042,4.0,25.875
2011-07-17,7.75,8.083,0.333,20.5
2011-07-18,4.87,5.261,0.391,7.958
2011-07-19,2.833,3.625,0.792,21.833
2011-07-20,3.083,3.458,0.375,27.667
2011-07-21,4.375,4.875,0.5,13.042
2011-07-22,5.5,6.208,0.708,17.458
2011-07-23,9.958,12.875,2.917,16.333
2011-07-24,15.625,18.75,3.125,14.958
2011-07-25,18.478,22.739,4.261,42.583
2011-07-26,12.458,16.167,3.708,30.833
2011-07-27,8.333,12.458,4.125,11.375
2011-07-28,8.708,12.667,3.958,13.792
2011-07-29,8.5,15.167,6.667,13.478
2011-07-30,8.292,12.792,4.5,12.75
2011-07-31,6.292,8.542,2.25,17.5
2011-08-01,23.609,31.522,7.913,27.417
2011-08-02,18.667,20.75,2.083,31.75
2011-08-03,14.167,18.458,4.292,22.125
2011-08-04,5.417,6.5,1.083,9.417
2011-08-05,5.958,6.333,0.375,13.417
2011-08-06,6.417,8.208,1.792,7.708
2011-08-07,3.917,4.542,0.625,11.333
2011-08-08,8.522,12.13,3.609,16.833
2011-08-09,10.958,15.333,4.375,16.458
2011-08-10,8.917,15.042,6.125,13.375
2011-08-11,8.0,13.042,5.042,11.5
2011-08-12,8.083,13.083,5.0,12.375
2011-08-13,6.167,7.75,1.583,12.375
2011-08-14,4.708,5.375,0.667,6.042
2011-08-15,8.478,9.0,0.522,14.25
2011-08-16,9.667,11.167,1.5,18.958
2011-08-17,10.042,11.708,1.667,21.083
2011-08-18,13.333,14.167,0.833,18.958
2011-08-19,10.667,11.625,0.958,18.917
2011-08-20,11.667,12.25,0.583,18.667
2011-08-21,8.083,8.25,0.167,10.792
2011-08-22,19.522,22.478,2.957,10.75
2011-08-23,13.636,19.409,5.773,10.696
2011-08-24,12.083,16.333,4.25,17.375
2011-08-25,12.542,21.542,9.0,25.583
2011-08-26,15.25,20.375,5.125,14.417
2011-08-27,11.417,18.625,7.208,16.667
2011-08-28,9.708,11.125,1.417,20.208
2011-08-29,13.826,18.826,5.0,24.958
2011-08-30,13.125,19.75,6.625,26.333
