date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-03-10,191.792,2.75,2.167,2.583,0.417,1.0,194.542
2011-03-11,193.167,2.917,2.458,3.042,0.583,2.042,196.083
2011-03-12,193.958,3.0,2.292,3.167,0.875,1.542,196.958
2011-03-13,193.708,3.25,3.458,4.375,0.917,3.75,196.958
2011-03-14,189.0,5.826,4.292,5.25,0.958,1.667,194.826
2011-03-15,190.708,6.458,6.542,7.458,0.917,2.5,197.167
2011-03-16,188.208,6.625,5.583,6.167,0.583,1.167,194.833
2011-03-17,185.364,6.864,5.136,5.773,0.636,1.545,192.227
2011-03-18,188.417,8.25,5.25,5.625,0.375,1.042,196.667
2011-03-19,187.958,6.125,6.0,6.792,0.792,2.417,194.083
2011-03-20,188.417,7.167,5.875,6.75,0.875,1.958,195.583
2011-03-21,190.0,6.13,5.375,6.5,1.125,3.167,196.13
2011-03-22,188.5,5.208,4.25,5.0,0.75,3.792,193.708
2011-03-23,184.292,7.375,6.042,7.292,1.25,1.375,191.667
2011-03-24,188.125,4.75,2.458,3.0,0.542,1.25,192.875
2011-03-25,190.708,4.083,2.167,2.625,0.458,1.375,194.792
2011-03-26,191.458,5.083,3.917,5.208,1.292,1.583,196.542
2011-03-27,191.167,4.75,3.333,4.417,1.083,1.333,195.917
2011-03-28,188.304,3.652,4.75,5.5,0.75,1.875,191.957
2011-03-29,188.583,2.333,4.333,5.0,0.667,1.542,190.917
2011-03-30,187.381,2.429,3.667,4.19,0.524,0.762,189.81
2011-03-31,188.333,1.458,1.75,1.875,0.125,1.0,189.792
2011-04-01,186.13,5.87,4.182,5.227,1.045,1.227,192.0
2011-04-02,185.042,4.792,4.5,5.333,0.833,1.5,189.833
2011-04-03,186.208,5.125,5.792,6.792,1.0,1.625,191.333
2011-04-04,186.625,4.167,3.792,4.625,0.833,1.458,190.792
2011-04-05,186.583,4.5,3.375,4.125,0.75,1.042,191.083
2011-04-06,185.609,4.043,2.542,3.542,1.0,1.0,189.652
2011-04-07,184.292,3.542,2.375,3.167,0.792,1.0,187.833
2011-04-08,182.762,4.143,2.619,3.095,0.476,1.048,186.905
2011-04-09,185.292,4.958,3.292,3.75,0.458,1.208,190.25
2011-04-10,185.375,4.625,3.333,3.667,0.333,1.5,190.0
2011-04-11,184.875,4.958,3.458,3.792,0.333,1.25,189.833
2011-04-12,186.333,4.583,4.208,4.958,0.75,1.25,190.917
2011-04-13,186.913,4.435,4.333,5.0,0.667,1.083,191.348
2011-04-14,185.833,4.292,3.375,4.083,0.708,1.125,190.125
2011-04-15,183.783,5.174,5.043,5.957,0.913,1.0,188.957
2011-04-16,186.458,5.792,7.25,8.083,0.833,1.083,192.25
2011-04-17,185.333,4.792,4.875,5.333,0.458,1.125,190.125
2011-04-18,182.542,4.125,2.5,2.958,0.458,1.0,186.667
2011-04-19,186.958,4.042,1.958,2.458,0.5,1.25,191.0
2011-04-20,187.478,4.304,3.375,4.042,0.667,1.333,191.783
2011-04-21,186.625,4.458,3.625,4.458,0.833,1.042,191.083
2011-04-22,185.81,4.0,2.818,3.364,0.545,1.0,189.81
2011-04-23,185.958,3.458,1.375,1.75,0.375,1.0,189.417
2011-04-24,191.0,4.042,1.792,2.333,0.542,1.0,195.042
2011-04-25,190.125,4.0,2.292,3.167,0.875,1.0,194.125
2011-04-26,187.833,4.125,2.667,3.333,0.667,1.208,191.958
2011-04-27,185.913,4.435,3.458,4.458,1.0,1.042,190.348
2011-04-28,188.292,3.375,2.5,3.25,0.75,1.0,191.667
2011-04-29,190.333,3.417,1.875,2.417,0.542,1.0,193.75
2011-04-30,188.0,3.875,1.833,2.333,0.5,1.0,191.875
2011-05-01,185.25,3.458,1.417,1.75,0.333,1.0,188.708
2011-05-02,188.875,4.5,3.042,3.5,0.458,1.167,193.375
2011-05-03,189.0,4.583,4.375,4.875,0.5,1.0,193.583
2011-05-04,186.783,3.696,2.542,3.042,0.5,1.167,190.478
2011-05-05,184.875,2.917,1.0,1.083,0.083,1.0,187.792
2011-05-06,184.217,3.174,3.87,4.087,0.217,1.0,187.391
2011-05-07,181.792,2.792,3.333,3.375,0.042,1.0,184.583
2011-05-08,180.958,3.125,3.167,3.542,0.375,1.0,184.083
2011-05-09,179.792,5.792,5.5,6.333,0.833,1.0,185.583
2011-05-10,175.042,4.333,3.792,5.083,1.292,1.0,179.375
2011-05-11,178.652,3.913,4.875,6.125,1.25,1.0,182.565
2011-05-12,178.083,2.458,4.125,5.0,0.875,1.0,180.542
2011-05-13,187.708,2.667,2.875,2.875,0.0,1.0,190.375
2011-05-14,189.545,3.727,3.533,3.533,0.0,1.217,193.273
2011-05-15,190.375,3.833,3.118,3.176,0.059,1.167,194.208
2011-05-16,189.458,4.458,4.917,5.292,0.375,1.292,193.917
2011-05-17,190.042,4.542,3.75,4.292,0.542,1.25,194.583
2011-05-18,187.565,3.826,3.625,4.083,0.458,1.458,191.391
2011-05-19,185.5,2.818,2.545,2.864,0.318,1.0,188.318
2011-05-20,182.167,3.292,4.792,5.375,0.583,1.0,185.458
2011-05-21,178.75,2.75,1.875,2.333,0.458,1.0,181.5
2011-05-22,178.208,2.917,2.167,3.042,0.875,1.0,181.125
2011-05-23,183.917,3.792,4.833,5.167,0.333,1.0,187.708
2011-05-24,186.125,3.167,2.542,2.833,0.292,1.0,189.292
2011-05-25,185.652,4.13,3.625,3.917,0.292,1.0,189.783
2011-05-26,183.5,4.042,2.792,2.875,0.083,1.0,187.542
2011-05-27,183.083,4.042,1.958,2.167,0.208,1.0,187.125
2011-05-28,184.25,7.0,6.667,7.167,0.5,1.0,191.25
2011-05-29,179.409,3.955,1.182,1.227,0.045,1.045,183.364
2011-05-30,182.833,5.208,3.5,3.5,0.0,1.5,188.042
2011-05-31,182.042,5.125,4.542,4.875,0.333,1.167,187.167
2011-06-01,185.565,4.826,5.208,5.458,0.25,1.0,190.391
2011-06-02,185.292,3.75,3.542,3.875,0.333,1.0,189.042
2011-06-03,183.083,3.375,3.167,3.208,0.042,1.0,186.458
