date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,4.917,7.208,2.292,,4.5
2011-01-02,4.083,5.875,1.792,,4.583
2011-01-03,5.625,7.625,2.0,,6.375
2011-01-04,3.417,4.833,1.417,,6.0
2011-01-05,10.125,14.75,4.625,,5.167
2011-01-06,12.435,18.435,6.0,,5.13
2011-01-07,10.167,14.208,4.042,,4.375
2011-01-08,8.125,10.417,2.292,,4.25
2011-01-09,9.083,12.542,3.458,,6.375
2011-01-10,11.667,16.0,4.333,,6.167
2011-01-11,8.792,12.833,4.042,,5.375
2011-01-12,9.958,13.125,3.167,,4.167
2011-01-13,12.208,17.708,5.5,,6.25
2011-01-14,13.792,18.083,4.292,,7.208
2011-01-15,9.458,12.75,3.292,,4.75
2011-01-16,5.625,9.542,3.917,,3.5
2011-01-17,4.708,6.375,1.667,,2.792
2011-01-18,13.833,20.75,6.917,,4.0
2011-01-19,17.522,34.87,17.348,,3.478
2011-01-20,6.25,11.667,5.417,,2.375
2011-01-21,10.292,18.5,8.208,,2.458
2011-01-22,5.667,10.5,4.833,,2.792
2011-01-23,3.75,6.75,3.0,,3.375
2011-01-24,6.917,10.833,3.917,,4.292
2011-01-25,6.458,9.917,3.458,,4.458
2011-01-26,9.5,14.542,5.042,,4.208
2011-01-27,14.625,22.792,8.167,,5.917
2011-01-28,9.75,15.583,5.833,,5.625
2011-01-29,4.0,6.75,2.75,,4.375
2011-01-30,10.417,18.375,7.958,,4.708
2011-01-31,10.208,15.375,5.167,,5.125
2011-02-01,8.875,13.458,4.583,,5.667
2011-02-02,4.522,6.87,2.348,,3.87
2011-02-03,8.667,12.5,3.833,,4.625
2011-02-04,13.0,18.417,5.417,,6.625
2011-02-05,12.333,15.792,3.458,,5.0
2011-02-06,17.208,31.375,14.167,,3.292
2011-02-07,9.167,14.875,5.708,,2.917
2011-02-08,4.292,7.083,2.792,,3.708
2011-02-09,7.833,17.25,9.417,,4.417
2011-02-10,8.917,12.458,3.542,,4.417
2011-02-11,3.792,5.583,1.792,,3.833
2011-02-12,6.875,8.833,1.958,,4.25
2011-02-13,17.417,24.375,6.958,,3.292
2011-02-14,18.0,37.75,19.75,,3.083
2011-02-15,9.875,13.708,3.833,,2.833
2011-02-16,4.087,7.391,3.304,,3.25
2011-02-17,5.167,10.833,5.667,,3.917
2011-02-18,5.208,9.25,4.042,,3.875
2011-02-19,6.333,10.125,3.792,,4.5
2011-02-20,8.458,13.75,5.292,,4.0
2011-02-21,11.958,18.917,6.958,,6.542
