date,CO_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,4.435,13.917,22.875,8.958
2011-01-02,2.875,8.0,13.167,5.167
2011-01-03,2.75,7.458,13.125,5.667
2011-01-04,3.625,13.958,26.292,12.333
2011-01-05,2.917,13.375,26.208,12.833
2011-01-06,3.783,21.826,44.957,23.13
2011-01-07,3.75,16.417,39.958,23.542
2011-01-08,2.739,8.333,13.5,5.167
2011-01-09,4.542,21.417,50.542,29.125
2011-01-10,5.25,29.625,89.417,59.792
2011-01-11,4.167,19.958,59.292,39.333
2011-01-12,3.167,17.875,45.542,27.667
2011-01-13,4.0,22.625,66.583,43.958
2011-01-14,4.083,18.875,42.0,23.125
2011-01-15,4.13,13.792,25.0,11.208
2011-01-16,5.0,28.708,72.625,43.917
2011-01-17,3.625,23.5,56.583,33.083
2011-01-18,5.5,32.917,96.667,63.75
2011-01-19,5.042,31.0,85.708,54.708
2011-01-20,4.783,29.478,76.87,47.391
2011-01-21,3.542,18.625,41.958,23.333
2011-01-22,4.435,16.25,35.458,19.208
2011-01-23,3.792,16.792,38.167,21.375
2011-01-24,4.333,21.0,45.167,24.167
2011-01-25,5.125,25.417,73.833,48.417
2011-01-26,4.417,20.5,47.708,27.208
2011-01-27,5.583,21.833,67.0,45.167
2011-01-28,3.708,14.542,29.25,14.708
2011-01-29,2.826,7.875,15.792,7.917
2011-01-30,3.25,14.625,31.875,17.25
2011-01-31,4.0,21.25,56.708,35.458
2011-02-01,4.167,21.083,58.5,37.417
2011-02-02,3.292,16.875,36.667,19.792
2011-02-03,4.826,26.273,67.045,40.773
2011-02-04,4.417,21.667,56.0,34.333
2011-02-05,4.87,19.375,35.5,16.125
2011-02-06,6.208,31.75,84.75,53.0
2011-02-07,5.25,21.958,57.917,35.958
2011-02-08,2.955,8.708,14.542,5.833
2011-02-09,3.875,20.417,46.875,26.458
2011-02-10,4.958,26.792,72.167,45.375
2011-02-11,3.75,14.667,28.792,14.125
2011-02-12,3.261,11.0,20.042,9.042
2011-02-13,4.458,23.75,58.125,34.375
2011-02-14,5.792,30.0,89.167,59.167
2011-02-15,3.708,13.875,34.583,20.708
2011-02-16,3.9,25.1,48.85,23.75
2011-02-17,4.5,22.952,70.905,47.952
2011-02-18,3.292,14.083,25.0,10.917
2011-02-19,4.375,17.917,32.958,15.042
2011-02-20,5.542,31.875,83.125,51.25
2011-02-21,4.167,22.292,56.625,34.333
2011-02-22,4.542,24.208,44.292,20.083
2011-02-23,4.583,22.0,46.708,24.708
2011-02-24,5.0,20.25,38.458,18.208
2011-02-25,4.0,16.25,31.75,15.5
2011-02-26,3.042,9.542,13.167,3.625
2011-02-27,2.833,12.417,21.542,9.125
2011-02-28,4.208,25.458,53.792,28.333
2011-03-01,5.217,27.636,67.273,39.636
2011-03-02,6.0,30.917,103.792,72.875
2011-03-03,3.667,13.292,24.75,11.458
2011-03-04,3.917,13.5,22.833,9.333
2011-03-05,5.5,26.917,71.75,44.833
2011-03-06,5.792,29.375,82.75,53.375
2011-03-07,4.208,12.458,17.417,4.958
2011-03-08,5.833,33.75,78.375,44.625
2011-03-09,5.478,30.542,79.0,48.458
2011-03-10,4.417,21.917,47.5,25.583
2011-03-11,3.75,13.667,23.417,9.75
2011-03-12,3.375,17.333,38.5,21.167
2011-03-13,2.833,16.875,34.292,17.417
2011-03-14,4.167,29.083,61.917,32.833
2011-03-15,3.292,17.292,41.333,24.042
2011-03-16,4.864,32.087,60.13,28.043
2011-03-17,5.708,27.25,54.667,27.417
2011-03-18,6.417,21.292,51.833,30.542
2011-03-19,2.417,10.0,14.917,4.917
2011-03-20,2.5,12.375,20.75,8.375
2011-03-21,2.5,13.542,24.375,10.833
2011-03-22,4.333,29.833,68.375,38.542
2011-03-23,5.0,30.333,54.167,23.833
2011-03-24,4.167,14.708,28.583,13.875
2011-03-25,3.458,13.083,22.0,8.917
2011-03-26,3.125,16.542,28.667,12.125
2011-03-27,4.333,30.0,57.667,27.667
2011-03-28,4.708,23.542,50.125,26.583
2011-03-29,3.875,26.25,46.583,20.333
2011-03-30,5.5,35.864,76.136,40.273
2011-03-31,3.708,15.792,29.75,13.958
2011-04-01,4.261,30.043,53.565,23.522
2011-04-02,4.167,17.875,36.458,18.583
2011-04-03,2.087,5.833,8.125,2.292
2011-04-04,2.5,14.708,24.042,9.333
2011-04-05,2.833,22.792,36.542,13.75
2011-04-06,3.542,36.458,73.458,37.0
2011-04-07,4.083,42.75,79.333,36.583
2011-04-08,3.333,33.125,63.708,30.583
2011-04-09,2.583,17.75,33.417,15.667
2011-04-10,4.043,14.542,21.542,7.0
2011-04-11,4.083,21.583,43.958,22.375
2011-04-12,3.5,16.292,28.0,11.708
2011-04-13,4.042,28.083,54.083,26.0
2011-04-14,5.364,40.864,73.545,32.682
2011-04-15,5.25,36.125,62.875,26.75
2011-04-16,4.292,14.375,23.5,9.125
2011-04-17,3.0,12.333,18.792,6.458
2011-04-18,3.708,31.167,64.042,32.875
2011-04-19,3.75,26.958,57.042,30.083
2011-04-20,3.125,17.667,36.125,18.458
2011-04-21,3.625,27.375,55.542,28.167
2011-04-22,4.125,28.208,57.25,29.042
2011-04-23,3.75,22.667,44.958,22.292
2011-04-24,3.652,12.0,18.208,6.208
2011-04-25,3.667,20.708,42.917,22.208
2011-04-26,4.292,27.917,59.458,31.542
2011-04-27,4.417,31.333,65.875,34.542
2011-04-28,3.478,12.87,22.522,9.652
2011-04-29,4.292,12.125,19.542,7.417
2011-04-30,5.333,23.042,43.625,20.583
2011-05-01,4.217,17.208,27.833,10.625
2011-05-02,3.542,7.125,10.25,3.125
2011-05-03,4.583,16.667,28.708,12.042
2011-05-04,3.708,7.542,13.583,6.042
2011-05-05,4.125,15.917,27.292,11.375
2011-05-06,4.417,25.208,51.292,26.083
2011-05-07,4.667,22.083,42.458,20.375
2011-05-08,4.0,9.625,14.417,4.792
2011-05-09,4.958,30.833,50.875,20.042
2011-05-10,3.917,21.875,44.208,22.333
2011-05-11,4.375,28.208,46.375,18.167
2011-05-12,4.917,33.625,72.958,39.333
2011-05-13,4.261,18.609,45.348,26.739
2011-05-14,4.75,20.417,40.208,19.792
2011-05-15,3.565,14.167,21.833,7.667
2011-05-16,3.958,32.792,65.375,32.583
2011-05-17,3.917,29.708,59.0,29.292
2011-05-18,4.292,31.0,54.375,23.375
2011-05-19,4.542,38.167,64.042,25.875
2011-05-20,4.375,40.917,63.458,22.542
2011-05-21,4.208,30.208,45.667,15.458
2011-05-22,4.435,14.375,24.458,10.083
2011-05-23,4.708,26.417,57.75,31.333
2011-05-24,4.875,28.667,61.958,33.292
2011-05-25,5.167,28.875,61.125,32.25
2011-05-26,5.458,29.083,73.042,43.958
2011-05-27,4.957,28.478,53.087,24.609
2011-05-28,5.542,21.125,48.167,27.042
2011-05-29,4.0,11.958,27.208,15.25
2011-05-30,3.75,17.042,37.25,20.208
2011-05-31,4.0,23.25,49.292,26.042
2011-06-01,4.375,20.542,54.375,33.833
2011-06-02,5.5,27.125,86.042,58.917
2011-06-03,5.042,28.833,56.917,28.083
2011-06-04,5.917,25.333,48.958,23.625
2011-06-05,5.0,16.792,26.458,9.667
2011-06-06,4.25,18.083,34.583,16.5
2011-06-07,5.333,31.583,60.958,29.375
2011-06-08,5.042,30.542,65.917,35.375
2011-06-09,5.167,33.0,62.542,29.542
2011-06-10,6.478,35.478,71.739,36.261
2011-06-11,5.208,18.875,35.458,16.583
2011-06-12,5.0,15.958,27.125,11.167
2011-06-13,5.25,29.292,57.083,27.792
2011-06-14,4.0,21.708,42.542,20.833
2011-06-15,4.542,27.708,54.042,26.333
2011-06-16,4.833,28.458,63.5,35.042
2011-06-17,4.667,30.083,67.917,37.833
2011-06-18,4.667,22.458,35.167,12.708
2011-06-19,5.957,18.042,32.375,14.333
2011-06-20,6.0,32.167,57.125,24.958
2011-06-21,4.583,24.917,54.75,29.833
2011-06-22,4.542,31.0,54.958,23.958
2011-06-23,3.833,19.083,59.042,39.958
2011-06-24,3.0,15.522,48.696,33.174
2011-06-25,3.958,19.292,37.25,17.958
2011-06-26,4.783,14.417,26.042,11.625
2011-06-27,5.167,27.375,69.917,42.542
2011-06-28,4.958,27.583,58.25,30.667
2011-06-29,2.667,15.333,28.292,12.958
2011-06-30,4.042,23.875,59.625,35.75
2011-07-01,3.417,20.917,53.333,32.417
2011-07-02,3.625,19.333,37.542,18.208
2011-07-03,4.217,16.583,28.208,11.625
2011-07-04,5.167,26.333,55.208,28.875
2011-07-05,3.417,12.667,26.875,14.208
2011-07-06,4.417,24.75,43.083,18.333
2011-07-07,5.875,30.958,64.833,33.875
2011-07-08,4.696,26.409,50.773,24.364
2011-07-09,4.292,19.333,39.625,20.292
2011-07-10,3.522,12.125,24.208,12.083
2011-07-11,3.875,21.792,56.125,34.333
2011-07-12,3.708,25.125,55.5,30.375
2011-07-13,3.875,27.75,60.625,32.875
2011-07-14,3.958,28.833,54.833,26.0
2011-07-15,4.125,29.75,53.292,23.542
2011-07-16,4.042,24.792,42.583,17.792
2011-07-17,3.87,14.792,25.5,10.708
2011-07-18,3.583,15.875,30.708,14.833
2011-07-19,3.083,15.875,43.75,27.875
2011-07-20,3.583,15.958,46.333,30.375
2011-07-21,4.125,18.0,54.25,36.25
2011-07-22,3.957,20.957,53.478,32.522
2011-07-23,3.458,17.417,40.458,23.042
2011-07-24,3.348,12.417,22.917,10.5
2011-07-25,3.542,24.458,44.167,19.708
2011-07-26,3.75,27.542,54.833,27.292
2011-07-27,3.5,20.75,48.417,27.667
2011-07-28,3.875,25.75,51.125,25.375
2011-07-29,3.792,22.667,52.208,29.542
2011-07-30,2.958,14.417,24.5,10.083
2011-07-31,3.696,11.917,31.083,19.167
2011-08-01,4.042,19.417,40.083,20.667
2011-08-02,5.458,26.583,62.083,35.5
2011-08-03,4.833,27.417,58.875,31.458
2011-08-04,3.375,21.917,57.292,35.375
2011-08-05,4.13,20.565,60.652,40.087
2011-08-06,3.958,17.292,43.458,26.167
2011-08-07,3.13,12.0,25.708,13.708
2011-08-08,3.875,21.833,56.958,35.125
2011-08-09,4.333,26.208,60.833,34.625
2011-08-10,3.875,27.333,52.0,24.667
2011-08-11,2.833,13.875,31.833,17.958
2011-08-12,3.292,14.542,27.583,13.042
2011-08-13,5.208,15.458,29.167,13.708
2011-08-14,4.565,11.75,17.583,5.833
2011-08-15,4.417,11.263,24.316,13.053
2011-08-16,4.375,13.091,27.136,14.045
2011-08-17,5.125,21.458,41.75,20.292
2011-08-18,5.125,22.933,48.8,25.867
2011-08-19,3.609,18.364,38.727,20.364
2011-08-20,3.458,18.125,44.125,26.0
2011-08-21,3.217,14.958,27.625,12.667
2011-08-22,3.667,25.292,56.958,31.667
2011-08-23,4.708,27.667,68.5,40.833
2011-08-24,3.542,22.75,55.667,32.917
2011-08-25,3.208,17.667,60.333,42.667
2011-08-26,3.542,17.091,65.318,48.227
2011-08-27,3.625,16.5,45.667,29.167
2011-08-28,3.957,14.583,26.5,11.917
2011-08-29,3.583,24.458,53.667,29.208
2011-08-30,3.792,23.125,56.667,33.542
2011-08-31,3.667,23.0,57.25,34.25
2011-09-01,3.292,14.5,47.542,33.042
2011-09-02,3.174,14.348,42.826,28.478
2011-09-03,3.167,8.917,23.042,14.125
2011-09-04,2.435,8.208,19.208,11.0
2011-09-05,3.083,19.125,41.667,22.542
2011-09-06,2.458,15.375,31.417,16.042
2011-09-07,3.708,27.917,66.583,38.667
2011-09-08,4.292,32.167,61.708,29.542
2011-09-09,5.208,36.917,72.5,35.583
2011-09-10,4.333,26.375,47.75,21.375
2011-09-11,4.478,14.75,27.458,12.708
2011-09-12,4.625,23.042,59.333,36.292
2011-09-13,4.708,27.25,66.625,39.375
2011-09-14,5.042,30.0,67.0,37.0
2011-09-15,4.375,24.583,55.708,31.125
2011-09-16,3.696,16.957,41.609,24.652
2011-09-17,3.542,14.167,42.375,28.208
2011-09-18,3.565,12.417,25.042,12.625
2011-09-19,3.542,13.667,31.083,17.417
2011-09-20,4.292,24.5,76.25,51.75
2011-09-21,3.5,16.417,44.792,28.375
2011-09-22,3.958,19.25,48.792,29.542
2011-09-23,3.542,13.792,28.333,14.542
2011-09-24,4.375,17.917,40.0,22.083
2011-09-25,4.174,15.292,32.458,17.167
2011-09-26,5.292,23.583,88.625,65.042
2011-09-27,4.667,23.583,80.292,56.708
2011-09-28,4.542,29.375,75.125,45.75
2011-09-29,4.25,26.917,65.0,38.083
2011-09-30,4.565,27.826,65.217,37.391
2011-10-01,2.5,6.667,10.667,4.0
2011-10-02,2.739,11.292,22.458,11.167
2011-10-03,2.208,11.75,24.333,12.583
2011-10-04,3.458,27.417,62.958,35.542
2011-10-05,4.625,28.958,91.792,62.833
2011-10-06,2.542,18.083,41.458,23.375
2011-10-07,3.333,18.875,44.625,25.75
2011-10-08,3.875,22.75,45.667,22.917
2011-10-09,5.087,15.542,28.542,13.0
2011-10-10,5.083,19.25,37.417,18.167
2011-10-11,5.375,30.333,71.0,40.667
2011-10-12,4.333,19.042,43.25,24.208
2011-10-13,5.458,28.875,76.917,48.042
2011-10-14,6.091,31.381,81.095,49.714
2011-10-15,6.25,20.083,57.208,37.125
2011-10-16,4.87,13.208,28.958,15.75
2011-10-17,5.0,24.625,52.667,28.042
2011-10-18,4.25,24.25,51.417,27.167
2011-10-19,5.208,25.5,80.458,54.958
2011-10-20,5.792,27.25,88.958,61.708
2011-10-21,5.167,23.792,78.042,54.25
2011-10-22,5.333,19.792,56.0,36.208
2011-10-23,5.13,14.625,34.458,19.833
2011-10-24,4.542,23.083,65.833,42.75
2011-10-25,3.917,16.042,41.292,25.25
2011-10-26,3.583,14.833,28.25,13.417
2011-10-27,4.625,22.625,50.542,27.917
2011-10-28,5.087,26.0,78.435,52.435
2011-10-29,5.375,24.333,58.917,34.583
2011-10-30,5.174,16.125,37.625,21.5
2011-10-31,3.375,13.667,33.208,19.542
2011-11-01,5.125,27.875,74.417,46.542
2011-11-02,5.083,27.333,66.417,39.083
2011-11-03,5.958,24.083,61.833,37.75
2011-11-04,5.792,27.0,88.833,61.833
2011-11-05,6.125,23.667,66.667,43.0
2011-11-06,5.522,14.583,40.375,25.792
2011-11-07,4.125,13.875,32.0,18.125
2011-11-08,3.833,14.25,26.0,11.75
2011-11-09,4.583,23.417,62.792,39.375
2011-11-10,5.125,24.0,76.75,52.75
2011-11-11,5.478,22.261,78.043,55.783
2011-11-12,5.458,19.042,55.375,36.333
2011-11-13,4.696,13.167,30.125,16.958
2011-11-14,4.417,22.5,49.375,26.875
2011-11-15,3.958,16.542,36.833,20.292
2011-11-16,3.792,14.833,38.167,23.333
2011-11-17,3.917,17.458,40.875,23.417
2011-11-18,5.542,27.625,91.292,63.667
2011-11-19,6.333,22.125,73.625,51.5
2011-11-20,3.739,8.833,18.792,9.958
2011-11-21,3.917,13.375,33.875,20.5
2011-11-22,4.667,20.0,62.375,42.375
2011-11-23,5.5,24.333,61.708,37.375
2011-11-24,4.917,20.708,56.958,36.25
2011-11-25,3.864,19.955,46.091,26.136
2011-11-26,4.083,20.375,48.083,27.708
2011-11-27,5.174,19.458,47.292,27.833
2011-11-28,7.5,30.5,121.375,90.875
2011-11-29,6.458,31.958,118.833,86.875
2011-11-30,5.625,31.125,87.542,56.417
2011-12-01,3.625,20.667,49.0,28.333
2011-12-02,4.083,23.625,66.042,42.417
2011-12-03,5.583,20.417,66.875,46.458
2011-12-04,3.261,7.75,14.667,6.917
2011-12-05,4.375,16.875,41.375,24.5
2011-12-06,5.375,27.5,67.417,39.917
2011-12-07,6.708,28.542,103.792,75.25
2011-12-08,6.348,27.043,93.478,66.435
2011-12-09,4.667,20.292,51.458,31.167
2011-12-10,5.917,23.917,64.167,40.25
2011-12-11,4.304,15.708,35.875,20.167
2011-12-12,6.083,30.333,106.208,75.875
2011-12-13,4.208,18.875,51.875,33.0
2011-12-14,5.792,29.125,101.958,72.833
2011-12-15,4.667,19.833,68.625,48.792
2011-12-16,4.375,20.0,63.667,43.667
2011-12-17,3.708,15.0,37.917,22.917
2011-12-18,3.783,15.042,33.833,18.792
2011-12-19,4.875,24.0,79.542,55.542
2011-12-20,4.833,23.125,76.708,53.583
2011-12-21,5.917,30.375,111.125,80.75
2011-12-22,7.13,28.957,103.348,74.391
2011-12-23,4.25,15.333,32.417,17.083
2011-12-24,5.25,20.25,46.042,25.792
2011-12-25,4.043,14.125,29.375,15.25
2011-12-26,4.333,20.667,53.75,33.083
2011-12-27,3.917,20.417,52.458,32.042
2011-12-28,3.5,17.0,37.5,20.5
2011-12-29,5.083,23.75,57.625,33.875
2011-12-30,3.458,11.083,19.875,8.792
2011-12-31,3.333,8.833,12.833,4.0
2012-01-01,3.125,7.417,11.5,4.083
2012-01-02,3.5,8.458,14.958,6.5
2012-01-03,2.5,4.583,6.833,2.25
2012-01-04,2.565,7.696,14.217,6.522
2012-01-05,3.583,14.625,27.875,13.25
2012-01-06,3.625,13.333,20.167,6.833
2012-01-07,4.708,24.583,56.0,31.417
2012-01-08,6.208,33.625,98.125,64.5
2012-01-09,4.75,26.458,71.875,45.417
2012-01-10,3.75,20.958,42.25,21.292
2012-01-11,3.913,21.542,47.125,25.583
2012-01-12,5.583,30.292,71.958,41.667
2012-01-13,5.25,22.042,37.583,15.542
2012-01-14,4.875,20.833,37.667,16.833
2012-01-15,3.625,14.75,25.875,11.125
2012-01-16,4.25,26.208,63.042,36.833
2012-01-17,4.625,23.167,53.208,30.042
2012-01-18,3.091,18.348,35.739,17.391
2012-01-19,3.333,15.792,30.708,14.917
2012-01-20,3.708,12.125,19.542,7.417
2012-01-21,4.75,25.083,53.25,28.167
2012-01-22,5.208,27.833,68.417,40.583
2012-01-23,4.417,29.458,70.375,40.917
2012-01-24,4.708,29.75,66.542,36.792
2012-01-25,3.739,18.333,53.917,35.583
2012-01-26,3.042,15.292,33.917,18.625
2012-01-27,2.708,9.333,15.542,6.208
2012-01-28,3.25,19.875,40.625,20.75
2012-01-29,3.0,18.625,36.167,17.542
2012-01-30,3.625,14.042,24.5,10.458
2012-01-31,4.958,28.458,61.333,32.875
2012-02-01,6.636,39.045,97.455,58.409
2012-02-02,5.042,21.0,44.75,23.75
2012-02-03,3.417,10.0,15.583,5.583
2012-02-04,4.917,30.792,66.458,35.667
2012-02-05,3.083,12.75,21.0,8.25
2012-02-06,5.208,29.75,76.333,46.583
2012-02-07,4.708,26.583,69.125,42.542
2012-02-08,3.087,11.208,19.875,8.667
2012-02-09,3.25,12.6,27.333,14.733
2012-02-10,3.583,12.0,18.583,6.583
2012-02-11,4.042,11.042,17.625,6.583
2012-02-12,4.583,24.625,54.042,29.417
2012-02-13,4.417,20.75,45.583,24.833
2012-02-14,4.25,28.083,58.5,30.417
2012-02-15,5.318,30.13,76.739,46.609
2012-02-16,3.083,10.333,18.25,7.917
2012-02-17,3.125,10.833,22.167,11.333
2012-02-18,4.5,27.333,59.375,32.042
2012-02-19,2.792,9.208,12.833,3.625
2012-02-20,2.833,12.292,25.25,12.958
2012-02-21,3.125,14.875,27.042,12.167
2012-02-22,4.696,22.042,38.667,16.625
2012-02-23,3.333,11.458,17.167,5.708
2012-02-24,2.708,8.167,11.917,3.75
2012-02-25,2.625,13.292,26.417,13.125
2012-02-26,4.167,27.542,59.583,32.042
2012-02-27,5.042,33.583,72.542,38.958
2012-02-28,4.522,27.87,51.696,23.826
