date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,62.0,48.0,33.0,7.583,8.125,0.542,0.125,10.792,9.0,3.617,0.0
2011-01-02,74.0,53.25,39.0,4.958,5.75,0.792,0.0,7.583,10.3,4.175,-1.1
2011-01-03,57.0,44.708,26.0,3.292,3.542,0.25,0.0,4.292,8.5,3.992,0.7
2011-01-04,73.0,55.25,35.0,7.208,7.875,0.667,0.0,6.75,7.5,2.554,-0.8
2011-01-05,69.0,50.042,26.0,9.043,9.826,0.783,0.0,5.087,6.7,2.554,-0.7
2011-01-06,58.0,42.417,23.0,14.042,16.875,2.833,0.292,7.458,10.5,4.3,-1.6
2011-01-07,67.0,48.625,23.0,7.333,8.167,0.833,0.0,3.75,7.2,3.267,-0.5
2011-01-08,62.0,47.083,32.0,6.292,6.667,0.375,0.0,5.5,7.5,2.954,-0.6
2011-01-09,60.0,46.833,28.0,13.5,16.0,2.5,0.25,13.083,8.9,3.412,-0.9
2011-01-10,64.0,49.75,29.0,18.75,22.292,3.542,0.375,14.417,10.5,4.871,0.3
2011-01-11,64.0,49.417,29.0,12.043,14.652,2.609,0.043,14.87,7.1,2.55,-0.3
2011-01-12,48.0,38.375,26.0,7.792,8.833,1.042,0.0,4.292,5.8,1.308,-2.0
2011-01-13,56.0,41.25,19.0,9.0,11.0,2.0,0.167,5.333,12.1,3.742,-2.3
2011-01-14,63.0,43.792,28.0,7.125,8.0,0.875,0.0,8.125,6.2,2.829,0.2
2011-01-15,65.0,47.625,30.0,5.875,6.625,0.75,0.083,7.625,7.9,3.325,-1.0
2011-01-16,53.0,42.792,34.0,14.417,17.042,2.625,0.0,16.167,6.0,3.308,1.7
2011-01-17,53.0,39.792,24.0,11.292,13.208,1.917,0.083,10.292,8.0,3.683,0.6
2011-01-18,54.0,45.0,30.0,19.13,23.652,4.522,0.304,21.174,8.3,2.762,-1.5
2011-01-19,87.0,54.792,37.0,15.958,18.875,2.917,0.333,16.958,9.7,4.817,0.2
2011-01-20,94.0,92.042,89.0,23.25,28.75,5.5,0.0,20.417,2.3,1.3,0.4
2011-01-21,93.0,89.75,83.0,16.917,19.667,2.75,0.0,13.875,3.8,2.725,1.7
2011-01-22,94.0,82.0,67.0,14.25,17.333,3.083,0.0,9.042,10.2,6.042,3.0
2011-01-23,79.0,54.125,36.0,9.667,11.375,1.708,0.0,6.333,9.9,5.692,1.7
2011-01-24,69.0,47.583,27.0,12.25,14.542,2.292,0.0,7.5,5.9,2.067,-0.9
2011-01-25,70.0,48.261,23.0,15.13,17.957,2.826,0.174,10.304,7.5,2.139,-1.9
2011-01-26,71.0,49.583,35.0,9.833,11.292,1.458,0.0,5.167,3.4,0.483,-2.7
2011-01-27,66.0,53.833,35.0,12.125,14.417,2.292,0.0,8.5,4.6,0.171,-4.0
2011-01-28,69.0,48.292,30.0,7.75,8.5,0.75,0.0,8.25,3.8,0.429,-1.8
2011-01-29,68.0,49.875,30.0,9.5,10.375,0.875,0.0,6.833,3.2,-0.038,-2.9
2011-01-30,58.0,43.708,28.0,8.917,10.417,1.5,0.0,6.167,4.7,0.608,-2.4
2011-01-31,64.0,46.292,18.0,8.875,10.542,1.667,0.042,6.042,7.9,1.408,-3.5
2011-02-01,59.0,49.375,35.0,10.478,12.652,2.174,0.217,6.826,8.0,1.0,-4.1
2011-02-02,61.0,39.333,18.0,7.5,8.5,1.0,0.0,7.833,3.0,-0.033,-2.5
2011-02-03,72.0,41.875,16.0,16.792,21.167,4.375,0.125,8.625,6.3,0.538,-5.1
