date,PM25_mean,RAIN_sum,SO2_mean,SPM_mean
2011-01-01,,,1.375,17.458
2011-01-02,,,1.208,12.75
2011-01-03,,,1.174,10.042
2011-01-04,,,1.583,12.542
2011-01-05,,,1.292,10.292
2011-01-06,,,1.304,11.875
2011-01-07,,,1.125,12.75
2011-01-08,,,1.167,11.333
2011-01-09,,,1.167,17.708
2011-01-10,,,1.217,20.083
2011-01-11,,,1.25,19.375
2011-01-12,,,1.0,11.583
2011-01-13,,,1.458,11.417
2011-01-14,,,1.333,16.875
2011-01-15,,,1.167,16.542
2011-01-16,,,1.333,19.917
2011-01-17,,,1.13,18.667
2011-01-18,,,1.292,21.958
2011-01-19,,,1.583,23.167
2011-01-20,,,1.0,26.542
2011-01-21,,,1.0,18.292
2011-01-22,,,1.0,13.542
2011-01-23,,,1.0,11.667
2011-01-24,,,1.0,15.0
2011-01-25,,,1.208,18.583
2011-01-26,,,1.125,12.042
2011-01-27,,,1.458,15.792
2011-01-28,,,1.25,12.792
2011-01-29,,,1.125,10.208
2011-01-30,,,1.5,11.583
2011-01-31,,,1.13,13.417
2011-02-01,,,1.583,13.542
2011-02-02,,,1.333,10.875
2011-02-03,,,1.391,13.125
2011-02-04,,,1.5,15.417
2011-02-05,,,1.75,23.0
2011-02-06,,,1.5,40.667
2011-02-07,,,1.087,24.625
2011-02-08,,,1.417,12.375
2011-02-09,,,1.208,10.958
2011-02-10,,,1.375,13.0
2011-02-11,,,1.125,14.042
2011-02-12,,,1.167,13.042
2011-02-13,,,1.708,17.5
2011-02-14,,,1.348,33.375
2011-02-15,,,1.458,20.75
2011-02-16,,,0.85,13.667
2011-02-17,,,0.952,21.2
2011-02-18,,,0.833,13.0
2011-02-19,,,1.125,13.125
2011-02-20,,,1.667,16.583
2011-02-21,,,1.583,18.375
2011-02-22,,,2.292,25.458
2011-02-23,,,1.542,29.792
2011-02-24,,,2.783,26.292
2011-02-25,,,1.125,22.083
2011-02-26,,,0.792,11.75
2011-02-27,,,1.208,16.292
2011-02-28,,,1.375,17.292
2011-03-01,,,1.136,21.792
2011-03-02,,,1.304,32.75
2011-03-03,,,0.875,21.875
2011-03-04,,,0.958,25.042
2011-03-05,,,0.75,24.833
2011-03-06,,,0.958,22.625
2011-03-07,,,1.25,22.583
2011-03-08,,,1.583,29.0
2011-03-09,,,0.565,27.625
2011-03-10,,,0.042,7.167
2011-03-11,,,0.917,14.792
2011-03-12,,,0.958,12.083
2011-03-13,,,0.917,11.208
2011-03-14,,,1.042,17.208
2011-03-15,,,1.333,18.625
2011-03-16,,,1.409,24.333
2011-03-17,,,1.292,37.417
2011-03-18,,,0.833,28.875
2011-03-19,,,0.083,13.167
2011-03-20,,,0.667,13.208
2011-03-21,,,0.458,13.625
2011-03-22,,,1.708,17.708
2011-03-23,,,1.174,30.375
2011-03-24,,,0.333,20.042
2011-03-25,,,1.167,14.333
2011-03-26,,,1.083,16.167
2011-03-27,,,1.625,20.25
2011-03-28,,,1.5,24.292
2011-03-29,,,1.167,20.042
2011-03-30,,,1.714,27.625
2011-03-31,,,0.917,20.792
2011-04-01,,,1.174,23.043
2011-04-02,,,1.375,27.708
2011-04-03,,,1.0,15.375
