date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,4.667,5.208,0.542,,0.75,7.958,60.0,-13.208,-58.0
2011-01-02,3.333,3.833,0.5,,0.5,3.583,51.0,-3.292,-49.0
2011-01-03,4.625,5.5,0.875,,0.5,3.875,54.0,-9.167,-57.0
2011-01-04,4.667,5.75,1.083,,0.708,3.542,45.0,-11.0,-71.0
2011-01-05,3.708,4.542,0.833,,0.417,4.208,35.0,-10.0,-52.0
2011-01-06,7.636,9.182,1.545,,0.455,3.958,73.0,-5.583,-75.0
2011-01-07,2.875,3.125,0.25,,0.292,2.75,42.0,-2.625,-35.0
2011-01-08,3.667,4.167,0.5,,0.292,5.208,59.0,-8.333,-51.0
2011-01-09,6.083,6.958,0.875,,0.5,8.25,77.0,-9.625,-77.0
2011-01-10,8.708,10.333,1.625,,0.583,8.083,71.0,3.917,-52.0
2011-01-11,7.583,10.125,2.542,,0.542,7.083,46.0,-14.875,-53.0
2011-01-12,5.167,6.208,1.042,,0.5,3.708,32.0,-28.917,-79.0
2011-01-13,4.5,5.542,1.042,,0.5,2.917,87.0,-8.75,-96.0
2011-01-14,6.042,7.75,1.708,,0.542,8.167,43.0,-14.042,-57.0
2011-01-15,3.708,4.375,0.667,,0.542,4.917,61.0,-7.875,-62.0
2011-01-16,7.875,9.583,1.708,,0.792,7.375,38.0,-8.292,-47.0
2011-01-17,6.174,7.391,1.217,,0.478,6.875,47.0,-6.625,-53.0
2011-01-18,9.167,10.917,1.75,,0.708,11.542,60.0,-20.167,-82.0
2011-01-19,10.292,12.167,1.875,,0.625,14.917,76.0,5.292,-60.0
2011-01-20,13.917,17.333,3.417,,0.167,14.333,4.0,-3.25,-9.0
2011-01-21,10.75,14.0,3.25,,0.458,9.708,9.0,-0.875,-9.0
2011-01-22,4.542,6.292,1.75,,0.333,5.208,53.0,14.417,-13.0
2011-01-23,4.875,7.25,2.375,,0.458,3.583,61.0,8.417,-22.0
2011-01-24,6.292,7.792,1.5,,0.583,3.125,17.0,-21.333,-60.0
2011-01-25,6.875,8.542,1.667,,0.75,7.667,39.0,-24.417,-79.0
2011-01-26,4.75,5.75,1.0,,0.458,4.385,11.0,-36.958,-87.0
2011-01-27,7.292,9.25,1.958,,0.417,14.0,7.0,-43.75,-89.0
2011-01-28,5.458,6.667,1.208,,0.5,7.625,7.0,-37.5,-71.0
2011-01-29,3.292,3.708,0.417,,0.458,4.167,6.0,-32.542,-68.0
2011-01-30,6.667,8.083,1.417,,0.458,5.25,25.0,-31.208,-66.0
2011-01-31,5.875,7.5,1.625,,0.417,3.792,49.0,-34.0,-98.0
2011-02-01,6.524,7.524,1.0,,0.714,6.391,44.0,-45.304,-144.0
2011-02-02,4.333,5.833,1.5,,1.167,6.5,-1.0,-36.083,-74.0
2011-02-03,5.583,6.875,1.292,,0.917,6.458,32.0,-35.292,-94.0
2011-02-04,4.708,5.333,0.625,,1.125,5.708,69.0,-21.667,-102.0
2011-02-05,5.875,6.5,0.625,,1.042,13.167,67.0,-1.167,-57.0
2011-02-06,9.958,11.542,1.583,,1.333,30.083,42.0,-6.208,-65.0
2011-02-07,7.458,10.0,2.542,,1.042,9.417,95.0,33.542,-8.0
2011-02-08,2.958,3.792,0.833,,0.917,4.5,46.0,3.417,-39.0
2011-02-09,5.583,6.708,1.125,,1.0,4.458,25.0,-20.333,-63.0
2011-02-10,4.5,5.542,1.042,,0.958,4.75,72.0,-9.167,-78.0
2011-02-11,4.083,4.625,0.542,,0.958,7.125,35.0,-16.0,-59.0
2011-02-12,3.375,3.792,0.417,,0.875,6.167,28.0,-23.583,-79.0
2011-02-13,8.043,9.217,1.174,,0.818,11.458,52.0,-2.958,-56.0
2011-02-14,10.708,12.833,2.125,,0.625,20.75,44.0,2.042,-39.0
2011-02-15,4.542,5.667,1.125,,0.833,9.875,71.0,11.458,-32.0
2011-02-16,10.708,11.958,1.25,,0.417,11.042,47.0,-9.167,-46.0
2011-02-17,10.583,12.917,2.333,,0.458,15.5,32.0,-19.583,-61.0
2011-02-18,3.917,4.75,0.833,,0.458,6.917,10.0,-35.625,-83.0
2011-02-19,4.0,4.625,0.625,,0.625,6.75,58.0,-32.542,-109.0
2011-02-20,6.208,7.458,1.25,,0.792,7.292,71.0,-8.167,-87.0
2011-02-21,6.542,7.708,1.167,,0.75,11.292,98.0,16.833,-62.0
2011-02-22,7.875,9.0,1.125,,1.458,21.667,86.0,33.625,-35.0
2011-02-23,8.042,9.708,1.667,,0.583,19.0,93.0,33.958,0.0
2011-02-24,6.542,7.458,0.917,,1.792,18.5,100.0,46.75,-5.0
2011-02-25,8.958,11.917,2.958,,0.417,18.75,50.0,15.417,-12.0
2011-02-26,3.042,3.542,0.5,,0.625,5.708,39.0,-2.417,-35.0
2011-02-27,4.292,5.125,0.833,,0.417,7.792,26.0,-22.333,-66.0
2011-02-28,8.13,9.087,0.957,,0.435,11.174,56.0,-16.875,-82.0
2011-03-01,9.0,10.583,1.583,,0.708,11.625,102.0,32.0,-7.0
2011-03-02,14.792,19.458,4.667,,0.5,14.75,35.0,13.375,-12.0
2011-03-03,6.875,8.083,1.208,,0.542,9.917,83.0,27.417,-22.0
2011-03-04,6.083,6.875,0.792,,0.542,20.458,50.0,5.5,-44.0
2011-03-05,13.75,26.125,12.375,,0.458,8.583,12.0,3.167,-6.0
2011-03-06,7.333,9.792,2.458,,0.542,6.333,165.0,64.792,5.0
2011-03-07,6.0,7.083,1.083,,1.042,17.583,106.0,63.625,21.0
