date,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,17.375,22.542,5.167,15.625,8.9,2.512,-1.6
2011-01-02,11.458,15.5,4.042,13.042,11.4,3.233,-2.7
2011-01-03,4.875,5.5,0.625,3.25,9.2,4.617,1.7
2011-01-04,13.708,17.792,4.083,9.083,9.4,2.288,-3.2
2011-01-05,10.13,11.652,1.522,7.435,8.3,2.662,-1.1
2011-01-06,15.875,20.083,4.208,9.542,10.9,4.762,-0.9
2011-01-07,7.917,9.083,1.167,5.708,8.5,3.596,0.1
2011-01-08,7.083,8.125,1.042,6.417,8.7,3.3,-0.1
2011-01-09,23.5,30.167,6.667,19.583,8.6,2.571,-2.3
2011-01-10,23.708,28.833,5.125,14.792,10.0,4.954,0.4
2011-01-11,17.333,28.083,10.75,14.792,8.5,2.471,-0.5
2011-01-12,16.583,21.667,5.083,8.542,6.6,1.467,-1.9
2011-01-13,14.417,19.25,4.833,7.042,12.7,3.817,-3.2
2011-01-14,10.917,12.708,1.792,8.458,7.3,3.025,-0.3
2011-01-15,7.583,8.625,1.042,10.167,7.4,3.6,-0.2
2011-01-16,21.417,32.042,10.625,19.708,5.5,3.225,1.6
2011-01-17,33.762,54.524,20.762,22.833,9.3,3.408,-0.6
2011-01-18,32.708,48.875,16.167,25.375,7.3,1.95,-3.2
2011-01-19,23.292,36.75,13.458,23.708,9.3,4.142,-2.2
2011-01-20,29.333,37.5,8.167,37.458,2.4,1.517,0.3
2011-01-21,21.167,25.292,4.125,16.458,4.5,3.042,1.8
2011-01-22,19.042,24.833,5.792,19.583,10.4,5.646,2.6
2011-01-23,14.667,22.917,8.25,14.333,11.0,5.462,1.4
2011-01-24,14.167,17.375,3.208,10.333,6.1,2.288,-0.7
2011-01-25,22.5,32.5,10.0,14.292,9.0,2.638,-2.0
2011-01-26,15.417,18.917,3.5,7.833,4.3,0.929,-2.6
2011-01-27,25.667,38.792,13.125,13.292,5.9,-0.217,-5.3
2011-01-28,11.25,17.708,6.458,12.25,4.8,0.583,-3.7
2011-01-29,5.542,6.375,0.833,6.667,4.6,0.817,-1.9
2011-01-30,14.292,16.292,2.0,8.458,5.5,1.058,-2.2
2011-01-31,16.25,19.25,3.0,8.583,8.9,1.671,-3.4
2011-02-01,19.125,26.333,7.208,11.125,8.5,1.075,-4.6
2011-02-02,12.273,13.955,1.682,7.792,4.6,0.167,-2.7
2011-02-03,18.958,25.417,6.458,11.25,7.4,1.021,-3.8
2011-02-04,13.5,15.292,1.792,9.917,11.5,3.021,-3.6
2011-02-05,16.25,18.458,2.208,18.958,9.3,4.017,-0.1
2011-02-06,26.667,36.042,9.375,42.125,7.1,3.221,-1.6
2011-02-07,26.083,45.833,19.75,40.375,11.1,6.983,3.7
2011-02-08,5.5,6.167,0.667,4.261,8.7,5.154,1.5
2011-02-09,12.958,14.917,1.958,6.083,8.2,2.654,-1.5
2011-02-10,12.958,14.417,1.458,5.833,9.6,4.071,-0.7
2011-02-11,7.958,8.417,0.458,7.667,7.2,3.1,-0.6
2011-02-12,6.25,6.625,0.375,8.625,6.6,2.342,-1.9
2011-02-13,17.087,20.304,3.217,18.0,7.1,3.454,-1.0
2011-02-14,32.125,55.333,23.208,41.333,6.1,2.904,0.0
2011-02-15,14.458,32.583,18.125,24.667,11.9,5.233,1.5
2011-02-16,15.417,18.208,2.792,14.208,5.7,2.612,0.2
2011-02-17,16.958,27.042,10.083,15.542,8.0,2.517,-3.1
2011-02-18,7.875,8.667,0.792,7.542,4.0,0.5,-2.8
2011-02-19,12.625,13.708,1.083,10.792,7.8,1.65,-3.9
2011-02-20,23.625,28.583,4.958,11.917,10.5,3.446,-3.3
2011-02-21,16.375,18.5,2.125,13.208,13.7,6.55,-0.5
2011-02-22,16.208,19.333,3.125,23.875,11.2,7.142,2.5
2011-02-23,18.375,23.875,5.5,37.5,12.6,7.821,4.6
2011-02-24,9.125,9.333,0.208,25.333,14.6,10.062,6.6
2011-02-25,9.542,10.375,0.833,14.417,9.3,6.242,2.7
2011-02-26,6.083,6.625,0.542,9.208,8.4,4.062,1.8
