date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,7.625,8.25,0.625,,13.083,76.0,3.333,-53.0
2011-01-02,5.0,5.625,0.625,,8.958,75.0,16.792,-41.0
2011-01-03,6.0,6.458,0.458,,6.0,78.0,20.542,-22.0
2011-01-04,6.435,7.957,1.522,,6.792,62.0,3.917,-61.0
2011-01-05,4.583,6.208,1.625,,6.958,64.0,18.792,-12.0
2011-01-06,8.167,10.25,2.083,,8.333,96.0,33.25,-10.0
2011-01-07,5.208,6.75,1.542,,6.167,65.0,23.417,-9.0
2011-01-08,4.875,6.542,1.667,,5.333,67.0,15.5,-20.0
2011-01-09,12.458,15.0,2.542,,12.042,77.0,6.042,-51.0
2011-01-10,16.25,19.625,3.375,,12.083,89.0,27.458,-29.0
2011-01-11,12.409,19.591,7.182,,11.957,83.0,12.708,-32.0
2011-01-12,9.792,13.333,3.542,,5.167,53.0,-2.542,-46.0
2011-01-13,12.958,17.917,4.958,,6.083,99.0,19.708,-69.0
2011-01-14,6.417,8.0,1.583,,8.958,54.0,20.75,-9.0
2011-01-15,5.875,7.25,1.375,,9.292,71.0,27.75,-15.0
2011-01-16,13.455,16.682,3.227,,15.208,50.0,18.542,-3.0
2011-01-17,12.75,15.75,3.0,,8.125,69.0,17.125,-33.0
2011-01-18,21.167,28.917,7.75,,15.458,61.0,-2.542,-59.0
2011-01-19,17.625,23.458,5.833,,18.167,92.0,27.667,-32.0
2011-01-20,14.5,18.125,3.625,,18.917,13.0,2.25,-7.0
2011-01-21,11.375,14.208,2.833,,8.917,35.0,12.917,-2.0
2011-01-22,5.417,7.208,1.792,,6.583,93.0,48.5,11.0
2011-01-23,5.391,6.87,1.478,,7.583,93.0,47.875,10.0
2011-01-24,11.75,15.708,3.958,,8.0,51.0,6.875,-34.0
2011-01-25,14.792,23.458,8.667,,11.125,63.0,5.292,-48.0
2011-01-26,15.917,23.792,7.875,,8.708,46.0,-10.25,-56.0
2011-01-27,18.833,32.958,14.125,,12.75,48.0,-21.167,-129.0
2011-01-28,9.5,13.958,4.458,,10.708,42.0,-6.75,-59.0
2011-01-29,2.708,5.208,2.5,,7.958,38.0,-4.583,-30.0
2011-01-30,9.083,12.208,3.125,,6.792,54.0,-3.042,-41.0
2011-01-31,13.583,18.125,4.542,,6.333,62.0,-1.333,-58.0
2011-02-01,15.125,23.833,8.708,,10.5,83.0,-5.0,-70.0
2011-02-02,6.208,9.375,3.167,,6.5,10.0,-15.625,-41.0
2011-02-03,11.783,16.0,4.217,,7.75,49.0,-7.167,-51.0
2011-02-04,12.083,21.042,8.958,,10.958,82.0,8.0,-134.0
2011-02-05,9.25,11.208,1.958,,16.75,76.0,21.125,-26.0
2011-02-06,15.125,20.792,5.667,,32.708,64.0,16.417,-43.0
2011-02-07,18.261,28.609,10.348,,16.292,109.0,60.917,17.0
2011-02-08,4.792,6.875,2.083,,6.083,88.0,38.167,-18.0
2011-02-09,10.083,13.542,3.458,,6.625,60.0,8.333,-35.0
2011-02-10,10.542,13.875,3.333,,8.167,91.0,24.375,-27.0
2011-02-11,8.0,10.458,2.458,,7.958,69.0,13.792,-43.0
2011-02-12,8.042,10.708,2.667,,8.667,64.0,5.292,-51.0
2011-02-13,11.917,15.542,3.625,,15.75,54.0,16.75,-32.0
2011-02-14,17.292,24.625,7.333,,22.125,51.0,14.167,-20.0
2011-02-15,9.625,13.042,3.417,,10.833,96.0,43.583,2.0
2011-02-16,4.583,7.667,3.083,,6.783,64.0,11.0,-23.0
2011-02-17,,,,,5.542,45.0,0.875,-44.0
2011-02-18,,,,,7.875,13.0,-11.458,-42.0
2011-02-19,,,,,7.125,70.0,-0.5,-58.0
2011-02-20,,,,,5.333,91.0,9.417,-75.0
2011-02-21,,,,,10.958,123.0,39.208,-52.0
2011-02-22,,,,,21.0,102.0,54.792,15.0
2011-02-23,,,,,21.292,126.0,65.167,29.0
2011-02-24,,,,,24.75,129.0,76.5,43.0
2011-02-25,,,,,13.875,77.0,42.75,6.0
2011-02-26,,,,,7.458,66.0,28.083,-2.0
2011-02-27,,,,,8.667,50.0,9.125,-22.0
2011-02-28,,,,,13.75,67.0,8.958,-39.0
2011-03-01,,,,,15.75,129.0,61.0,-4.0
2011-03-02,,,,,28.833,51.0,32.667,12.0
2011-03-03,,,,,14.417,107.0,55.667,21.0
2011-03-04,,,,,21.333,59.0,30.542,12.0
2011-03-05,,,,,11.792,65.0,27.125,-2.0
2011-03-06,,,,,17.917,177.0,101.167,31.0
2011-03-07,,,,,24.583,131.0,101.542,71.0
2011-03-08,,,,,30.417,102.0,79.583,58.0
2011-03-09,,,,,21.375,72.0,49.125,13.0
2011-03-10,,,,,4.583,60.0,37.042,13.0
2011-03-11,,,,,11.083,61.0,37.0,6.0
2011-03-12,,,,,5.542,79.0,30.375,-24.0
2011-03-13,,,,,8.333,72.0,24.917,-21.0
2011-03-14,,,,,11.583,98.0,33.292,-15.0
2011-03-15,,,,,15.208,101.0,32.542,-30.0
2011-03-16,,,,,18.5,97.0,37.792,-26.0
2011-03-17,,,,,23.958,113.0,60.375,11.0
2011-03-18,,,,,25.0,128.0,80.625,50.0
2011-03-19,,,,,5.208,106.0,54.5,-4.0
2011-03-20,,,,,10.125,117.0,46.583,-23.0
2011-03-21,,,,,9.955,104.0,45.458,-5.0
2011-03-22,,,,,15.5,131.0,53.083,-34.0
2011-03-23,,,,,29.375,86.0,59.0,35.0
2011-03-24,,,,,14.917,132.0,70.333,15.0
