date,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,7.208,-37.0,-59.625,-95.0
2011-01-02,3.75,-15.0,-35.625,-74.0
2011-01-03,4.042,-42.0,-78.833,-124.0
2011-01-04,4.583,-31.0,-59.083,-96.0
2011-01-05,5.522,5.0,-30.565,-57.0
2011-01-06,6.833,-17.0,-39.542,-69.0
2011-01-07,5.25,-10.0,-41.458,-111.0
2011-01-08,4.75,-71.0,-97.5,-127.0
2011-01-09,7.875,-29.0,-62.583,-93.0
2011-01-10,7.25,-49.0,-76.542,-97.0
2011-01-11,4.125,-89.0,-105.375,-148.0
2011-01-12,6.542,-77.0,-124.958,-181.0
2011-01-13,5.083,-45.0,-79.75,-98.0
2011-01-14,2.75,-89.0,-101.75,-122.0
2011-01-15,3.875,-63.0,-91.083,-146.0
2011-01-16,9.333,-69.0,-119.792,-154.0
2011-01-17,9.667,-80.0,-131.542,-175.0
2011-01-18,11.458,-37.0,-88.333,-135.0
2011-01-19,8.913,-28.0,-74.25,-138.0
2011-01-20,8.5,-77.0,-132.917,-178.0
2011-01-21,9.583,-87.0,-130.0,-177.0
2011-01-22,9.292,-15.0,-47.542,-98.0
2011-01-23,4.167,-1.0,-24.042,-68.0
2011-01-24,4.375,-52.0,-83.167,-133.0
2011-01-25,4.208,-47.0,-78.917,-134.0
2011-01-26,4.375,-51.0,-106.167,-153.0
2011-01-27,5.042,-71.0,-106.042,-153.0
2011-01-28,7.958,-93.0,-133.042,-182.0
2011-01-29,8.708,-44.0,-83.583,-111.0
2011-01-30,6.909,-47.0,-92.833,-141.0
2011-01-31,6.05,-63.0,-96.958,-145.0
2011-02-01,7.375,-82.0,-108.5,-160.0
2011-02-02,4.826,-72.0,-114.625,-165.0
2011-02-03,6.174,-67.0,-117.167,-158.0
2011-02-04,8.375,-46.0,-82.583,-128.0
2011-02-05,3.958,-31.0,-53.792,-82.0
2011-02-06,5.083,11.0,-9.625,-38.0
2011-02-07,7.417,12.0,-3.792,-22.0
2011-02-08,4.958,-24.0,-58.042,-83.0
2011-02-09,7.042,-69.0,-96.792,-152.0
2011-02-10,3.458,-81.0,-89.583,-98.0
2011-02-11,3.708,-66.0,-89.417,-106.0
2011-02-12,3.458,-87.0,-97.5,-108.0
2011-02-13,5.083,-28.0,-63.042,-99.0
2011-02-14,9.5,11.0,-25.833,-56.0
2011-02-15,5.292,-4.0,-50.792,-82.0
2011-02-16,5.217,-54.0,-82.375,-119.0
2011-02-17,6.417,-56.0,-90.875,-133.0
2011-02-18,5.458,-67.0,-120.583,-169.0
2011-02-19,7.542,-69.0,-116.125,-172.0
2011-02-20,6.75,-22.0,-54.542,-94.0
2011-02-21,4.0,-25.0,-67.5,-94.0
2011-02-22,5.625,-17.0,-62.417,-108.0
2011-02-23,7.375,-5.0,-44.667,-84.0
2011-02-24,4.542,-33.0,-67.208,-141.0
2011-02-25,5.542,-66.0,-115.75,-163.0
