date,CH4_mean,NMHC_mean,SPM_mean,THC_mean
2011-01-01,185.75,6.042,6.167,191.792
2011-01-02,185.125,4.917,3.667,190.042
2011-01-03,184.833,5.083,4.5,189.917
2011-01-04,185.083,5.333,7.125,190.417
2011-01-05,188.609,5.87,10.708,194.478
2011-01-06,189.583,5.958,7.958,195.542
2011-01-07,190.042,5.417,9.583,195.458
2011-01-08,189.333,5.667,5.625,195.0
2011-01-09,189.083,6.875,13.167,195.958
2011-01-10,187.083,5.875,9.292,192.958
2011-01-11,188.833,5.375,9.167,194.208
2011-01-12,185.696,6.87,6.75,192.565
2011-01-13,185.875,8.208,13.083,194.083
2011-01-14,188.333,7.667,9.208,196.0
2011-01-15,187.708,7.375,10.375,195.083
2011-01-16,185.5,7.25,9.333,192.75
2011-01-17,186.095,7.476,8.045,193.571
2011-01-18,186.043,9.217,16.208,195.261
2011-01-19,186.042,7.0,8.5,193.042
2011-01-20,185.417,7.375,11.5,192.792
2011-01-21,184.875,7.25,10.792,192.125
2011-01-22,183.542,6.917,5.333,190.458
2011-01-23,186.833,6.625,9.583,193.458
2011-01-24,186.75,6.417,8.875,193.167
2011-01-25,187.913,8.261,10.583,196.174
2011-01-26,189.167,8.042,8.708,197.208
2011-01-27,189.208,8.375,12.478,197.583
2011-01-28,189.083,7.583,9.0,196.667
2011-01-29,189.583,7.708,7.542,197.292
2011-01-30,188.875,7.708,9.958,196.583
2011-01-31,188.5,8.042,10.625,196.542
2011-02-01,188.696,4.913,14.125,193.609
2011-02-02,189.333,4.208,9.333,193.542
2011-02-03,188.583,4.875,8.333,193.458
2011-02-04,188.958,4.958,19.875,193.917
2011-02-05,188.792,5.458,12.417,194.25
2011-02-06,189.25,7.208,20.792,196.458
2011-02-07,189.542,7.375,17.042,196.917
2011-02-08,189.957,7.478,11.875,197.435
2011-02-09,189.208,6.708,9.167,195.917
2011-02-10,189.042,7.375,9.75,196.417
2011-02-11,189.667,6.625,9.333,196.292
2011-02-12,190.583,6.958,11.667,197.542
2011-02-13,189.417,7.625,9.75,197.042
2011-02-14,188.304,9.435,15.583,197.739
2011-02-15,188.652,6.826,19.083,195.478
2011-02-16,186.417,5.583,7.708,192.0
2011-02-17,187.5,5.958,9.375,193.458
2011-02-18,188.458,5.833,8.458,194.292
2011-02-19,189.0,6.0,7.625,195.0
2011-02-20,188.375,6.667,9.417,195.042
2011-02-21,187.958,6.458,17.875,194.417
2011-02-22,187.565,4.739,20.833,192.304
2011-02-23,186.792,8.0,26.375,194.792
2011-02-24,187.958,5.167,25.667,193.125
2011-02-25,185.375,4.667,10.917,190.042
2011-02-26,187.773,3.409,9.643,191.182
2011-02-27,188.478,4.043,11.545,192.522
