date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2015-01-01,200.542,1.792,5.208,7.042,8.458,1.417,205.75
2015-01-02,204.292,3.167,7.125,9.75,11.083,1.333,211.417
2015-01-03,202.565,3.75,6.304,13.458,15.375,1.917,208.87
2015-01-04,199.958,3.083,9.75,15.875,19.708,3.833,209.708
2015-01-05,198.792,2.125,3.708,8.583,11.458,2.875,202.5
2015-01-06,198.958,2.792,3.25,9.091,11.727,2.636,202.208
2015-01-07,199.083,3.261,5.458,11.0,14.25,3.25,204.542
2015-01-08,198.292,3.958,4.75,9.0,12.125,3.125,203.042
2015-01-09,198.708,4.25,4.792,12.167,15.0,2.833,203.5
2015-01-10,198.708,4.458,4.042,9.625,11.0,1.375,202.75
2015-01-11,198.087,4.458,2.348,10.875,13.542,2.667,200.435
2015-01-12,197.333,4.542,4.083,13.042,18.375,5.333,201.417
2015-01-13,197.625,6.0,9.125,25.708,38.458,12.75,206.75
2015-01-14,197.583,5.042,5.708,15.636,20.5,4.864,203.292
2015-01-15,197.75,4.292,4.667,18.292,25.083,6.792,202.417
2015-01-16,197.333,1.625,3.125,13.708,18.167,4.458,200.458
2015-01-17,198.208,2.25,5.458,20.167,30.167,10.0,203.667
2015-01-18,196.708,1.625,4.25,11.333,16.208,4.875,200.958
2015-01-19,195.87,3.333,9.913,22.208,36.208,14.0,205.783
2015-01-20,197.2,4.136,8.95,28.056,38.111,10.056,206.15
2015-01-21,197.75,5.792,1.375,20.091,26.227,6.136,199.125
2015-01-22,198.417,5.583,0.042,16.958,24.042,7.083,198.458
2015-01-23,198.458,4.417,0.458,20.667,26.208,5.542,198.917
2015-01-24,198.875,6.042,2.75,27.0,35.333,8.333,201.625
2015-01-25,198.333,5.917,0.167,19.125,26.042,6.917,198.5
2015-01-26,199.25,5.958,3.125,29.875,42.208,12.333,202.375
2015-01-27,195.913,4.583,0.261,18.583,23.625,5.042,196.174
2015-01-28,197.375,5.042,0.0,15.667,18.958,3.292,197.375
2015-01-29,199.583,6.083,0.25,15.409,18.455,3.045,199.833
2015-01-30,199.25,6.083,0.0,14.708,18.0,3.292,199.25
2015-01-31,197.0,6.0,0.0,6.833,8.208,1.375,197.0
2015-02-01,196.81,5.5,5.81,13.125,17.125,4.0,202.619
2015-02-02,194.667,2.75,14.042,14.375,19.042,4.667,208.708
2015-02-03,195.0,2.542,15.25,17.917,23.208,5.292,210.25
2015-02-04,214.565,2.625,18.0,20.417,25.167,4.75,232.565
2015-02-05,215.333,2.5,9.048,10.125,12.375,2.25,224.381
2015-02-06,214.739,3.083,4.957,10.227,12.364,2.136,219.696
2015-02-07,215.542,3.0,4.208,9.083,11.958,2.875,219.75
2015-02-08,215.375,4.917,11.458,22.25,33.75,11.5,226.833
2015-02-09,218.417,5.083,12.417,20.5,30.167,9.667,230.833
2015-02-10,216.348,4.208,3.739,10.0,12.5,2.5,220.087
2015-02-11,218.542,4.292,4.0,16.083,20.625,4.542,222.542
2015-02-12,218.833,8.167,15.667,30.083,50.625,20.542,234.5
2015-02-13,214.583,8.708,23.292,31.0,53.792,22.792,237.875
